Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-08-16,1.0,200.0,200.0,200.0,103.0,20600.0,0.0,200.0
2012-09-02,4.0,196.0,187.0,187.0,40.0,7660.0,200.0,-13.0
2012-09-03,5.0,184.0,172.0,172.0,50.0,8900.0,187.0,-15.0
2012-09-04,4.0,169.0,160.0,160.0,40.0,6580.0,172.0,-12.0
2012-09-05,14.0,157.0,144.0,144.0,311.0,45144.0,160.0,-16.0
2012-09-06,8.0,142.0,134.0,138.0,333.0,45468.0,144.0,-6.0
2012-09-09,31.0,136.0,125.0,125.0,2089.0,265066.0,138.0,-13.0
2012-09-10,19.0,128.0,124.0,127.0,2836.0,359827.0,125.0,2.0
2012-09-11,13.0,138.0,128.0,138.0,538.0,70693.0,127.0,11.0
2012-09-12,13.0,145.0,140.0,145.0,1191.0,171543.0,138.0,7.0
2012-09-13,3.0,143.0,139.0,139.0,410.0,57524.0,145.0,-6.0
2012-09-16,1.0,137.0,137.0,137.0,19.0,2603.0,139.0,-2.0
2012-09-17,3.0,139.0,139.0,139.0,129.0,17931.0,137.0,2.0
2012-09-25,9.0,145.0,137.0,137.0,1289.0,183029.0,139.0,-2.0
2012-09-26,12.0,137.0,135.0,135.0,1184.0,160454.0,137.0,-2.0
2012-09-30,14.0,139.0,137.0,137.0,1122.0,153760.0,135.0,2.0
2012-10-02,5.0,139.0,137.0,137.0,182.0,25134.0,137.0,0.0
2012-10-03,1.0,139.0,139.0,139.0,101.0,14039.0,137.0,2.0
2012-10-07,2.0,140.0,139.0,140.0,157.0,21879.0,139.0,1.0
2012-10-09,2.0,140.0,139.0,139.0,266.0,37015.0,140.0,-1.0
2012-10-10,1.0,139.0,139.0,139.0,86.0,11954.0,139.0,0.0
2012-10-11,3.0,140.0,138.0,140.0,1089.0,150660.0,139.0,1.0
2012-10-14,1.0,142.0,142.0,142.0,43.0,6106.0,140.0,2.0
2012-10-15,2.0,140.0,140.0,140.0,200.0,28000.0,142.0,-2.0
2012-10-18,3.0,144.0,142.0,144.0,157.0,22548.0,140.0,4.0
2012-10-30,1.0,142.0,142.0,142.0,91.0,12922.0,144.0,-2.0
2012-11-05,1.0,140.0,140.0,140.0,99.0,13860.0,142.0,-2.0
2012-11-06,68.0,144.0,140.0,144.0,7447.0,1044445.0,140.0,4.0
2012-11-07,7.0,144.0,142.0,143.0,1426.0,204246.0,144.0,-1.0
2012-11-11,6.0,145.0,141.0,141.0,1707.0,243315.0,143.0,-2.0
2012-11-12,1.0,141.0,141.0,141.0,136.0,19176.0,141.0,0.0
2012-11-29,3.0,141.0,139.0,139.0,226.0,31780.0,141.0,-2.0
2012-12-04,4.0,140.0,140.0,140.0,416.0,58240.0,139.0,1.0
2012-12-05,5.0,140.0,138.0,140.0,502.0,70076.0,140.0,0.0
2012-12-06,2.0,142.0,140.0,140.0,2054.0,289560.0,140.0,0.0
2012-12-10,9.0,142.0,140.0,140.0,906.0,127004.0,140.0,0.0
2012-12-11,1.0,142.0,142.0,142.0,51.0,7242.0,140.0,2.0
2012-12-12,6.0,142.0,139.0,139.0,192.0,26957.0,142.0,-3.0
2012-12-24,3.0,137.0,136.0,136.0,1997.0,273486.0,139.0,-3.0
2013-01-03,1.0,138.0,138.0,138.0,33.0,4554.0,136.0,2.0
2013-01-30,2.0,140.0,138.0,140.0,764.0,106702.0,138.0,2.0
2013-02-13,1.0,138.0,138.0,138.0,10.0,1380.0,140.0,-2.0
2013-02-20,6.0,136.0,134.0,135.0,1833.0,247791.0,138.0,-3.0
2013-02-27,2.0,133.0,133.0,133.0,24.0,3192.0,135.0,-2.0
2013-02-28,2.0,136.0,135.0,136.0,35.0,4739.0,133.0,3.0
2013-03-03,1.0,134.0,134.0,134.0,10.0,1340.0,136.0,-2.0
2013-03-04,3.0,135.0,135.0,135.0,309.0,41715.0,134.0,1.0
2013-03-17,4.0,139.0,137.0,139.0,433.0,59457.0,135.0,4.0
2013-03-19,1.0,138.0,138.0,138.0,206.0,28428.0,139.0,-1.0
2013-03-27,2.0,150.0,147.0,147.0,351.0,52569.0,149.0,-2.0
2013-03-28,2.0,147.0,147.0,147.0,164.0,24108.0,147.0,0.0
2013-04-08,2.0,145.0,143.0,143.0,59.0,8523.0,147.0,-4.0
2013-04-09,1.0,145.0,145.0,145.0,12.0,1740.0,143.0,2.0
2013-04-11,2.0,143.0,141.0,141.0,82.0,11644.0,145.0,-4.0
2013-04-15,3.0,145.0,143.0,143.0,123.0,17671.0,141.0,2.0
2013-04-16,1.0,141.0,141.0,141.0,41.0,5781.0,143.0,-2.0
2013-05-09,2.0,139.0,137.0,137.0,82.0,11316.0,141.0,-4.0
2013-05-12,2.0,135.0,133.0,133.0,82.0,10988.0,137.0,-4.0
2013-05-16,1.0,135.0,135.0,135.0,20.0,2700.0,133.0,2.0
2013-05-21,2.0,139.0,137.0,139.0,102.0,14076.0,135.0,4.0
2013-05-28,1.0,141.0,141.0,141.0,14.0,1974.0,139.0,2.0
