Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-10-27,1.0,308.0,308.0,308.0,6478.0,1995224.0,100.0,208.0
2015-07-22,6.0,302.0,278.0,278.0,15975.0,4447650.0,308.0,-30.0
2016-01-24,1.0,335.0,335.0,335.0,5000.0,1675000.0,335.0,0.0
2016-06-16,1.0,450.0,450.0,450.0,13888.0,6249600.0,450.0,0.0
2017-05-31,2.0,615.0,615.0,615.0,200.0,123000.0,615.0,0.0
2017-06-04,2.0,615.0,615.0,615.0,18105.0,11134575.0,615.0,0.0
2017-06-18,1.0,615.0,615.0,615.0,10000.0,6150000.0,615.0,0.0
2017-06-28,4.0,603.0,569.0,569.0,800.0,468600.0,615.0,-46.0
2017-07-02,5.0,558.0,527.0,527.0,8525.0,4541475.0,569.0,-42.0
2017-07-06,1.0,517.0,517.0,517.0,112.0,57904.0,527.0,-10.0
2017-08-17,1.0,0.0,0.0,0.0,45597.0,13679100.0,517.0,0.0
2017-08-22,1.0,0.0,0.0,0.0,66500.0,19950000.0,517.0,0.0
2017-08-30,1.0,0.0,0.0,0.0,162642.0,48792600.0,517.0,0.0
2017-09-06,2.0,0.0,0.0,0.0,174977.0,52493100.0,517.0,0.0
2017-10-29,2.0,0.0,0.0,0.0,138539.0,41561700.0,517.0,0.0
2017-11-13,3.0,0.0,0.0,0.0,374755.0,112426500.0,517.0,0.0
2018-01-16,2.0,520.0,520.0,520.0,24750.0,12870000.0,520.0,0.0
2021-06-13,1.0,494.0,494.0,494.0,25000.0,12350000.0,494.06,-0.06
2021-07-07,1.0,494.0,494.0,494.0,15000.0,7410000.0,494.0,0.0
2021-11-02,8.0,334.0,334.0,334.0,122067.0,40770378.0,334.0,0.0
2021-11-03,1.0,334.0,334.0,334.0,1917.0,640278.0,334.0,0.0
2021-11-08,2.0,334.0,334.0,334.0,10439.0,3486626.0,334.0,0.0
2022-02-15,2.0,382.0,382.0,382.0,55220.0,21094040.0,382.0,0.0
2022-03-16,1.0,382.0,382.0,382.0,46118.0,17617076.0,382.0,0.0
