Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-13,1.0,136.0,136.0,136.0,3014.0,409904.0,138.0,-2.0
2013-05-27,1.0,138.0,138.0,138.0,1825.0,251850.0,136.0,2.0
2014-06-04,4.0,136.0,130.0,130.0,26516.0,3561354.0,138.0,-8.0
2014-06-05,1.0,128.0,128.0,128.0,10511.0,1345408.0,130.0,-2.0
2014-06-10,6.0,126.0,116.0,116.0,44007.0,5278422.0,128.0,-12.0
2014-06-15,4.0,115.0,115.0,115.0,19533.0,2246295.0,116.0,-1.0
2014-06-18,5.0,115.0,115.0,115.0,13725.0,1578375.0,115.0,0.0
2014-07-30,4.0,115.0,115.0,115.0,34995.0,4024425.0,115.0,0.0
2014-08-05,8.0,115.0,115.0,115.0,61103.0,7026845.0,115.0,0.0
2014-08-14,1.0,115.0,115.0,115.0,13037.0,1499255.0,115.0,0.0
2014-08-25,4.0,115.0,115.0,115.0,17386.0,1999390.0,115.0,0.0
2014-09-07,5.0,115.0,115.0,115.0,20884.0,2401660.0,115.0,0.0
2014-09-11,1.0,115.0,115.0,115.0,1800.0,207000.0,115.0,0.0
2014-11-03,10.0,115.0,115.0,115.0,12000.0,1380000.0,115.0,0.0
2014-11-10,5.0,115.0,115.0,115.0,5997.0,689655.0,115.0,0.0
2014-11-19,9.0,115.0,115.0,115.0,7343.0,844445.0,115.0,0.0
2015-04-06,6.0,115.0,115.0,115.0,10197.0,1172655.0,115.0,0.0
2017-10-31,1.0,0.0,0.0,0.0,246474.0,8626590.0,115.0,0.0
2017-11-08,22.0,100.0,100.0,100.0,108158.0,10815800.0,102.0,-2.0
2017-11-14,22.0,100.0,100.0,100.0,141593.0,14159300.0,100.0,0.0
2017-11-20,13.0,100.0,100.0,100.0,65016.0,6501600.0,100.0,0.0
2017-11-23,31.0,100.0,100.0,100.0,122893.0,12289300.0,100.0,0.0
2018-01-01,36.0,100.0,100.0,100.0,41317.0,4131700.0,100.0,0.0
2018-01-31,15.0,100.0,100.0,100.0,29675.0,2967500.0,100.0,0.0
2018-03-20,26.0,100.0,100.0,100.0,104999.0,10499900.0,100.0,0.0
2018-04-24,3.0,100.0,100.0,100.0,2100.0,210000.0,100.0,0.0
2018-05-24,21.0,100.0,100.0,100.0,77043.0,7704300.0,100.0,0.0
2018-06-10,8.0,100.0,100.0,100.0,29260.0,2926000.0,100.0,0.0
2018-08-07,19.0,100.0,100.0,100.0,17881.0,1788100.0,100.0,0.0
2018-08-13,2.0,100.0,100.0,100.0,4563.0,456300.0,100.0,0.0
2018-09-17,7.0,100.0,100.0,100.0,8647.0,864700.0,100.0,0.0
2018-09-27,25.0,100.0,100.0,100.0,34647.0,3464700.0,100.0,0.0
2018-10-02,2.0,100.0,100.0,100.0,2750.0,275000.0,100.0,0.0
2018-10-25,3.0,100.0,100.0,100.0,5085.0,508500.0,100.0,0.0
2018-10-29,62.0,100.0,100.0,100.0,257850.0,25785000.0,100.0,0.0
2019-06-27,9.0,100.0,100.0,100.0,181259.0,18125900.0,100.0,0.0
2021-01-21,1.0,176.0,176.0,176.0,6000.0,1056000.0,176.0,0.0
2021-05-09,1.0,259.0,259.0,259.0,9281.0,2403779.0,259.0,0.0
2021-07-20,42.0,649.0,649.0,649.0,26523.0,17213427.0,649.0,0.0
2021-08-04,1.0,649.0,649.0,649.0,600.0,389400.0,649.0,0.0
2022-04-25,12.0,258.0,258.0,258.0,39668.0,10234344.0,258.0,0.0
2022-05-31,2.0,255.0,255.0,255.0,3094.0,788970.0,258.0,-3.0
