Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-10-08,2.0,160.0,160.0,160.0,430.0,68800.0,0.0,160.0
2013-10-31,4.0,157.0,148.0,148.0,189.0,29181.0,160.0,-12.0
2013-11-28,2.0,148.0,146.0,146.0,645.0,95030.0,148.0,-2.0
2013-12-01,7.0,148.0,146.0,146.0,1519.0,222907.0,146.0,0.0
2013-12-03,3.0,146.0,144.0,146.0,459.0,66482.0,146.0,0.0
2013-12-05,5.0,150.0,147.0,147.0,1097.0,163278.0,146.0,1.0
2013-12-08,1.0,145.0,145.0,145.0,428.0,62060.0,147.0,-2.0
2013-12-09,4.0,149.0,147.0,149.0,752.0,111188.0,145.0,4.0
2013-12-11,2.0,149.0,149.0,149.0,94.0,14006.0,149.0,0.0
2014-01-14,1.0,147.0,147.0,147.0,172.0,25284.0,149.0,-2.0
2014-01-20,2.0,145.0,145.0,145.0,430.0,62350.0,147.0,-2.0
2014-01-21,1.0,143.0,143.0,143.0,69.0,9867.0,145.0,-2.0
2014-01-22,4.0,143.0,142.0,143.0,1424.0,202561.0,143.0,0.0
2014-01-23,3.0,141.0,139.0,140.0,236.0,33040.0,143.0,-3.0
2014-01-26,1.0,142.0,142.0,142.0,21.0,2982.0,140.0,2.0
2014-01-27,3.0,146.0,144.0,146.0,150.0,21772.0,142.0,4.0
2014-01-28,1.0,148.0,148.0,148.0,21.0,3108.0,146.0,2.0
2014-02-05,2.0,153.0,150.0,153.0,279.0,42042.0,148.0,5.0
2014-02-06,1.0,156.0,156.0,156.0,86.0,13416.0,153.0,3.0
2014-03-06,1.0,159.0,159.0,159.0,432.0,68688.0,156.0,3.0
2014-03-09,2.0,162.0,162.0,162.0,172.0,27864.0,159.0,3.0
2014-03-17,9.0,178.0,165.0,178.0,3975.0,666341.0,162.0,16.0
2014-03-18,26.0,185.0,178.0,185.0,4501.0,819509.0,178.0,7.0
2014-03-20,7.0,194.0,188.0,188.0,2852.0,537709.0,185.0,3.0
2014-03-23,13.0,205.0,191.0,205.0,3824.0,740076.0,188.0,17.0
2014-03-24,9.0,225.0,209.0,225.0,1014.0,225699.0,205.0,20.0
2014-03-25,14.0,247.0,229.0,247.0,2468.0,600312.0,225.0,22.0
2014-03-26,6.0,250.0,245.0,250.0,983.0,243776.0,247.0,3.0
