Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,9.0,731.0,655.0,655.0,350.0,239152.0,717.0,-62.0
2012-06-04,22.0,668.0,637.0,648.0,3299.0,2130655.0,655.0,-7.0
2012-06-05,8.0,636.0,613.0,613.0,1060.0,655985.0,648.0,-35.0
2012-06-06,11.0,619.0,590.0,590.0,1113.0,666395.0,613.0,-23.0
2012-06-07,10.0,612.0,570.0,601.0,1986.0,1170624.0,590.0,11.0
2012-06-10,27.0,590.0,561.0,576.0,2119.0,1209037.0,601.0,-25.0
2012-06-11,5.0,590.0,580.0,580.0,379.0,222174.0,576.0,4.0
2012-06-12,2.0,591.0,588.0,588.0,101.0,59463.0,580.0,8.0
2012-06-13,2.0,579.0,577.0,577.0,260.0,150220.0,588.0,-11.0
2012-06-17,8.0,566.0,545.0,562.0,4913.0,2684401.0,577.0,-15.0
2012-06-18,4.0,568.0,556.0,560.0,1102.0,618244.0,562.0,-2.0
2012-06-19,11.0,575.0,558.0,570.0,975.0,550411.0,560.0,10.0
2012-06-20,3.0,581.0,578.0,579.0,194.0,112210.0,570.0,9.0
2012-06-21,6.0,590.0,579.0,590.0,849.0,492875.0,579.0,11.0
2012-06-25,8.0,608.0,590.0,605.0,718.0,431470.0,590.0,15.0
2012-06-26,10.0,599.0,585.0,586.0,653.0,384391.0,605.0,-19.0
2012-06-27,22.0,600.0,585.0,590.0,3458.0,2042456.0,586.0,4.0
2012-06-28,33.0,622.0,598.0,610.0,12039.0,7277313.0,590.0,20.0
2012-07-01,8.0,617.0,602.0,610.0,811.0,492526.0,610.0,0.0
2012-07-02,4.0,630.0,610.0,620.0,217.0,133500.0,610.0,10.0
2012-07-03,5.0,635.0,628.0,632.0,130.0,82118.0,620.0,12.0
2012-07-04,18.0,639.0,619.0,627.0,1862.0,1168280.0,632.0,-5.0
2012-07-05,16.0,635.0,617.0,624.0,3291.0,2046880.0,627.0,-3.0
2012-07-08,8.0,636.0,622.0,635.0,811.0,510025.0,624.0,11.0
2012-07-09,12.0,635.0,626.0,635.0,1377.0,868411.0,635.0,0.0
2012-07-10,6.0,649.0,625.0,644.0,424.0,270266.0,635.0,9.0
2012-07-11,23.0,640.0,628.0,636.0,4802.0,3028768.0,644.0,-8.0
2012-07-12,15.0,634.0,624.0,630.0,2926.0,1831537.0,636.0,-6.0
2012-07-15,4.0,653.0,640.0,653.0,261.0,168030.0,630.0,23.0
2012-07-16,14.0,640.0,630.0,638.0,3170.0,2012477.0,653.0,-15.0
2012-07-17,1.0,626.0,626.0,626.0,67.0,41942.0,638.0,-12.0
2012-07-18,9.0,655.0,620.0,655.0,960.0,606445.0,626.0,29.0
2012-07-19,22.0,668.0,642.0,644.0,2690.0,1744898.0,655.0,-11.0
2012-07-22,24.0,694.0,640.0,680.0,2964.0,1976491.0,644.0,36.0
2012-07-23,21.0,704.0,680.0,695.0,2237.0,1557788.0,680.0,15.0
2012-07-24,28.0,710.0,683.0,701.0,2347.0,1632664.0,695.0,6.0
2012-07-25,1.0,704.0,704.0,704.0,17.0,11968.0,701.0,3.0
2012-07-26,14.0,690.0,675.0,684.0,959.0,655350.0,704.0,-20.0
2012-07-29,4.0,680.0,670.0,670.0,359.0,242026.0,684.0,-14.0
2012-07-30,12.0,695.0,660.0,687.0,1015.0,688233.0,670.0,17.0
2012-07-31,4.0,690.0,689.0,690.0,315.0,217250.0,687.0,3.0
2012-08-01,10.0,692.0,686.0,686.0,516.0,355474.0,690.0,-4.0
2012-08-05,9.0,698.0,690.0,698.0,1187.0,821403.0,686.0,12.0
2012-08-06,17.0,700.0,684.0,690.0,1678.0,1154346.0,698.0,-8.0
2012-08-07,14.0,700.0,686.0,689.0,1341.0,924594.0,690.0,-1.0
2012-08-08,12.0,699.0,680.0,685.0,940.0,644056.0,689.0,-4.0
2012-08-12,9.0,690.0,666.0,673.0,659.0,442845.0,685.0,-12.0
2012-08-13,7.0,673.0,660.0,662.0,536.0,356304.0,673.0,-11.0
2012-08-14,8.0,652.0,640.0,650.0,966.0,622095.0,662.0,-12.0
2012-08-15,6.0,660.0,647.0,647.0,421.0,273174.0,650.0,-3.0
2012-08-16,12.0,666.0,640.0,666.0,1186.0,769143.0,647.0,19.0
2012-08-19,7.0,670.0,660.0,670.0,394.0,262609.0,666.0,4.0
2012-08-21,16.0,689.0,675.0,680.0,2470.0,1673317.0,670.0,10.0
2012-08-22,12.0,692.0,675.0,692.0,1519.0,1043504.0,680.0,12.0
2012-08-23,16.0,690.0,680.0,680.0,1789.0,1224576.0,692.0,-12.0
2012-08-26,5.0,680.0,670.0,680.0,215.0,145763.0,680.0,0.0
2012-08-27,4.0,688.0,679.0,688.0,306.0,208267.0,680.0,8.0
2012-08-28,12.0,699.0,681.0,681.0,964.0,663653.0,688.0,-7.0
2012-08-29,6.0,690.0,675.0,687.0,1229.0,831775.0,681.0,6.0
2012-08-30,4.0,690.0,688.0,689.0,465.0,320281.0,687.0,2.0
2012-09-02,7.0,701.0,685.0,696.0,903.0,628054.0,689.0,7.0
2012-09-03,17.0,704.0,683.0,702.0,2940.0,2043567.0,696.0,6.0
2012-09-04,16.0,705.0,690.0,690.0,1959.0,1369557.0,702.0,-12.0
2012-09-05,3.0,690.0,680.0,680.0,510.0,347180.0,690.0,-10.0
2012-09-06,7.0,695.0,685.0,690.0,641.0,442440.0,680.0,10.0
2012-09-09,3.0,688.0,675.0,688.0,550.0,372494.0,690.0,-2.0
2012-09-10,4.0,690.0,680.0,680.0,1708.0,1175130.0,688.0,-8.0
2012-09-11,10.0,700.0,681.0,698.0,913.0,631953.0,680.0,18.0
2012-09-12,10.0,703.0,698.0,699.0,904.0,632788.0,698.0,1.0
2012-09-13,8.0,707.0,702.0,707.0,677.0,477509.0,699.0,8.0
2012-09-16,13.0,721.0,710.0,721.0,1686.0,1200385.0,707.0,14.0
2012-09-17,8.0,730.0,722.0,722.0,819.0,593605.0,721.0,1.0
2012-09-18,19.0,731.0,719.0,723.0,1935.0,1399207.0,722.0,1.0
2012-09-19,8.0,719.0,705.0,715.0,1151.0,815234.0,723.0,-8.0
2012-09-20,12.0,729.0,714.0,719.0,866.0,626595.0,715.0,4.0
2012-09-23,9.0,706.0,692.0,700.0,587.0,411562.0,719.0,-19.0
2012-09-24,7.0,700.0,690.0,697.0,1070.0,740382.0,700.0,-3.0
2012-09-25,5.0,692.0,690.0,690.0,726.0,501766.0,697.0,-7.0
2012-09-26,7.0,694.0,681.0,690.0,515.0,354831.0,690.0,0.0
2012-09-27,9.0,699.0,686.0,695.0,573.0,394959.0,690.0,5.0
2012-09-30,15.0,700.0,690.0,691.0,1526.0,1056761.0,695.0,-4.0
2012-10-01,6.0,699.0,675.0,699.0,634.0,430650.0,691.0,8.0
2012-10-02,2.0,700.0,687.0,700.0,445.0,306248.0,699.0,1.0
