Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-02-25,2.0,130.0,128.0,128.0,30.0,3880.0,0.0,128.0
2020-02-26,1.0,126.0,126.0,126.0,10.0,1260.0,128.0,-2.0
2020-03-01,5.0,124.0,120.0,120.0,290.0,35540.0,126.0,-6.0
2020-03-03,1.0,118.0,118.0,118.0,10.0,1180.0,120.0,-2.0
2020-03-05,9.0,116.0,107.0,107.0,160.0,17370.0,118.0,-11.0
2020-03-11,30.0,105.0,97.0,97.0,2130.0,210300.0,107.0,-10.0
2020-03-12,20.0,96.0,88.0,88.0,1390.0,131710.0,97.0,-9.0
2020-03-15,1.0,87.0,87.0,87.0,50.0,4350.0,88.0,-1.0
2020-03-16,2.0,86.0,86.0,86.0,80.0,6880.0,87.0,-1.0
2020-03-18,1.0,85.0,85.0,85.0,40.0,3400.0,86.0,-1.0
2020-03-22,5.0,84.0,82.0,82.0,220.0,18240.0,85.0,-3.0
2020-06-29,28.0,87.0,85.0,86.0,2190.0,186780.0,82.0,4.0
2020-06-30,16.0,88.0,85.0,88.0,1800.0,154510.0,86.0,2.0
2020-07-01,2.0,93.0,92.0,93.0,70.0,6460.0,88.0,5.0
2020-07-02,1.0,92.0,92.0,92.0,10.0,920.0,93.0,-1.0
2020-07-05,8.0,91.0,89.0,91.0,350.0,31520.0,92.0,-1.0
2020-07-06,2.0,90.0,90.0,90.0,70.0,6300.0,91.0,-1.0
2020-07-07,2.0,89.0,89.0,89.0,100.0,8900.0,90.0,-1.0
2020-07-08,5.0,93.0,90.0,90.0,190.0,17490.0,89.0,1.0
2020-07-09,80.0,96.0,89.0,95.0,6340.0,580350.0,90.0,5.0
2020-07-12,72.0,99.0,94.0,98.0,3520.0,337870.0,95.0,3.0
2020-07-13,6.0,102.0,98.0,98.0,180.0,17960.0,98.0,0.0
2020-07-14,63.0,107.0,98.0,102.0,3800.0,384980.0,98.0,4.0
2020-07-15,36.0,112.0,102.0,106.0,3680.0,385840.0,102.0,4.0
2020-07-16,1.0,104.0,104.0,104.0,30.0,3120.0,106.0,-2.0
2020-07-20,4.0,102.0,102.0,102.0,100.0,10200.0,104.0,-2.0
2020-07-21,93.0,100.0,92.0,92.0,206160.0,20579650.0,102.0,-10.0
2020-07-22,31.0,98.0,86.0,97.0,1910.0,168280.0,92.0,5.0
2020-07-23,1.0,96.0,96.0,96.0,20.0,1920.0,97.0,-1.0
2020-07-26,74.0,102.0,94.0,95.0,11360.0,1122190.0,96.0,-1.0
2020-07-27,3.0,94.0,93.0,93.0,60.0,5630.0,95.0,-2.0
2020-07-28,15.0,92.0,88.0,91.0,540.0,48520.0,93.0,-2.0
2020-07-29,19.0,96.0,91.0,91.0,900.0,84600.0,91.0,0.0
2020-07-30,21.0,94.0,90.0,91.0,800.0,73250.0,91.0,0.0
2020-08-02,106.0,98.0,88.0,97.0,7960.0,739280.0,91.0,6.0
2020-08-03,36.0,101.0,95.0,95.0,13940.0,1406280.0,97.0,-2.0
2020-08-06,44.0,94.0,86.0,90.0,1770.0,153820.0,95.0,-5.0
2020-08-09,16.0,92.0,89.0,89.0,500.0,45210.0,90.0,-1.0
2020-08-10,136.0,93.0,81.0,92.0,5060.0,435630.0,89.0,3.0
2020-08-11,9.0,97.0,94.0,94.0,280.0,26780.0,92.0,2.0
2020-08-12,3.0,93.0,91.0,91.0,40.0,3670.0,94.0,-3.0
2020-08-13,17.0,90.0,87.0,87.0,570.0,50690.0,91.0,-4.0
2020-08-16,27.0,93.0,86.0,92.0,1080.0,97220.0,87.0,5.0
2020-08-17,2.0,96.0,95.0,95.0,100.0,9550.0,92.0,3.0
2020-08-18,9.0,99.0,93.0,93.0,200.0,19030.0,95.0,-2.0
2020-08-19,6.0,92.0,90.0,90.0,220.0,19940.0,93.0,-3.0
2020-08-20,34.0,91.0,85.0,90.0,1760.0,153720.0,90.0,0.0
2020-08-24,10.0,94.0,90.0,92.0,250.0,22990.0,90.0,2.0
2020-08-25,1.0,96.0,96.0,96.0,40.0,3840.0,92.0,4.0
2020-08-26,16.0,98.0,95.0,97.0,2152.0,206024.0,96.0,1.0
2020-08-27,87.0,105.0,88.0,95.0,41140.0,4218970.0,97.0,-2.0
2020-08-30,4.0,99.0,96.0,96.0,40.0,3900.0,95.0,1.0
2020-08-31,191.0,100.0,87.0,89.0,13068.0,1164774.0,96.0,-7.0
2020-09-02,211.0,97.0,89.0,97.0,15150.0,1416378.0,89.0,8.0
2020-09-03,180.0,102.0,92.0,99.0,51010.0,5173190.0,97.0,2.0
2020-09-06,101.0,103.0,90.0,95.0,13220.0,1278160.0,99.0,-4.0
2020-09-07,29.0,99.0,96.0,96.0,1480.0,144090.0,95.0,1.0
2020-09-08,96.0,100.0,90.0,94.0,5840.0,535360.0,96.0,-2.0
2020-09-09,73.0,93.0,90.0,92.0,4080.0,371480.0,94.0,-2.0
2020-09-10,46.0,96.0,89.0,91.0,7560.0,680820.0,92.0,-1.0
2020-09-13,96.0,92.0,89.0,92.0,5010.0,453440.0,91.0,1.0
2020-09-14,141.0,98.0,90.0,96.0,11890.0,1130830.0,92.0,4.0
2020-09-15,207.0,99.0,90.0,96.0,40080.0,3673555.0,96.0,0.0
2020-09-16,342.0,104.0,89.0,100.0,184325.0,18318110.0,96.0,4.0
2020-09-17,1139.0,110.0,98.0,110.0,433991.0,45276065.0,100.0,10.0
2020-09-20,407.0,118.0,99.0,99.0,116385.0,12228071.0,110.0,-11.0
2020-09-21,347.0,103.0,97.0,97.0,75870.0,7481890.0,99.0,-2.0
2020-09-22,214.0,101.0,93.0,94.0,38150.0,3635365.0,97.0,-3.0
2020-09-23,258.0,100.0,92.0,93.0,82984.0,7817922.0,94.0,-1.0
2020-09-24,482.0,102.0,97.0,102.0,152597.0,15291580.0,93.0,9.0
2020-09-27,1453.0,112.0,100.0,108.0,1358565.0,142797979.0,102.0,6.0
2020-09-28,880.0,115.0,106.0,109.0,869603.0,93263456.0,108.0,1.0
2020-09-29,1156.0,119.0,109.0,119.0,930009.0,106276137.0,109.0,10.0
2020-09-30,1340.0,130.0,122.0,130.0,651062.0,82975204.0,119.0,11.0
2020-10-01,1104.0,142.0,123.0,125.0,360149.0,47058118.0,130.0,-5.0
2020-10-04,1364.0,125.0,113.0,118.0,734939.0,88344543.0,125.0,-7.0
2020-10-05,991.0,129.0,116.0,127.0,593558.0,73690968.0,118.0,9.0
2020-10-06,1086.0,139.0,127.0,136.0,670394.0,89436637.0,127.0,9.0
2020-10-07,1422.0,149.0,135.0,149.0,752462.0,108885213.0,136.0,13.0
2020-10-08,1255.0,154.0,135.0,143.0,489272.0,69918077.0,149.0,-6.0
2020-10-11,871.0,145.0,133.0,136.0,514551.0,70865424.0,143.0,-7.0
2020-10-12,512.0,140.0,133.0,135.0,205483.0,27878494.0,136.0,-1.0
2020-10-13,542.0,140.0,126.0,131.0,255970.0,33730916.0,135.0,-4.0
2020-10-14,473.0,137.0,124.0,128.0,224477.0,28862118.0,131.0,-3.0
2020-10-15,332.0,133.0,125.0,125.0,140114.0,17717545.0,128.0,-3.0
2020-10-20,487.0,137.0,127.0,137.0,253736.0,34315461.0,125.0,12.0
2020-10-21,760.0,145.0,136.0,140.0,474192.0,66369006.0,137.0,3.0
2020-10-22,428.0,142.0,136.0,137.0,235638.0,32778170.0,140.0,-3.0
2020-10-28,241.0,139.0,134.0,137.0,89007.0,12072233.0,137.0,0.0
2020-10-29,526.0,144.0,136.0,140.0,263536.0,37042164.0,137.0,3.0
2020-11-01,548.0,146.0,139.0,143.0,411789.0,58999625.0,140.0,3.0
2020-11-02,306.0,150.0,141.0,142.0,136345.0,19504053.0,143.0,-1.0
