Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-20,1.0,85.0,85.0,85.0,10.0,850.0,89.0,-4.0
2012-06-25,6.0,84.0,79.0,79.0,80.0,6510.0,85.0,-6.0
2012-06-26,1.0,76.0,76.0,76.0,10.0,760.0,79.0,-3.0
2012-06-28,2.0,75.0,74.0,74.0,20.0,1490.0,76.0,-2.0
2012-07-03,20.0,75.0,68.0,71.0,200.0,14260.0,74.0,-3.0
2012-07-18,2.0,71.0,71.0,71.0,20.0,1420.0,71.0,0.0
2012-08-01,1.0,70.0,70.0,70.0,10.0,700.0,71.0,-1.0
2012-08-06,17.0,69.0,63.0,63.0,240.0,15330.0,70.0,-7.0
2012-08-08,42.0,69.0,62.0,69.0,1510.0,95370.0,63.0,6.0
2012-08-19,1.0,69.0,69.0,69.0,20.0,1380.0,69.0,0.0
2012-08-21,1.0,66.0,66.0,66.0,10.0,660.0,69.0,-3.0
2012-09-04,26.0,65.0,61.0,61.0,510.0,31660.0,66.0,-5.0
2012-09-05,16.0,60.0,60.0,60.0,310.0,18600.0,61.0,-1.0
2012-09-06,17.0,59.0,54.0,54.0,290.0,16520.0,60.0,-6.0
2012-09-10,14.0,53.0,49.0,49.0,170.0,8830.0,54.0,-5.0
2012-09-11,51.0,49.0,45.57,46.0,970.0,45711.0,49.0,-3.0
2012-09-12,137.0,49.47,46.0,48.5,2750.0,133344.0,46.0,2.5
2012-09-13,34.0,48.1,47.0,48.1,1010.0,48189.0,48.5,-0.4
2012-09-16,11.0,48.0,47.5,47.55,330.0,15771.0,48.1,-0.55
2012-09-17,21.0,47.5,47.0,47.5,320.0,15195.0,47.55,-0.05
2012-09-18,2.0,49.42,48.45,49.42,140.0,6851.0,47.5,1.92
2012-09-19,15.0,49.5,48.43,49.4,350.0,17142.0,49.42,-0.02
2012-09-20,4.0,48.42,48.0,48.0,50.0,2412.0,49.4,-1.4
2012-09-23,3.0,48.0,47.04,47.04,500.0,23597.0,48.0,-0.96
2012-09-25,8.0,46.11,42.34,42.34,520.0,23067.0,47.04,-4.7
2012-09-26,22.0,42.0,41.25,41.27,2330.0,97279.0,42.34,-1.07
2012-09-27,2.0,41.0,40.44,41.0,120.0,4914.0,41.27,-0.27
2012-09-30,10.0,41.82,41.82,41.82,110.0,4598.0,41.0,0.82
2012-10-01,25.0,41.0,40.0,40.0,370.0,14986.0,41.82,-1.82
2012-10-02,20.0,40.01,40.0,40.01,240.0,9600.0,40.0,0.01
2012-10-03,12.0,40.2,40.0,40.2,320.0,12816.0,40.01,0.19
2012-10-04,14.0,40.2,40.0,40.0,380.0,15202.0,40.2,-0.2
2012-10-07,10.0,40.0,39.2,39.2,250.0,9944.0,40.0,-0.8
2012-10-08,22.0,38.45,37.65,38.45,500.0,19164.0,39.2,-0.75
2012-10-09,3.0,39.0,38.45,39.0,70.0,2720.0,38.45,0.55
2012-10-11,15.0,42.9,39.0,42.0,420.0,17144.0,39.0,3.0
2012-10-14,18.0,45.45,41.99,45.0,380.0,16850.0,42.0,3.0
2012-11-04,2.0,45.0,45.0,45.0,40.0,1800.0,45.0,0.0
2012-11-06,8.0,44.1,41.51,42.34,360.0,15410.0,45.0,-2.66
2012-11-07,9.0,41.49,40.68,40.68,110.0,4533.0,42.34,-1.66
2012-11-08,8.0,42.66,40.68,42.66,480.0,20009.0,40.68,1.98
2012-11-11,6.0,43.51,43.51,43.51,100.0,4351.0,42.66,0.85
2012-11-22,1.0,42.64,42.64,42.64,10.0,426.0,43.51,-0.87
2012-11-25,3.0,41.79,40.13,40.13,60.0,2458.0,42.64,-2.51
2012-12-03,3.0,40.5,40.5,40.5,60.0,2430.0,40.13,0.37
2012-12-05,5.0,39.69,39.69,39.69,90.0,3573.0,40.5,-0.81
2012-12-11,3.0,38.9,38.9,38.9,60.0,2334.0,39.69,-0.79
2012-12-13,10.0,39.68,37.35,37.35,230.0,8861.0,38.9,-1.55
2012-12-16,1.0,36.6,36.6,36.6,20.0,732.0,37.35,-0.75
2012-12-17,3.0,35.87,35.87,35.87,60.0,2151.0,36.6,-0.73
2012-12-18,6.0,39.46,36.59,39.46,150.0,5591.0,35.87,3.59
2012-12-19,25.0,43.41,40.25,43.41,780.0,32942.0,39.46,3.95
2012-12-20,13.0,47.01,44.28,47.01,900.0,41502.0,43.41,3.6
2012-12-23,9.0,51.0,47.0,51.0,380.0,18683.0,47.01,3.99
2012-12-24,11.0,54.12,50.0,54.12,260.0,13325.0,51.0,3.12
2012-12-26,4.0,58.0,55.0,58.0,60.0,3400.0,54.12,3.88
2012-12-27,5.0,57.0,54.0,54.0,90.0,4980.0,58.0,-4.0
2012-12-31,4.0,56.0,55.0,56.0,230.0,12680.0,54.0,2.0
2013-01-01,13.0,55.0,51.0,51.0,260.0,13600.0,56.0,-5.0
2013-01-02,14.0,50.0,49.0,49.0,260.0,12860.0,51.0,-2.0
2013-01-03,5.0,52.0,49.98,52.0,320.0,16209.0,49.0,3.0
2013-01-07,16.0,56.0,54.0,56.0,340.0,18580.0,54.0,2.0
2013-01-16,4.0,55.0,54.0,54.0,80.0,4380.0,56.0,-2.0
2013-05-15,1.0,54.0,54.0,54.0,20.0,1080.0,54.0,0.0
2013-05-26,1.0,53.0,53.0,53.0,20.0,1060.0,54.0,-1.0
2013-06-02,9.0,54.0,54.0,54.0,100.0,5400.0,53.0,1.0
2013-06-09,7.0,53.0,52.0,52.0,70.0,3650.0,54.0,-2.0
2013-06-12,4.0,51.0,51.0,51.0,190.0,9690.0,52.0,-1.0
2013-06-18,5.0,50.0,46.12,46.12,50.0,2402.0,51.0,-4.88
2013-07-09,5.0,45.2,41.69,41.69,170.0,7330.0,46.12,-4.43
2013-07-10,3.0,40.86,39.24,39.24,40.0,1602.0,41.69,-2.45
2013-07-11,17.0,38.46,35.32,35.32,460.0,16469.0,39.24,-3.92
2013-07-14,12.0,35.0,32.65,32.65,500.0,16782.0,35.32,-2.67
2013-07-15,8.0,32.01,31.37,31.37,490.0,15491.0,32.65,-1.28
2013-07-16,41.0,32.0,28.23,30.18,3830.0,113435.0,31.37,-1.19
2013-07-17,19.0,32.0,30.0,31.36,2940.0,88937.0,30.18,1.18
2013-07-21,1.0,31.0,31.0,31.0,130.0,4030.0,31.36,-0.36
2013-07-22,2.0,31.0,31.0,31.0,20.0,620.0,31.0,0.0
2013-07-24,12.0,30.38,29.17,29.17,800.0,23999.0,31.0,-1.83
2013-07-25,4.0,28.59,28.02,28.58,80.0,2276.0,29.17,-0.59
2013-07-28,10.0,28.01,25.72,25.72,560.0,14837.0,28.58,-2.86
2013-07-29,7.0,25.21,24.5,24.5,350.0,8661.0,25.72,-1.22
