Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-07-12,7.0,359.0,328.0,359.0,29034.0,9524682.0,0.0,359.0
2016-07-13,52.0,394.0,366.0,394.0,36508.0,14383452.0,359.0,35.0
2016-07-14,914.0,433.0,384.0,433.0,383111.0,163101101.0,394.0,39.0
2016-07-17,1377.0,476.0,424.0,476.0,279518.0,127263297.0,433.0,43.0
2016-07-18,936.0,501.0,441.0,455.0,165946.0,79410151.0,476.0,-21.0
2016-07-19,637.0,464.0,421.0,427.0,139774.0,60438829.0,455.0,-28.0
2016-07-20,445.0,432.0,400.0,400.0,107322.0,43864941.0,427.0,-27.0
2016-07-21,330.0,430.0,402.0,410.0,49398.0,20279632.0,400.0,10.0
2016-07-25,247.0,432.0,405.0,430.0,45118.0,19020424.0,410.0,20.0
2016-07-26,286.0,449.0,422.0,430.0,53932.0,23229835.0,430.0,0.0
2016-07-27,254.0,435.0,418.0,425.0,42012.0,17821236.0,430.0,-5.0
2016-07-28,168.0,425.0,415.0,416.0,20633.0,8672405.0,425.0,-9.0
2016-07-31,167.0,420.0,410.0,412.0,30489.0,12657403.0,416.0,-4.0
2016-08-01,196.0,417.0,407.0,408.0,38734.0,15889440.0,412.0,-4.0
2016-08-02,194.0,416.0,400.0,405.0,42066.0,17085742.0,408.0,-3.0
2016-08-03,175.0,410.0,400.0,403.0,40746.0,16462322.0,405.0,-2.0
2016-08-04,266.0,417.0,389.0,391.0,51130.0,20371798.0,403.0,-12.0
2016-08-07,371.0,410.0,390.0,390.0,45554.0,18139408.0,391.0,-1.0
2016-08-08,147.0,387.0,369.0,369.0,29440.0,11217379.0,390.0,-21.0
2016-08-09,49.0,397.0,376.0,395.0,16573.0,6415359.0,369.0,26.0
2016-08-10,283.0,402.0,385.0,392.0,45740.0,17938357.0,395.0,-3.0
2016-08-11,349.0,392.0,383.0,390.0,34904.0,13512862.0,392.0,-2.0
2016-08-14,424.0,390.0,358.0,362.0,49307.0,18049043.0,390.0,-28.0
2016-08-15,299.0,366.0,338.0,344.0,36829.0,12687852.0,362.0,-18.0
2016-08-16,424.0,355.0,336.0,350.0,36420.0,12532486.0,344.0,6.0
2016-08-17,364.0,357.0,345.0,355.0,33053.0,11593698.0,350.0,5.0
2016-08-21,199.0,356.0,344.0,346.0,14759.0,5152713.0,355.0,-9.0
2016-08-22,321.0,341.0,326.0,329.0,30973.0,10319815.0,346.0,-17.0
2016-08-23,338.0,330.0,319.0,325.0,29800.0,9665679.0,329.0,-4.0
2016-08-24,185.0,339.0,325.0,335.0,20017.0,6628564.0,325.0,10.0
2016-08-28,175.0,346.0,330.0,331.0,16833.0,5611276.0,335.0,-4.0
2016-08-29,224.0,334.0,321.0,326.0,25024.0,8170046.0,331.0,-5.0
