Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-05-22,301.0,160.0,144.0,144.0,8556.0,1232994.0,0.0,144.0
2019-05-23,61.0,145.0,130.0,130.0,3400.0,443740.0,144.0,-14.0
2019-05-26,957.0,134.0,117.0,134.0,54300.0,6782720.0,130.0,4.0
2019-05-27,233.0,132.0,123.0,131.0,8888.0,1150560.0,134.0,-3.0
2019-05-28,229.0,133.0,128.0,133.0,11700.0,1528500.0,131.0,2.0
2019-05-29,306.0,146.0,131.0,146.0,18950.0,2662110.0,133.0,13.0
2019-05-30,256.0,160.0,148.0,160.0,16414.0,2592910.0,146.0,14.0
2019-06-02,488.0,168.0,147.0,152.0,36836.0,5634956.0,160.0,-8.0
2019-06-03,283.0,155.0,144.0,155.0,14610.0,2149070.0,152.0,3.0
2019-06-04,188.0,157.0,149.0,149.0,6100.0,921610.0,155.0,-6.0
2019-06-06,166.0,154.0,148.0,149.0,3810.0,571080.0,149.0,0.0
2019-06-10,129.0,154.0,146.0,147.0,9085.0,1346700.0,149.0,-2.0
2019-06-11,137.0,155.0,147.0,148.0,5020.0,748140.0,147.0,1.0
2019-06-12,109.0,155.0,144.0,148.0,3430.0,503860.0,148.0,0.0
2019-06-13,83.0,150.0,145.0,146.0,4250.0,624150.0,148.0,-2.0
2019-06-16,111.0,152.0,145.0,152.0,3470.0,506950.0,146.0,6.0
2019-06-17,87.0,152.0,143.0,148.0,3990.0,588050.0,152.0,-4.0
2019-06-18,57.0,146.0,142.0,146.0,1190.0,172800.0,148.0,-2.0
2019-06-19,45.0,153.0,144.0,144.0,810.0,117650.0,146.0,-2.0
2019-06-20,78.0,148.0,142.0,146.0,1580.0,228130.0,144.0,2.0
2019-06-23,39.0,148.0,143.0,143.0,800.0,116040.0,146.0,-3.0
2019-06-24,44.0,144.0,141.0,142.0,1270.0,181380.0,143.0,-1.0
2019-06-25,41.0,144.0,140.0,142.0,866.0,122912.0,142.0,0.0
2019-06-26,75.0,146.0,140.0,146.0,1950.0,279930.0,142.0,4.0
2019-06-27,72.0,148.0,143.0,144.0,2020.0,290930.0,146.0,-2.0
2019-06-30,68.0,145.0,142.0,142.0,3730.0,532020.0,144.0,-2.0
2019-07-01,100.0,144.0,139.0,141.0,6390.0,896660.0,142.0,-1.0
