Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,2.0,156.0,156.0,156.0,210.0,32760.0,159.0,-3.0
2012-06-04,3.0,155.0,153.0,153.0,56.0,8636.0,156.0,-3.0
2012-06-05,2.0,155.0,155.0,155.0,166.0,25730.0,153.0,2.0
2012-06-06,2.0,158.0,155.0,155.0,30.0,4710.0,155.0,0.0
2012-06-17,1.0,152.0,152.0,152.0,80.0,12160.0,155.0,-3.0
2012-06-19,3.0,149.0,145.0,145.0,270.0,39690.0,152.0,-7.0
2012-06-21,1.0,143.0,143.0,143.0,100.0,14300.0,145.0,-2.0
2012-06-25,6.0,141.0,138.0,140.0,894.0,125008.0,143.0,-3.0
2012-06-26,17.0,138.0,127.0,131.0,2859.0,371290.0,140.0,-9.0
2012-06-27,6.0,134.0,129.0,134.0,2300.0,302675.0,131.0,3.0
2012-06-28,2.0,138.0,136.0,138.0,190.0,26192.0,134.0,4.0
2012-07-01,2.0,136.0,134.0,134.0,276.0,37384.0,138.0,-4.0
2012-07-03,2.0,138.0,136.0,138.0,769.0,104760.0,134.0,4.0
2012-07-05,2.0,137.0,135.0,135.0,344.0,46528.0,138.0,-3.0
2012-07-08,4.0,137.0,133.0,137.0,296.0,40056.0,135.0,2.0
2012-07-10,3.0,141.0,139.0,139.0,68.0,9472.0,137.0,2.0
2012-07-11,3.0,137.0,135.0,137.0,357.0,48813.0,139.0,-2.0
2012-07-12,1.0,135.0,135.0,135.0,30.0,4050.0,137.0,-2.0
2012-07-15,1.0,134.0,134.0,134.0,110.0,14740.0,135.0,-1.0
2012-07-16,1.0,132.0,132.0,132.0,44.0,5808.0,134.0,-2.0
2012-07-17,16.0,130.0,127.0,129.0,2006.0,256272.0,132.0,-3.0
2012-07-18,4.0,131.0,129.0,131.0,1041.0,135449.0,129.0,2.0
2012-07-19,6.0,137.0,132.0,137.0,1298.0,175078.0,131.0,6.0
2012-07-22,11.0,141.0,138.0,140.0,2603.0,361920.0,137.0,3.0
2012-07-23,2.0,142.0,140.0,142.0,104.0,14688.0,140.0,2.0
2012-07-24,1.0,138.0,138.0,138.0,96.0,13248.0,142.0,-4.0
2012-07-25,1.0,136.0,136.0,136.0,100.0,13600.0,138.0,-2.0
2012-08-01,12.0,134.0,131.0,131.0,1016.0,134844.0,136.0,-5.0
2012-08-05,2.0,129.0,129.0,129.0,104.0,13416.0,131.0,-2.0
