Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-12,1.0,141.0,141.0,141.0,90.0,12690.0,148.0,-7.0
2012-07-30,7.0,139.0,127.0,127.0,80.0,10680.0,141.0,-14.0
2012-07-31,6.0,125.0,115.0,115.0,60.0,7200.0,127.0,-12.0
2013-06-06,6.0,113.0,104.0,104.0,70.0,7620.0,115.0,-11.0
2013-06-09,9.0,102.0,94.0,94.0,170.0,16220.0,104.0,-10.0
2013-06-10,9.0,93.0,85.0,85.0,90.0,8010.0,94.0,-9.0
2013-06-11,9.0,84.0,77.0,77.0,200.0,15720.0,85.0,-8.0
2013-06-12,8.0,76.0,70.0,70.0,500.0,36850.0,77.0,-7.0
2013-06-13,11.0,69.0,63.0,63.0,340.0,21870.0,70.0,-7.0
2013-06-16,15.0,62.0,57.0,57.0,810.0,46480.0,63.0,-6.0
2013-06-17,7.0,56.0,52.0,52.0,320.0,16840.0,57.0,-5.0
2013-06-18,9.0,51.0,46.8,46.8,450.0,21286.0,52.0,-5.2
2013-06-19,16.0,45.86,42.12,42.5,1350.0,57495.0,46.8,-4.3
2013-06-20,3.0,42.0,41.65,42.0,2050.0,85750.0,42.5,-0.5
2013-07-02,5.0,46.2,42.84,46.2,100.0,4455.0,42.0,4.2
2013-07-03,12.0,50.82,47.12,50.82,1420.0,71883.0,46.2,4.62
2013-07-04,9.0,55.0,51.0,55.0,270.0,14650.0,50.82,4.18
2013-07-07,6.0,59.0,56.0,59.0,380.0,22080.0,55.0,4.0
2013-07-08,4.0,60.0,58.0,58.0,485.0,28400.0,59.0,-1.0
2013-07-09,7.0,60.0,58.0,60.0,2560.0,150410.0,58.0,2.0
2013-07-10,5.0,64.0,61.0,64.0,720.0,44560.0,60.0,4.0
2013-07-11,7.0,67.0,65.0,66.0,2340.0,154370.0,64.0,2.0
2013-07-14,1.0,67.0,67.0,67.0,60.0,4020.0,66.0,1.0
2013-07-15,1.0,66.0,66.0,66.0,210.0,13860.0,67.0,-1.0
2013-07-17,3.0,65.0,64.0,64.0,170.0,10950.0,66.0,-2.0
2013-07-18,1.0,64.0,64.0,64.0,20.0,1280.0,64.0,0.0
2013-07-21,1.0,63.0,63.0,63.0,350.0,22050.0,64.0,-1.0
2013-07-28,4.0,63.0,63.0,63.0,280.0,17640.0,63.0,0.0
2013-07-29,3.0,62.0,61.0,62.0,150.0,9250.0,63.0,-1.0
2013-07-30,1.0,61.0,61.0,61.0,50.0,3050.0,62.0,-1.0
2013-08-01,3.0,60.0,59.0,59.0,190.0,11260.0,61.0,-2.0
2013-08-15,1.0,58.0,58.0,58.0,80.0,4640.0,59.0,-1.0
2013-08-20,6.0,59.0,57.0,59.0,320.0,18700.0,58.0,1.0
2013-08-25,3.0,58.0,57.0,57.0,190.0,10900.0,59.0,-2.0
2013-12-05,4.0,58.0,58.0,58.0,240.0,13920.0,57.0,1.0
2013-12-09,11.0,63.0,59.0,63.0,1930.0,118470.0,58.0,5.0
2013-12-10,3.0,65.0,64.0,65.0,540.0,35030.0,63.0,2.0
2013-12-11,7.0,71.0,66.0,71.0,530.0,36560.0,65.0,6.0
2013-12-12,2.0,73.0,72.0,73.0,360.0,26060.0,71.0,2.0
2013-12-15,4.0,77.0,74.0,77.0,730.0,55470.0,73.0,4.0
2013-12-16,2.0,78.0,78.0,78.0,160.0,12480.0,77.0,1.0
2013-12-18,2.0,80.0,79.0,80.0,240.0,18970.0,78.0,2.0
2013-12-19,2.0,81.0,80.0,81.0,360.0,28920.0,80.0,1.0
2013-12-24,1.0,80.0,80.0,80.0,100.0,8000.0,81.0,-1.0
2016-06-16,1.0,81.6,81.6,81.6,10.0,816.0,80.0,1.6
2016-07-10,1.0,83.23,83.23,83.23,10.0,832.3,81.6,1.63
2016-07-13,4.0,87.72,84.0,87.72,40.0,3427.2,83.23,4.49
2016-07-25,2.0,91.0,89.47,91.0,30.0,2714.7,87.72,3.28
2016-08-14,1.0,92.0,92.0,92.0,10.0,920.0,91.0,1.0
2016-08-17,4.0,99.0,93.84,99.0,40.0,3861.9,92.0,7.0
2016-08-22,1.0,100.0,100.0,100.0,10.0,1000.0,99.0,1.0
2016-09-08,2.0,104.0,102.0,104.0,80.0,8300.0,100.0,4.0
2016-09-25,3.0,110.0,106.0,110.0,30.0,3240.0,104.0,6.0
2016-09-27,5.0,120.0,112.0,120.0,50.0,5800.0,110.0,10.0
2016-09-28,1.0,126.0,126.0,126.0,10.0,1260.0,120.0,6.0
2016-09-29,4.0,134.0,128.0,134.0,40.0,5240.0,126.0,8.0
