Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-07-08,7.0,343.2,312.0,343.2,70.0,23052.0,312.0,31.2
2019-07-09,27.0,377.0,360.0,377.0,2030.0,731180.0,343.2,33.8
2019-07-10,117.0,414.0,395.0,414.0,1170.0,483990.0,377.0,37.0
2019-07-11,2546.0,442.0,395.0,396.0,33978.0,13894370.0,414.0,-18.0
2019-07-14,824.0,398.0,378.0,386.0,9560.0,3713690.0,396.0,-10.0
2019-07-15,410.0,399.0,384.0,393.0,6312.0,2471492.0,386.0,7.0
2019-07-16,253.0,400.0,391.0,400.0,3470.0,1373900.0,393.0,7.0
2019-07-17,292.0,398.0,394.0,395.0,3115.0,1231855.0,400.0,-5.0
2019-07-18,295.0,400.0,390.0,393.0,3580.0,1414180.0,395.0,-2.0
2019-07-21,284.0,394.0,389.0,393.0,4220.0,1651860.0,393.0,0.0
2019-07-22,176.0,394.0,388.0,392.0,2380.0,932410.0,393.0,-1.0
2019-07-23,295.0,400.0,391.0,394.0,4115.0,1629155.0,392.0,2.0
2019-07-24,357.0,405.0,394.0,404.0,8278.0,3322862.0,394.0,10.0
2019-07-25,186.0,404.0,393.0,399.0,4425.0,1766585.0,404.0,-5.0
2019-07-28,369.0,413.0,399.0,411.0,7960.0,3223210.0,399.0,12.0
2019-07-29,371.0,440.0,410.0,440.0,7883.0,3316990.0,411.0,29.0
2019-07-30,474.0,466.0,440.0,461.0,16362.0,7431797.0,440.0,21.0
2019-07-31,387.0,503.0,451.0,500.0,16916.0,7949635.0,461.0,39.0
2019-08-01,463.0,550.0,487.0,533.0,17210.0,8921130.0,500.0,33.0
2019-08-04,486.0,551.0,491.0,507.0,14349.0,7548883.0,533.0,-26.0
2019-08-05,387.0,513.0,467.0,471.0,10930.0,5330434.0,507.0,-36.0
2019-08-06,293.0,470.0,439.0,468.0,5996.0,2674734.0,471.0,-3.0
2019-08-07,222.0,502.0,437.0,490.0,8803.0,4216283.0,468.0,22.0
2019-08-08,159.0,485.0,464.0,477.0,3480.0,1645934.0,490.0,-13.0
2019-08-11,180.0,486.0,456.0,474.0,2700.0,1272110.0,477.0,-3.0
2019-08-12,202.0,495.0,470.0,480.0,5140.0,2472120.0,474.0,6.0
2019-08-13,215.0,490.0,475.0,481.0,4465.0,2157290.0,480.0,1.0
2019-08-14,124.0,486.0,473.0,475.0,2635.0,1258090.0,481.0,-6.0
2019-08-15,72.0,484.0,468.0,478.0,1190.0,561940.0,475.0,3.0
2019-08-18,133.0,485.0,463.0,467.0,2520.0,1177090.0,478.0,-11.0
2019-08-19,137.0,480.0,459.0,474.0,3469.0,1643680.0,467.0,7.0
2019-08-20,112.0,483.0,467.0,470.0,2380.0,1121750.0,474.0,-4.0
2019-08-21,133.0,470.0,455.0,462.0,5410.0,2501695.0,470.0,-8.0
2019-08-22,87.0,470.0,460.0,465.0,2455.0,1139400.0,462.0,3.0
2019-08-25,85.0,465.0,453.0,453.0,2820.0,1284750.0,465.0,-12.0
2019-08-26,91.0,460.0,450.0,451.0,3185.0,1444960.0,453.0,-2.0
2019-08-27,80.0,469.0,442.0,457.0,1735.0,799905.0,451.0,6.0
2019-08-28,60.0,458.0,450.0,452.0,2270.0,1027200.0,457.0,-5.0
2019-08-29,84.0,455.0,445.0,455.0,2280.0,1022260.0,452.0,3.0
2019-09-01,62.0,455.0,445.0,450.0,1030.0,460915.0,455.0,-5.0
2019-09-02,76.0,450.0,436.0,437.0,1260.0,552790.0,450.0,-13.0
2019-09-03,109.0,455.0,430.0,454.0,1720.0,756960.0,437.0,17.0
2019-09-04,68.0,463.0,445.0,457.0,1340.0,607788.0,454.0,3.0
2019-09-05,78.0,460.0,443.0,448.0,1320.0,594340.0,457.0,-9.0
2019-09-08,82.0,455.0,440.0,445.0,1764.0,787000.0,448.0,-3.0
2019-09-09,75.0,445.0,436.0,438.0,1200.0,527190.0,445.0,-7.0
2019-09-10,56.0,440.0,432.0,436.0,1020.0,444380.0,438.0,-2.0
2019-09-11,53.0,439.0,431.0,431.0,1070.0,463870.0,436.0,-5.0
2019-09-12,39.0,436.0,428.0,431.0,555.0,240085.0,431.0,0.0
2019-09-15,63.0,435.0,420.0,421.0,1330.0,568630.0,431.0,-10.0
2019-09-16,98.0,422.0,411.0,419.0,1390.0,576370.0,421.0,-2.0
2019-09-17,56.0,439.0,419.0,439.0,2320.0,1011310.0,419.0,20.0
2019-09-18,90.0,459.0,436.0,456.0,2823.0,1261710.0,439.0,17.0
2019-09-19,114.0,456.0,441.0,441.0,2272.0,1016745.0,456.0,-15.0
2019-09-22,89.0,440.0,423.0,429.0,1658.0,707778.0,441.0,-12.0
2019-09-23,36.0,433.0,419.0,432.0,998.0,421338.0,429.0,3.0
2019-09-24,44.0,435.0,424.0,435.0,700.0,299705.0,432.0,3.0
2019-09-25,48.0,439.0,421.0,428.0,643.0,272396.0,435.0,-7.0
2019-09-26,87.0,430.0,420.0,423.0,2136.0,906326.0,428.0,-5.0
2019-09-29,52.0,431.0,420.0,424.0,1400.0,590160.0,423.0,1.0
2019-09-30,40.0,425.0,418.0,424.0,400.0,168680.0,424.0,0.0
2019-10-01,40.0,430.0,417.0,430.0,985.0,419250.0,424.0,6.0
2019-10-02,35.0,438.0,418.0,421.0,1040.0,437140.0,430.0,-9.0
2019-10-03,8.0,429.0,423.0,429.0,170.0,72580.0,421.0,8.0
2019-10-10,5.0,429.0,421.0,421.0,110.0,46520.0,429.0,-8.0
2019-10-14,25.0,420.0,416.0,418.0,340.0,142010.0,421.0,-3.0
2019-10-15,10.0,421.0,419.0,421.0,100.0,41980.0,418.0,3.0
2019-10-16,18.0,426.0,413.0,421.0,190.0,79830.0,421.0,0.0
2019-10-17,37.0,423.0,418.0,418.0,730.0,306550.0,421.0,-3.0
2019-10-20,38.0,419.0,413.0,416.0,830.0,344990.0,418.0,-2.0
2019-10-21,35.0,423.0,414.0,415.0,560.0,234520.0,416.0,-1.0
2019-10-22,31.0,417.0,407.0,417.0,390.0,162050.0,415.0,2.0
2019-10-23,21.0,420.0,413.0,415.0,300.0,124410.0,417.0,-2.0
2019-10-24,37.0,420.0,412.0,417.0,910.0,380530.0,415.0,2.0
2019-10-31,57.0,456.0,425.0,435.0,2010.0,881040.0,417.0,18.0
2019-11-03,52.0,444.0,432.0,438.0,1280.0,559610.0,435.0,3.0
2019-11-04,46.0,442.0,434.0,438.0,1210.0,530550.0,438.0,0.0
2019-11-05,57.0,443.0,434.0,439.0,1345.0,590685.0,438.0,1.0
2019-11-06,83.0,452.0,441.0,447.0,3628.0,1616322.0,439.0,8.0
2019-11-07,45.0,451.0,441.0,451.0,1177.0,525886.0,447.0,4.0
2019-11-10,58.0,450.0,437.0,450.0,1060.0,471440.0,451.0,-1.0
2019-11-11,109.0,487.0,445.0,480.0,5015.0,2347295.0,450.0,30.0
2019-11-12,51.0,487.0,445.0,464.0,1650.0,767810.0,480.0,-16.0
2019-11-13,55.0,471.0,455.0,470.0,2120.0,987246.0,464.0,6.0
2019-11-14,61.0,467.0,462.0,466.0,1050.0,487030.0,470.0,-4.0
2019-11-17,53.0,471.0,460.0,470.0,2040.0,948010.0,466.0,4.0
2019-11-18,48.0,472.0,465.0,470.0,890.0,417480.0,470.0,0.0
2019-11-19,109.0,488.0,465.0,475.0,4202.0,2005554.0,470.0,5.0
2019-11-20,76.0,487.0,469.0,481.0,1768.0,847670.0,475.0,6.0
2019-11-21,48.0,477.0,467.0,470.0,1290.0,607720.0,481.0,-11.0
2019-11-24,40.0,470.0,461.0,464.0,977.0,452084.0,470.0,-6.0
2019-11-25,74.0,471.0,457.0,460.0,1941.0,896328.0,464.0,-4.0
2019-11-26,37.0,475.0,460.0,469.0,1290.0,608050.0,460.0,9.0
2019-11-27,88.0,487.0,470.0,485.0,4416.0,2134200.0,469.0,16.0
2019-11-28,70.0,493.0,481.0,483.0,3280.0,1597648.0,485.0,-2.0
2019-12-01,44.0,490.0,478.0,486.0,1405.0,678890.0,483.0,3.0
2019-12-02,67.0,495.0,480.0,483.0,4096.0,1988726.0,486.0,-3.0
2019-12-03,64.0,491.0,482.0,488.0,5539.0,2711424.0,483.0,5.0
2019-12-04,120.0,510.0,491.0,495.0,10180.0,5076170.0,488.0,7.0
2019-12-05,104.0,522.0,495.0,515.0,4661.0,2365843.0,495.0,20.0
2019-12-08,131.0,544.0,505.0,544.0,8575.0,4475623.0,515.0,29.0
2019-12-09,142.0,590.0,548.0,577.0,11326.0,6445554.0,544.0,33.0
2019-12-10,124.0,585.0,560.0,574.0,9004.0,5132813.0,577.0,-3.0
2019-12-11,149.0,601.0,563.0,590.0,8533.0,4980517.0,574.0,16.0
2019-12-12,130.0,594.0,561.0,575.0,10475.0,6075330.0,590.0,-15.0
2019-12-15,96.0,580.0,557.0,559.0,8040.0,4551090.0,575.0,-16.0
2019-12-16,134.0,576.0,551.0,561.0,5386.0,3041791.0,559.0,2.0
2019-12-17,73.0,581.0,557.0,580.0,4880.0,2804100.0,561.0,19.0
2019-12-18,264.0,583.0,551.0,572.0,5938.0,3428528.0,580.0,-8.0
2019-12-19,234.0,580.0,567.0,571.0,9357.0,5380243.0,572.0,-1.0
2019-12-22,45.0,534.0,510.0,534.0,1815.0,941595.0,519.09,14.91
2019-12-23,37.0,550.0,527.0,540.0,2783.0,1484006.0,534.0,6.0
2019-12-24,49.0,560.0,529.0,535.0,6335.0,3381630.0,540.0,-5.0
