Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-03-24,2.0,108.0,108.0,108.0,20.0,2160.0,0.0,108.0
2013-04-23,1.0,110.0,110.0,110.0,177.0,19470.0,108.0,2.0
2013-04-25,2.0,110.0,108.0,110.0,265.0,28974.0,110.0,0.0
2013-05-19,2.0,108.0,106.0,106.0,928.0,98456.0,110.0,-4.0
2013-06-06,1.0,104.0,104.0,104.0,141.0,14664.0,106.0,-2.0
2013-06-12,2.0,102.0,100.0,100.0,40.0,4040.0,104.0,-4.0
2013-07-23,6.0,98.0,98.0,98.0,881.0,86338.0,100.0,-2.0
2013-08-29,1.0,98.0,98.0,98.0,159.0,15582.0,98.0,0.0
2013-09-04,9.0,97.0,89.0,89.0,250.0,23180.0,98.0,-9.0
2013-12-05,3.0,92.0,90.0,92.0,1888.0,172123.0,89.0,3.0
2013-12-08,6.0,95.0,93.0,94.0,3624.0,341355.0,92.0,2.0
2013-12-09,19.0,103.0,95.0,103.0,4872.0,486180.0,94.0,9.0
2013-12-10,17.0,109.0,102.0,102.0,7806.0,820406.0,103.0,-1.0
2013-12-11,2.0,100.0,98.0,98.0,538.0,53606.0,102.0,-4.0
2013-12-12,5.0,98.0,97.0,97.0,2491.0,241909.0,98.0,-1.0
2013-12-15,5.0,97.0,95.0,97.0,1298.0,123787.0,97.0,0.0
2013-12-16,6.0,99.0,98.0,99.0,802.0,79160.0,97.0,2.0
2013-12-18,1.0,100.0,100.0,100.0,884.0,88400.0,99.0,1.0
2013-12-19,3.0,104.0,102.0,104.0,1414.0,144758.0,100.0,4.0
2013-12-22,10.0,106.0,100.0,100.0,3614.0,369714.0,104.0,-4.0
2013-12-23,3.0,100.0,98.0,98.0,1015.0,100882.0,100.0,-2.0
2013-12-24,2.0,99.0,98.0,99.0,981.0,96235.0,98.0,1.0
2013-12-26,3.0,100.0,99.0,99.0,1237.0,123259.0,99.0,0.0
2013-12-29,6.0,100.0,97.0,98.0,820.0,80678.0,99.0,-1.0
2013-12-31,4.0,98.0,97.0,97.0,3518.0,342264.0,98.0,-1.0
2014-01-01,6.0,97.0,94.0,95.0,8620.0,826911.0,97.0,-2.0
2014-01-02,16.0,99.0,94.0,99.0,6147.0,590457.0,95.0,4.0
2014-01-05,35.0,108.0,100.0,102.0,11261.0,1169044.0,99.0,3.0
