Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-17,1.0,201.0,201.0,201.0,38.0,7638.0,205.0,-4.0
2012-07-22,6.0,197.0,182.0,182.0,60.0,11370.0,201.0,-19.0
2012-07-26,1.0,179.0,179.0,179.0,50.0,8950.0,182.0,-3.0
2012-07-31,2.0,176.0,173.0,173.0,48.0,8334.0,179.0,-6.0
2012-08-06,6.0,170.0,156.0,156.0,60.0,9760.0,173.0,-17.0
2012-08-07,6.0,153.0,141.0,141.0,60.0,8790.0,156.0,-15.0
2012-08-08,19.0,139.0,127.0,127.0,1616.0,213472.0,141.0,-14.0
2012-08-12,20.0,125.0,115.0,115.0,1125.0,130229.0,127.0,-12.0
2012-08-13,64.0,113.0,104.0,104.0,9132.0,959114.0,115.0,-11.0
2012-08-14,73.0,102.0,97.0,97.0,20463.0,2001977.0,104.0,-7.0
2012-08-15,35.0,100.0,96.0,100.0,7296.0,706908.0,97.0,3.0
2012-08-16,22.0,102.0,95.0,102.0,7553.0,729406.0,100.0,2.0
2012-08-19,15.0,100.0,97.0,97.0,3447.0,336703.0,102.0,-5.0
2012-08-21,33.0,98.0,94.0,97.0,5990.0,573886.0,97.0,0.0
2012-08-22,14.0,97.0,95.0,97.0,4841.0,463298.0,97.0,0.0
2012-08-23,17.0,97.0,94.0,94.0,3698.0,354872.0,97.0,-3.0
2012-08-26,23.0,96.0,93.0,96.0,6003.0,566083.0,94.0,2.0
2012-08-27,27.0,95.0,92.0,93.0,6848.0,639232.0,96.0,-3.0
2012-08-28,24.0,94.0,90.0,92.0,6966.0,641408.0,93.0,-1.0
2012-08-29,5.0,93.0,92.0,92.0,1048.0,97264.0,92.0,0.0
2012-08-30,8.0,94.0,93.0,94.0,2050.0,191170.0,92.0,2.0
2012-09-02,20.0,93.0,90.0,91.0,3438.0,312846.0,94.0,-3.0
2012-09-03,10.0,95.0,90.0,95.0,5529.0,499732.0,91.0,4.0
2012-09-04,20.0,94.0,90.0,91.0,8110.0,747394.0,95.0,-4.0
2012-09-05,2.0,93.0,92.0,93.0,40.0,3700.0,91.0,2.0
2012-09-06,17.0,94.0,89.0,94.0,18012.0,1621370.0,93.0,1.0
2012-09-09,12.0,93.0,93.0,93.0,4356.0,405108.0,94.0,-1.0
2012-09-10,2.0,94.0,93.0,93.0,206.0,19196.0,93.0,0.0
2012-09-11,8.0,92.0,90.0,90.0,2538.0,230561.0,93.0,-3.0
2012-09-12,18.0,92.0,90.0,90.0,3968.0,358845.0,90.0,0.0
2012-09-13,6.0,92.0,91.0,92.0,1368.0,124716.0,90.0,2.0
2012-09-16,19.0,92.0,90.0,90.0,5820.0,525158.0,92.0,-2.0
2012-09-17,9.0,92.0,90.0,92.0,3423.0,309292.0,90.0,2.0
2012-09-18,10.0,95.0,91.0,93.0,6127.0,565487.0,92.0,1.0
2012-09-19,5.0,95.0,94.0,95.0,6600.0,621000.0,93.0,2.0
2012-09-20,3.0,94.0,93.0,93.0,756.0,70564.0,95.0,-2.0
2012-09-26,4.0,93.0,92.0,93.0,1188.0,110274.0,93.0,0.0
2012-09-27,7.0,92.0,90.0,91.0,2049.0,185580.0,93.0,-2.0
2012-09-30,1.0,91.0,91.0,91.0,168.0,15288.0,91.0,0.0
2012-10-01,8.0,91.0,90.0,91.0,3980.0,359090.0,91.0,0.0
2012-10-02,6.0,90.0,90.0,90.0,3468.0,312120.0,91.0,-1.0
2012-10-03,12.0,92.0,90.0,90.0,5518.0,497940.0,90.0,0.0
2012-10-04,8.0,90.0,90.0,90.0,2336.0,210240.0,90.0,0.0
2012-10-07,6.0,91.0,90.0,91.0,4209.0,379278.0,90.0,1.0
2012-10-08,7.0,92.0,89.0,91.0,2046.0,183966.0,91.0,0.0
2012-10-09,14.0,94.0,92.0,94.0,3665.0,341557.0,91.0,3.0
2012-10-10,11.0,94.0,92.0,92.0,7335.0,685318.0,94.0,-2.0
2012-10-11,2.0,91.0,90.0,90.0,656.0,59076.0,92.0,-2.0
2012-10-14,1.0,90.0,90.0,90.0,76.0,6840.0,90.0,0.0
2012-10-15,1.0,91.0,91.0,91.0,929.0,84539.0,90.0,1.0
2012-10-17,2.0,91.0,90.0,91.0,7965.0,719815.0,91.0,0.0
2012-10-18,1.0,92.0,92.0,92.0,620.0,57040.0,91.0,1.0
2012-10-31,10.0,96.0,93.0,94.0,1981.0,186778.0,92.0,2.0
2012-11-01,2.0,95.0,94.0,95.0,900.0,85230.0,94.0,1.0
2012-11-06,26.0,104.0,95.0,104.0,9959.0,977872.0,95.0,9.0
2012-11-07,20.0,109.0,105.0,105.0,4704.0,503956.0,104.0,1.0
2012-11-08,30.0,108.0,97.0,107.0,20567.0,2056082.0,105.0,2.0
2012-11-11,8.0,107.0,101.0,103.0,1531.0,159523.0,107.0,-4.0
2012-11-12,9.0,107.0,103.0,106.0,2188.0,231098.0,103.0,3.0
2012-11-20,16.0,106.0,103.0,103.0,8926.0,926298.0,106.0,-3.0
2012-11-21,9.0,105.0,102.0,103.0,3939.0,407007.0,103.0,0.0
2012-11-22,15.0,105.0,99.0,103.0,7050.0,713816.0,103.0,0.0
2012-11-25,16.0,105.0,102.0,104.0,11836.0,1218612.0,103.0,1.0
2012-11-26,11.0,113.0,102.0,113.0,2816.0,292742.0,104.0,9.0
2012-11-27,3.0,112.0,110.0,110.0,140.0,15460.0,113.0,-3.0
2012-11-28,13.0,108.0,102.0,104.0,5374.0,557087.0,110.0,-6.0
2012-11-29,11.0,108.0,102.0,106.0,5747.0,610578.0,104.0,2.0
2012-12-02,8.0,106.0,104.0,106.0,3011.0,313512.0,106.0,0.0
2012-12-03,9.0,108.0,104.0,104.0,1981.0,207554.0,106.0,-2.0
2012-12-04,17.0,110.0,105.0,108.0,17275.0,1831577.0,104.0,4.0
2012-12-05,16.0,115.0,108.0,108.0,9549.0,1069997.0,108.0,0.0
2012-12-06,19.0,111.0,108.0,111.0,6282.0,691060.0,108.0,3.0
2012-12-09,5.0,110.0,109.0,109.0,868.0,94712.0,111.0,-2.0
2012-12-10,3.0,108.0,107.0,108.0,735.0,79187.0,109.0,-1.0
2012-12-11,21.0,114.0,108.0,114.0,17074.0,1859329.0,108.0,6.0
2012-12-12,14.0,113.0,108.0,108.0,7930.0,868738.0,114.0,-6.0
2012-12-13,10.0,110.0,108.0,110.0,4546.0,495490.0,108.0,2.0
2012-12-16,8.0,112.0,110.0,111.0,2218.0,245388.0,110.0,1.0
2012-12-17,16.0,114.0,110.0,113.0,11255.0,1249827.0,111.0,2.0
2012-12-18,29.0,117.0,110.0,117.0,18057.0,2046365.0,113.0,4.0
2012-12-19,20.0,125.0,116.0,117.0,5965.0,717225.0,117.0,0.0
2012-12-20,28.0,118.0,113.0,115.0,18337.0,2104692.0,117.0,-2.0
2012-12-23,8.0,119.0,115.0,115.0,6172.0,716808.0,115.0,0.0
2012-12-24,1.0,113.0,113.0,113.0,38.0,4294.0,115.0,-2.0
2012-12-26,13.0,124.0,115.0,124.0,10438.0,1263990.0,113.0,11.0
2012-12-27,13.0,136.0,126.0,136.0,4349.0,581604.0,124.0,12.0
2012-12-31,60.0,149.0,138.0,149.0,29485.0,4386595.0,136.0,13.0
2013-01-01,46.0,157.0,135.0,140.0,11954.0,1736341.0,149.0,-9.0
2013-01-02,33.0,148.0,136.0,146.0,5568.0,772096.0,140.0,6.0
2013-01-03,20.0,146.0,137.0,137.0,6089.0,845432.0,146.0,-9.0
2013-01-07,15.0,136.0,132.0,136.0,2553.0,338662.0,134.0,2.0
2013-01-08,3.0,134.0,130.0,130.0,955.0,125550.0,136.0,-6.0
2013-01-09,6.0,132.0,128.0,128.0,746.0,96688.0,130.0,-2.0
2013-01-10,5.0,129.0,124.0,125.0,1361.0,171569.0,128.0,-3.0
2013-01-13,2.0,127.0,125.0,127.0,541.0,67701.0,125.0,2.0
2013-01-15,2.0,125.0,125.0,125.0,290.0,36250.0,127.0,-2.0
2013-01-16,1.0,127.0,127.0,127.0,210.0,26670.0,125.0,2.0
2013-01-17,1.0,126.0,126.0,126.0,335.0,42210.0,127.0,-1.0
2013-01-20,1.0,124.0,124.0,124.0,300.0,37200.0,126.0,-2.0
2013-01-22,4.0,122.0,120.0,120.0,1220.0,147600.0,124.0,-4.0
2013-01-23,16.0,123.0,120.0,122.0,3354.0,407068.0,120.0,2.0
2013-01-24,6.0,122.0,121.0,121.0,2370.0,288160.0,122.0,-1.0
2013-01-27,3.0,120.0,119.0,120.0,410.0,48990.0,121.0,-1.0
2013-01-28,3.0,119.0,118.0,118.0,393.0,46482.0,120.0,-2.0
2013-01-30,2.0,122.0,120.0,122.0,788.0,95800.0,118.0,4.0
2013-01-31,5.0,120.0,118.0,118.0,2568.0,305320.0,122.0,-4.0
2013-02-04,6.0,120.0,119.0,119.0,4637.0,554683.0,118.0,1.0
2013-02-05,5.0,121.0,117.0,120.0,4460.0,522468.0,119.0,1.0
2013-02-06,1.0,122.0,122.0,122.0,38.0,4636.0,120.0,2.0
2013-02-07,3.0,122.0,120.0,120.0,565.0,68222.0,122.0,-2.0
2013-02-12,5.0,124.0,122.0,124.0,978.0,120902.0,120.0,4.0
2013-02-14,12.0,126.0,120.0,120.0,4683.0,576064.0,124.0,-4.0
2013-02-17,2.0,118.0,116.0,118.0,3010.0,349180.0,120.0,-2.0
2013-02-19,10.0,126.0,120.0,122.0,2685.0,328480.0,118.0,4.0
2013-02-20,1.0,123.0,123.0,123.0,38.0,4674.0,122.0,1.0
2013-02-25,1.0,121.0,121.0,121.0,100.0,12100.0,123.0,-2.0
2013-02-27,76.0,133.0,121.0,125.0,30195.0,3809136.0,121.0,4.0
2013-02-28,82.0,131.0,124.0,125.0,32958.0,4135543.0,125.0,0.0
2013-03-03,38.0,126.0,121.0,122.0,18114.0,2238481.0,125.0,-3.0
2013-03-04,27.0,122.0,120.0,121.0,19130.0,2302148.0,122.0,-1.0
2013-03-05,15.0,123.0,120.0,121.0,5638.0,679321.0,121.0,0.0
2013-03-07,8.0,120.0,120.0,120.0,3365.0,403800.0,120.0,0.0
2013-03-11,4.0,122.0,118.0,118.0,1263.0,151182.0,120.0,-2.0
2013-03-13,13.0,119.0,117.0,118.0,6480.0,763503.0,118.0,0.0
2013-03-14,16.0,120.0,119.0,120.0,10121.0,1211317.0,118.0,2.0
2013-03-17,8.0,121.0,119.0,119.0,6157.0,738903.0,120.0,-1.0
2013-03-18,15.0,120.0,117.0,117.0,14590.0,1720330.0,119.0,-2.0
2013-03-19,7.0,120.0,115.0,119.0,2188.0,257300.0,117.0,2.0
2013-03-21,3.0,117.0,116.0,117.0,386.0,45062.0,117.0,0.0
2013-03-24,4.0,116.0,115.0,115.0,1236.0,142760.0,117.0,-2.0
2013-03-25,12.0,117.0,114.0,114.0,7425.0,858570.0,115.0,-1.0
2013-03-27,2.0,115.0,115.0,115.0,1220.0,140300.0,114.0,1.0
2013-03-28,6.0,119.0,116.0,117.0,2827.0,331045.0,115.0,2.0
2013-04-01,6.0,116.0,113.0,116.0,2720.0,308220.0,115.0,1.0
2013-04-03,15.0,122.0,118.0,120.0,4296.0,516122.0,116.0,4.0
2013-04-04,8.0,120.0,118.0,119.0,2294.0,274250.0,120.0,-1.0
2013-04-07,4.0,117.0,115.0,116.0,1228.0,142448.0,119.0,-3.0
2013-04-09,8.0,122.0,116.0,122.0,2668.0,321110.0,116.0,6.0
2013-04-11,19.0,128.0,121.0,121.0,8246.0,1022386.0,122.0,-1.0
2013-04-15,8.0,125.0,119.0,123.0,4202.0,515158.0,121.0,2.0
2013-04-16,8.0,122.0,120.0,122.0,3187.0,386169.0,123.0,-1.0
2013-04-17,3.0,123.0,121.0,121.0,823.0,100306.0,122.0,-1.0
2013-04-18,15.0,122.0,119.0,120.0,9748.0,1170683.0,121.0,-1.0
2013-04-21,1.0,122.0,122.0,122.0,30.0,3660.0,120.0,2.0
2013-04-22,2.0,120.0,118.0,118.0,1210.0,144780.0,122.0,-4.0
2013-04-23,7.0,120.0,117.0,120.0,3118.0,368780.0,118.0,2.0
2013-04-28,4.0,118.0,114.0,114.0,225.0,26130.0,120.0,-6.0
2013-04-29,1.0,113.0,113.0,113.0,335.0,37855.0,114.0,-1.0
2013-04-30,10.0,116.0,113.0,114.0,749.0,85106.0,113.0,1.0
2013-05-02,2.0,112.0,112.0,112.0,200.0,22400.0,114.0,-2.0
2013-05-05,5.0,112.0,108.0,112.0,314.0,34432.0,112.0,0.0
2013-05-07,4.0,114.0,110.0,114.0,1567.0,172670.0,112.0,2.0
2013-05-08,2.0,113.0,113.0,113.0,94.0,10622.0,114.0,-1.0
2013-05-09,1.0,113.0,113.0,113.0,168.0,18984.0,113.0,0.0
2013-05-13,7.0,115.0,109.0,114.0,1605.0,179180.0,113.0,1.0
2013-05-15,1.0,112.0,112.0,112.0,756.0,84672.0,114.0,-2.0
2013-05-16,22.0,120.0,108.0,118.0,12693.0,1420750.0,112.0,6.0
2013-05-19,3.0,118.0,116.0,116.0,250.0,29200.0,118.0,-2.0
2013-05-21,8.0,114.0,108.0,111.0,3901.0,425291.0,116.0,-5.0
2013-05-22,10.0,113.0,107.0,112.0,3465.0,385508.0,111.0,1.0
2013-05-23,4.0,110.0,110.0,110.0,932.0,102520.0,112.0,-2.0
2013-05-26,3.0,112.0,110.0,112.0,1417.0,156876.0,110.0,2.0
2013-05-27,5.0,112.0,110.0,111.0,1965.0,218247.0,112.0,-1.0
2013-05-28,1.0,113.0,113.0,113.0,300.0,33900.0,111.0,2.0
2013-05-30,10.0,111.0,108.0,110.0,4292.0,470668.0,113.0,-3.0
2013-06-02,2.0,109.0,108.0,109.0,1310.0,142480.0,110.0,-1.0
2013-06-03,3.0,111.0,110.0,111.0,540.0,59843.0,109.0,2.0
2013-06-04,4.0,111.0,110.0,111.0,2565.0,282817.0,111.0,0.0
2013-06-05,7.0,113.0,108.0,110.0,3410.0,374360.0,111.0,-1.0
2013-06-06,10.0,115.0,110.0,115.0,10739.0,1185467.0,110.0,5.0
2013-06-09,13.0,117.0,113.0,116.0,6252.0,718792.0,115.0,1.0
2013-06-10,25.0,124.0,118.0,124.0,8911.0,1082180.0,116.0,8.0
2013-06-11,48.0,126.0,121.0,122.0,24657.0,3066468.0,124.0,-2.0
