Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,19.0,104.0,96.0,97.0,2120.0,206220.0,106.0,-9.0
2012-06-05,16.0,96.0,91.0,92.0,720.0,66310.0,97.0,-5.0
2012-06-06,43.0,92.0,88.0,88.0,4340.0,385850.0,92.0,-4.0
2012-06-07,32.0,91.0,86.0,87.0,3190.0,277780.0,88.0,-1.0
2012-06-10,48.0,87.0,85.0,87.0,1570.0,135560.0,87.0,0.0
2012-06-11,17.0,91.0,88.0,90.0,880.0,79520.0,87.0,3.0
2012-06-12,26.0,90.0,87.0,87.0,630.0,55540.0,90.0,-3.0
2012-06-13,16.0,88.0,85.0,87.0,1290.0,111560.0,87.0,0.0
2012-06-14,63.0,89.0,86.0,89.0,1710.0,148840.0,87.0,2.0
2012-06-17,42.0,90.0,88.0,89.0,2380.0,213490.0,89.0,0.0
2012-06-18,30.0,88.0,87.0,88.0,1200.0,104950.0,89.0,-1.0
2012-06-19,6.0,88.0,87.0,87.0,130.0,11350.0,88.0,-1.0
2012-06-20,14.0,88.0,87.0,87.0,280.0,24490.0,87.0,0.0
2012-06-21,16.0,88.0,87.0,87.0,460.0,40270.0,87.0,0.0
2012-06-25,27.0,89.0,86.0,89.0,2130.0,185630.0,87.0,2.0
2012-06-26,9.0,88.0,87.0,87.0,490.0,42710.0,89.0,-2.0
2012-06-27,15.0,90.0,88.0,90.0,1010.0,89590.0,87.0,3.0
2012-06-28,14.0,91.0,90.0,90.0,1020.0,92560.0,90.0,0.0
2012-07-01,22.0,91.0,90.0,91.0,710.0,64570.0,90.0,1.0
2012-07-02,47.0,90.0,86.0,90.0,2200.0,194730.0,91.0,-1.0
2012-07-03,6.0,90.0,88.0,88.0,410.0,36190.0,90.0,-2.0
2012-07-04,13.0,90.0,89.0,90.0,820.0,73630.0,88.0,2.0
2012-07-05,84.0,91.0,89.0,90.0,3760.0,340300.0,90.0,0.0
2012-07-08,4.0,89.0,88.0,89.0,1960.0,174370.0,90.0,-1.0
