Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,1.0,256.0,256.0,256.0,20.0,5120.0,251.0,5.0
2012-06-05,5.0,255.0,251.0,252.0,595.0,150018.0,256.0,-4.0
2012-06-06,2.0,250.0,249.0,250.0,467.0,116300.0,252.0,-2.0
2012-06-07,3.0,260.0,255.0,255.0,45.0,11525.0,250.0,5.0
2012-06-10,3.0,260.0,259.0,260.0,59.0,15321.0,255.0,5.0
2012-06-11,3.0,270.0,265.0,270.0,470.0,124800.0,260.0,10.0
2012-06-12,5.0,270.0,265.0,270.0,2669.0,716902.0,270.0,0.0
2012-06-13,5.0,290.0,271.0,290.0,140.0,38400.0,270.0,20.0
2012-06-14,7.0,285.0,270.0,275.0,365.0,99675.0,290.0,-15.0
2012-06-17,5.0,271.0,270.0,270.0,2196.0,593020.0,275.0,-5.0
2012-06-18,3.0,275.0,270.0,275.0,2957.0,801190.0,270.0,5.0
2012-06-26,3.0,270.0,265.0,265.0,118.0,31620.0,275.0,-10.0
2012-06-27,3.0,265.0,261.0,265.0,221.0,57921.0,265.0,0.0
2012-06-28,1.0,270.0,270.0,270.0,1218.0,328860.0,265.0,5.0
2012-07-01,1.0,270.0,270.0,270.0,67.0,18090.0,270.0,0.0
2012-07-02,1.0,271.0,271.0,271.0,48.0,13008.0,270.0,1.0
2012-07-03,1.0,276.0,276.0,276.0,10.0,2760.0,271.0,5.0
2012-07-04,1.0,280.0,280.0,280.0,450.0,126000.0,276.0,4.0
2012-07-09,1.0,275.0,275.0,275.0,146.0,40150.0,280.0,-5.0
2012-07-11,1.0,280.0,280.0,280.0,18.0,5040.0,275.0,5.0
2012-07-12,3.0,280.0,275.0,280.0,503.0,138375.0,280.0,0.0
2012-07-16,1.0,285.0,285.0,285.0,25.0,7125.0,280.0,5.0
2012-07-17,8.0,295.0,285.0,295.0,2339.0,684593.0,285.0,10.0
2012-07-18,7.0,300.0,299.0,300.0,1517.0,455075.0,295.0,5.0
2012-07-19,8.0,305.0,300.0,305.0,519.0,157194.0,300.0,5.0
2012-07-22,9.0,329.0,311.0,329.0,665.0,215293.0,305.0,24.0
2012-07-23,3.0,335.0,334.0,334.0,100.0,33420.0,329.0,5.0
2012-07-24,2.0,328.0,327.0,327.0,94.0,30792.0,334.0,-7.0
2012-07-25,3.0,325.0,321.0,321.0,115.0,37135.0,327.0,-6.0
2012-07-26,25.0,333.0,314.0,323.0,4614.0,1479029.0,321.0,2.0
2012-07-29,2.0,318.0,317.0,318.0,143.0,45370.0,323.0,-5.0
2012-07-30,3.0,315.0,312.0,315.0,694.0,216915.0,318.0,-3.0
2012-07-31,1.0,321.0,321.0,321.0,100.0,32100.0,315.0,6.0
2012-08-01,4.0,325.0,320.0,325.0,424.0,136800.0,321.0,4.0
2012-08-05,2.0,325.0,324.0,325.0,325.0,105500.0,325.0,0.0
2012-08-06,5.0,327.0,324.0,327.0,2400.0,780400.0,325.0,2.0
