Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-01-07,1.0,279.0,279.0,279.0,10.0,2790.0,279.0,0.0
2019-01-09,4.0,279.0,274.0,274.0,80.0,21920.0,279.0,-5.0
2019-01-16,3.0,274.0,261.0,269.0,50.0,13290.0,274.0,-5.0
2019-01-17,4.0,269.0,243.0,243.0,70.0,17410.0,269.0,-26.0
2019-01-23,3.0,243.0,231.0,231.0,500.0,115500.0,243.0,-12.0
2019-01-29,1.0,231.0,220.0,220.0,20.0,4400.0,231.0,-11.0
2019-02-07,3.0,220.0,201.0,201.0,60.0,12300.0,220.0,-19.0
2019-02-10,1.0,201.0,191.0,191.0,20.0,3820.0,201.0,-10.0
2019-02-26,3.0,191.0,176.0,176.0,60.0,10740.0,191.0,-15.0
2019-03-03,1.0,176.0,168.0,168.0,10.0,1680.0,176.0,-8.0
2019-03-05,1.0,168.0,160.0,160.0,20.0,3200.0,168.0,-8.0
2019-04-09,3.0,152.0,147.0,147.0,50.0,7440.0,160.0,-13.0
2019-05-13,1.0,140.0,140.0,140.0,20.0,2800.0,147.0,-7.0
2019-05-14,3.0,133.0,133.0,133.0,50.0,6650.0,140.0,-7.0
2019-05-23,4.0,127.0,123.0,123.0,70.0,8750.0,133.0,-10.0
2019-05-26,13.0,117.0,111.0,111.0,210.0,23570.0,123.0,-12.0
2019-05-28,2.0,106.0,104.0,104.0,20.0,2100.0,111.0,-7.0
2019-05-29,148.0,99.0,94.0,94.0,2505.0,235870.0,104.0,-10.0
2019-05-30,244.0,98.0,93.0,94.0,4586.0,435640.0,94.0,0.0
2019-06-02,59.0,95.0,91.0,95.0,1100.0,102890.0,94.0,1.0
2019-06-03,1.0,94.0,94.0,94.0,20.0,1880.0,95.0,-1.0
2019-06-04,100.0,93.0,88.0,88.0,1800.0,163020.0,94.0,-6.0
2019-06-06,98.0,92.0,89.0,92.0,1820.0,164350.0,88.0,4.0
2019-06-11,129.0,96.0,91.0,94.0,3610.0,340130.0,92.0,2.0
2019-06-12,50.0,93.0,87.0,90.0,790.0,70070.0,94.0,-4.0
2019-06-13,33.0,89.0,85.0,87.0,600.0,51830.0,90.0,-3.0
2019-06-16,37.0,86.0,84.0,86.0,660.0,56010.0,87.0,-1.0
2019-06-17,28.0,85.0,83.0,84.0,480.0,40420.0,86.0,-2.0
2019-06-18,25.0,84.0,83.0,84.0,480.0,40220.0,84.0,0.0
2019-06-19,14.0,85.0,83.0,84.0,260.0,21800.0,84.0,0.0
2019-06-20,16.0,85.0,80.0,84.0,470.0,38550.0,84.0,0.0
2019-06-23,30.0,84.0,82.0,83.0,640.0,53040.0,84.0,-1.0
2019-06-24,35.0,83.0,80.0,83.0,760.0,62120.0,83.0,0.0
2019-06-25,23.0,83.0,81.0,83.0,390.0,32030.0,83.0,0.0
2019-06-26,38.0,83.0,81.0,82.0,760.0,62500.0,83.0,-1.0
2019-06-27,25.0,84.0,81.0,83.0,480.0,39470.0,82.0,1.0
2019-06-30,46.0,82.0,79.0,81.0,860.0,69500.0,83.0,-2.0
2019-07-01,53.0,81.0,79.0,80.0,950.0,75740.0,81.0,-1.0
2019-07-02,29.0,81.0,79.0,80.0,530.0,42150.0,80.0,0.0
2019-07-03,39.0,80.0,78.0,78.0,1030.0,81760.0,80.0,-2.0
2019-07-04,7.0,79.0,78.0,79.0,130.0,10240.0,78.0,1.0
2019-07-07,10.0,80.0,78.0,79.0,180.0,14160.0,79.0,0.0
2019-07-08,15.0,79.0,78.0,78.0,250.0,19530.0,79.0,-1.0
2019-07-09,24.0,81.0,77.0,79.0,420.0,33100.0,78.0,1.0
2019-07-10,12.0,79.0,78.0,79.0,220.0,17220.0,79.0,0.0
2019-07-11,57.0,79.0,76.0,76.0,1050.0,81520.0,79.0,-3.0
2019-07-14,16.0,77.0,75.0,77.0,290.0,21990.0,76.0,1.0
2019-07-15,5.0,78.0,77.0,78.0,100.0,7740.0,77.0,1.0
2019-07-16,19.0,79.0,77.0,77.0,370.0,28850.0,78.0,-1.0
2019-07-17,15.0,80.0,78.0,79.0,450.0,35590.0,77.0,2.0
2019-07-18,7.0,80.0,77.0,77.0,170.0,13500.0,79.0,-2.0
2019-07-21,17.0,79.0,77.0,79.0,270.0,21020.0,77.0,2.0
2019-07-22,19.0,79.0,77.0,79.0,520.0,40470.0,79.0,0.0
2019-07-23,14.0,80.0,78.0,78.0,280.0,22140.0,79.0,-1.0
2019-07-24,25.0,80.0,76.0,79.0,430.0,33420.0,78.0,1.0
2019-07-25,17.0,80.0,79.0,79.0,380.0,30200.0,79.0,0.0
2019-07-28,10.0,78.0,78.0,78.0,190.0,14820.0,79.0,-1.0
2019-07-29,9.0,78.0,74.0,75.0,160.0,12150.0,78.0,-3.0
2019-07-30,25.0,76.0,74.0,75.0,440.0,32910.0,75.0,0.0
2019-07-31,18.0,76.0,74.0,75.0,330.0,24560.0,75.0,0.0
2019-08-01,20.0,76.0,74.0,74.0,330.0,24620.0,75.0,-1.0
2019-08-04,26.0,75.0,73.0,74.0,480.0,35320.0,74.0,0.0
2019-08-05,14.0,74.0,73.0,73.0,230.0,16900.0,74.0,-1.0
2019-08-06,34.0,75.0,73.0,75.0,650.0,47890.0,73.0,2.0
2019-08-07,10.0,74.0,71.0,74.0,200.0,14600.0,75.0,-1.0
2019-08-08,38.0,76.0,73.0,74.0,680.0,50480.0,74.0,0.0
2019-08-11,73.0,73.0,68.0,68.0,1450.0,103140.0,74.0,-6.0
2019-08-12,20.0,74.0,68.0,73.0,390.0,27420.0,68.0,5.0
2019-08-13,34.0,73.0,71.0,71.0,740.0,53440.0,73.0,-2.0
2019-08-14,19.0,72.0,70.0,71.0,370.0,26270.0,71.0,0.0
2019-08-15,11.0,71.0,70.0,70.0,220.0,15520.0,71.0,-1.0
2019-08-18,34.0,70.0,68.0,69.0,610.0,41730.0,70.0,-1.0
2019-08-19,18.0,68.0,66.0,67.0,330.0,22180.0,69.0,-2.0
2019-08-20,13.0,67.0,65.0,67.0,260.0,17240.0,67.0,0.0
2019-08-21,31.0,68.0,66.0,68.0,670.0,45000.0,67.0,1.0
2019-08-22,25.0,69.0,67.0,67.0,600.0,40790.0,68.0,-1.0
2019-08-25,15.0,66.0,64.0,66.0,370.0,24160.0,67.0,-1.0
2019-08-26,18.0,67.0,65.0,66.0,340.0,22510.0,66.0,0.0
2019-08-27,18.0,68.0,65.0,67.0,340.0,22670.0,66.0,1.0
2019-08-28,10.0,68.0,66.0,67.0,200.0,13360.0,67.0,0.0
