Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-12-10,10.0,419.0,381.0,419.0,590.0,237510.0,0.0,419.0
2015-12-17,10.0,460.0,427.0,460.0,100.0,45070.0,419.0,41.0
2016-03-23,8.0,492.0,483.0,492.0,190.0,92670.0,460.0,32.0
2016-03-24,44.0,541.0,516.0,541.0,440.0,237590.0,492.0,49.0
2016-03-27,3.0,568.0,568.0,568.0,30.0,17040.0,541.0,27.0
2016-03-28,5.0,596.0,596.0,596.0,50.0,29800.0,568.0,28.0
2016-03-31,1.0,528.0,528.0,528.0,10.0,5280.0,518.0,10.0
2016-05-03,1.0,538.0,538.0,538.0,10.0,5380.0,528.0,10.0
2016-05-10,1.0,548.0,548.0,548.0,10.0,5480.0,538.0,10.0
2016-05-15,1.0,558.0,558.0,558.0,10.0,5580.0,548.0,10.0
2016-05-18,1.0,585.0,585.0,585.0,10.0,5850.0,558.0,27.0
2016-05-31,2.0,607.0,596.0,607.0,20.0,12030.0,585.0,22.0
2016-06-09,1.0,619.0,619.0,619.0,10.0,6190.0,607.0,12.0
2016-06-20,1.0,649.0,649.0,649.0,10.0,6490.0,619.0,30.0
2016-06-26,1.0,661.0,661.0,661.0,10.0,6610.0,649.0,12.0
2016-07-05,1.0,694.0,694.0,694.0,10.0,6940.0,661.0,33.0
2016-07-14,1.0,707.0,707.0,707.0,10.0,7070.0,694.0,13.0
2016-07-17,7.0,777.0,721.0,777.0,1125.0,860965.0,707.0,70.0
2016-07-18,1.0,792.0,792.0,792.0,10.0,7920.0,777.0,15.0
2016-07-19,1.0,807.0,807.0,807.0,10.0,8070.0,792.0,15.0
2016-07-20,1.0,847.0,847.0,847.0,10.0,8470.0,807.0,40.0
2016-07-27,1.0,863.0,863.0,863.0,10.0,8630.0,847.0,16.0
2016-07-28,1.0,906.0,906.0,906.0,10.0,9060.0,863.0,43.0
2016-08-07,2.0,942.0,924.0,942.0,20.0,18660.0,906.0,36.0
2016-08-08,2.0,1008.0,989.0,1008.0,20.0,19970.0,942.0,66.0
2016-08-09,1.0,1058.0,1058.0,1058.0,10.0,10580.0,1008.0,50.0
2016-08-14,2.0,1110.0,1110.0,1110.0,20.0,22200.0,1058.0,52.0
2016-08-16,1.0,1150.0,1150.0,1150.0,10.0,11500.0,1110.0,40.0
2016-08-21,1.0,1173.0,1173.0,1173.0,10.0,11730.0,1150.0,23.0
2016-08-28,2.0,1219.0,1196.0,1219.0,20.0,24150.0,1173.0,46.0
2016-08-31,2.0,1267.0,1243.0,1267.0,20.0,25100.0,1219.0,48.0
2016-09-04,4.0,1330.0,1330.0,1330.0,40.0,53200.0,1267.0,63.0
2016-09-08,1.0,1356.0,1356.0,1356.0,10.0,13560.0,1330.0,26.0
2016-09-11,1.0,1383.0,1383.0,1383.0,10.0,13830.0,1356.0,27.0
2016-09-14,1.0,1410.0,1410.0,1410.0,10.0,14100.0,1383.0,27.0
2016-09-18,2.0,1480.0,1480.0,1480.0,20.0,29600.0,1410.0,70.0
2016-09-20,1.0,1509.0,1509.0,1509.0,10.0,15090.0,1480.0,29.0
2016-09-22,1.0,1584.0,1584.0,1584.0,10.0,15840.0,1509.0,75.0
2016-09-25,1.0,1615.0,1615.0,1615.0,10.0,16150.0,1584.0,31.0
2016-09-28,3.0,1712.0,1647.0,1712.0,30.0,50380.0,1615.0,97.0
2016-10-03,2.0,1780.0,1746.0,1780.0,20.0,35260.0,1712.0,68.0
2016-10-05,2.0,1906.0,1869.0,1906.0,20.0,37750.0,1780.0,126.0
2016-10-16,1.0,1944.0,1944.0,1944.0,10.0,19440.0,1906.0,38.0
2016-10-17,1.0,1982.0,1982.0,1982.0,10.0,19820.0,1944.0,38.0
2016-10-19,2.0,2061.0,2021.0,2061.0,20.0,40820.0,1982.0,79.0
2016-10-24,2.0,2144.0,2102.0,2144.0,20.0,42460.0,2061.0,83.0
2016-10-25,2.0,2229.0,2186.0,2229.0,20.0,44150.0,2144.0,85.0
2016-10-26,8.0,2451.0,2273.0,2451.0,80.0,191700.0,2229.0,222.0
2016-10-27,20.0,2696.0,2500.0,2696.0,420.0,1127520.0,2451.0,245.0
2016-11-03,27.0,2965.0,2749.0,2965.0,490.0,1447520.0,2696.0,269.0
2016-11-07,144.0,3055.0,2802.0,3050.0,1620.0,4796230.0,2965.0,85.0
2016-11-08,114.0,3100.0,2901.0,3060.0,1355.0,4067900.0,3050.0,10.0
2016-11-09,52.0,3060.0,2906.0,2906.0,620.0,1828610.0,3060.0,-154.0
2016-11-10,55.0,3000.0,2860.0,2899.0,560.0,1637940.0,2906.0,-7.0
2016-11-13,74.0,2998.0,2850.0,2905.0,750.0,2186520.0,2899.0,6.0
2016-11-14,30.0,2910.0,2865.0,2868.0,420.0,1210870.0,2905.0,-37.0
2016-11-15,20.0,2900.0,2820.0,2840.0,200.0,570080.0,2868.0,-28.0
2016-11-16,33.0,2840.0,2740.0,2740.0,450.0,1243780.0,2840.0,-100.0
2016-11-17,9.0,2686.0,2600.0,2600.0,120.0,313290.0,2740.0,-140.0
2016-11-20,13.0,2548.0,2411.0,2411.0,130.0,323440.0,2600.0,-189.0
2016-11-21,29.0,2363.0,2200.0,2290.0,320.0,723320.0,2411.0,-121.0
2016-11-22,56.0,2280.0,2157.0,2163.0,680.0,1508410.0,2290.0,-127.0
2016-11-23,82.0,2200.0,2066.0,2066.0,860.0,1819250.0,2163.0,-97.0
2016-11-24,29.0,2150.0,2027.0,2027.0,310.0,643020.0,2066.0,-39.0
2016-11-27,67.0,2050.0,1851.0,1851.0,690.0,1372080.0,2027.0,-176.0
2016-11-28,53.0,1887.0,1666.0,1887.0,580.0,1014300.0,1851.0,36.0
2016-11-29,44.0,1960.0,1780.0,1960.0,1595.0,2909645.0,1887.0,73.0
2016-11-30,1.0,1665.0,1665.0,1665.0,50.0,83250.0,1633.0,32.0
2016-12-01,11.0,1735.0,1698.0,1735.0,200.0,342720.0,1665.0,70.0
2016-12-04,3.0,1744.0,1710.0,1744.0,30.0,51940.0,1735.0,9.0
2016-12-05,4.0,1786.0,1750.0,1786.0,110.0,192970.0,1744.0,42.0
2016-12-06,16.0,1755.0,1686.0,1686.0,160.0,275710.0,1786.0,-100.0
2016-12-07,1.0,1686.0,1686.0,1686.0,10.0,16860.0,1686.0,0.0
2016-12-08,3.0,1788.0,1719.0,1788.0,40.0,70130.0,1686.0,102.0
2016-12-11,2.0,1823.0,1787.0,1787.0,30.0,53970.0,1788.0,-1.0
2016-12-12,3.0,1765.0,1752.0,1765.0,30.0,52780.0,1787.0,-22.0
2016-12-14,20.0,1735.0,1731.0,1735.0,200.0,346450.0,1765.0,-30.0
2016-12-18,3.0,1720.0,1701.0,1720.0,30.0,51230.0,1735.0,-15.0
2016-12-19,1.0,1690.0,1690.0,1690.0,10.0,16900.0,1720.0,-30.0
2016-12-20,8.0,1715.0,1658.0,1691.0,160.0,270970.0,1690.0,1.0
2016-12-21,9.0,1661.0,1630.0,1630.0,210.0,345080.0,1691.0,-61.0
2016-12-22,2.0,1645.0,1635.0,1645.0,20.0,32800.0,1630.0,15.0
2016-12-26,40.0,1809.0,1677.0,1809.0,1390.0,2502230.0,1645.0,164.0
2016-12-27,11.0,1815.0,1741.0,1815.0,210.0,377120.0,1809.0,6.0
2016-12-28,10.0,1888.0,1813.0,1813.0,110.0,202450.0,1815.0,-2.0
2016-12-29,6.0,1849.0,1813.0,1813.0,110.0,199890.0,1813.0,0.0
2017-01-01,1.0,1849.0,1849.0,1849.0,10.0,18490.0,1813.0,36.0
2017-01-02,5.0,1868.0,1850.0,1868.0,80.0,149000.0,1849.0,19.0
2017-01-03,8.0,1831.0,1795.0,1795.0,80.0,144050.0,1868.0,-73.0
2017-01-04,4.0,1800.0,1761.0,1764.0,50.0,89210.0,1795.0,-31.0
2017-01-05,3.0,1745.0,1745.0,1745.0,30.0,52350.0,1764.0,-19.0
2017-01-08,4.0,1779.0,1713.0,1779.0,130.0,229930.0,1745.0,34.0
2017-01-09,1.0,1780.0,1780.0,1780.0,40.0,71200.0,1779.0,1.0
2017-01-10,12.0,1851.0,1815.0,1815.0,280.0,514990.0,1780.0,35.0
2017-01-11,1.0,1800.0,1800.0,1800.0,10.0,18000.0,1815.0,-15.0
2017-01-12,7.0,1764.0,1730.0,1730.0,220.0,381290.0,1800.0,-70.0
2017-01-15,6.0,1734.0,1696.0,1734.0,60.0,102900.0,1730.0,4.0
2017-01-16,3.0,1734.0,1700.0,1721.0,30.0,51550.0,1734.0,-13.0
2017-01-18,5.0,1860.0,1755.0,1860.0,70.0,127950.0,1721.0,139.0
2017-01-19,11.0,1835.0,1805.0,1813.0,170.0,310190.0,1860.0,-47.0
2017-01-22,6.0,1888.0,1830.0,1870.0,282.0,521788.0,1813.0,57.0
2017-01-23,1.0,1836.0,1836.0,1836.0,10.0,18360.0,1870.0,-34.0
2017-01-24,14.0,1849.0,1802.0,1815.0,210.0,382840.0,1836.0,-21.0
2017-01-25,6.0,1785.0,1751.0,1751.0,88.0,156530.0,1815.0,-64.0
2017-01-26,7.0,1716.0,1651.0,1660.0,280.0,465260.0,1751.0,-91.0
2017-01-30,7.0,1628.0,1495.0,1495.0,70.0,108230.0,1660.0,-165.0
