Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-10-17,12.0,105.0,105.0,105.0,1188.0,124740.0,0.0,105.0
2013-10-27,1.0,105.0,105.0,105.0,45.0,4725.0,105.0,0.0
2013-10-29,1.0,105.0,105.0,105.0,64.0,6720.0,105.0,0.0
2014-02-18,2.0,105.0,103.0,105.0,744.0,77376.0,105.0,0.0
2014-03-05,1.0,105.0,105.0,105.0,3361.0,352905.0,105.0,0.0
2014-03-31,1.0,107.0,107.0,107.0,372.0,39804.0,105.0,2.0
2014-04-06,1.0,109.0,109.0,109.0,99.0,10791.0,107.0,2.0
2014-04-28,1.0,111.0,111.0,111.0,135.0,14985.0,109.0,2.0
2014-07-06,2.0,113.0,113.0,113.0,888.0,100344.0,111.0,2.0
2014-07-08,1.0,118.0,118.0,118.0,10.0,1180.0,113.0,5.0
2014-07-09,1.0,123.0,123.0,123.0,10.0,1230.0,118.0,5.0
2014-07-10,3.0,129.0,125.0,129.0,30.0,3810.0,123.0,6.0
2014-07-13,6.0,141.0,131.0,141.0,60.0,8160.0,129.0,12.0
2014-07-15,5.0,151.0,143.0,151.0,50.0,7350.0,141.0,10.0
2014-07-16,3.0,160.0,154.0,160.0,30.0,4710.0,151.0,9.0
2014-07-17,1.0,163.0,163.0,163.0,10.0,1630.0,160.0,3.0
2014-07-20,5.0,178.0,166.0,178.0,50.0,8600.0,163.0,15.0
2014-07-21,3.0,187.0,181.0,187.0,30.0,5520.0,178.0,9.0
2014-07-23,4.0,205.0,196.0,205.0,49.0,9838.0,187.0,18.0
2014-07-24,2.0,213.0,209.0,213.0,244.0,51916.0,205.0,8.0
2014-07-27,5.0,233.0,217.0,233.0,50.0,11250.0,213.0,20.0
2014-07-28,3.0,245.0,237.0,245.0,30.0,7230.0,233.0,12.0
2014-07-30,4.0,267.0,257.0,267.0,40.0,10430.0,245.0,22.0
2014-07-31,4.0,287.0,272.0,287.0,414.0,115713.0,267.0,20.0
2014-08-03,5.0,314.0,292.0,314.0,150.0,46530.0,287.0,27.0
2014-08-04,8.0,344.0,320.0,344.0,1188.0,405924.0,314.0,30.0
2014-08-05,5.0,348.0,342.0,342.0,753.0,261453.0,344.0,-2.0
2014-08-06,2.0,354.0,348.0,354.0,120.0,42420.0,342.0,12.0
2014-09-04,1.0,347.0,347.0,347.0,10.0,3470.0,354.0,-7.0
2014-09-14,5.0,341.0,317.0,317.0,50.0,16450.0,347.0,-30.0
2014-10-16,4.0,311.0,311.0,311.0,180.0,55980.0,317.0,-6.0
2014-10-20,3.0,305.0,305.0,305.0,774.0,236070.0,311.0,-6.0
2014-12-22,6.0,300.0,300.0,300.0,1088.0,326400.0,305.0,-5.0
2015-01-19,3.0,272.0,262.0,272.0,30.0,8010.0,257.0,15.0
2015-01-22,1.0,277.0,277.0,277.0,363.0,100551.0,272.0,5.0
2015-01-25,4.0,297.0,282.0,297.0,75.0,21975.0,277.0,20.0
2015-01-27,7.0,326.0,302.0,326.0,464.0,150556.0,297.0,29.0
2015-01-28,5.0,357.0,332.0,357.0,50.0,17210.0,326.0,31.0
2015-01-29,3.0,378.0,364.0,378.0,30.0,11130.0,357.0,21.0
2015-02-02,2.0,392.0,385.0,392.0,20.0,7770.0,378.0,14.0
2015-02-03,1.0,399.0,399.0,399.0,20.0,7980.0,392.0,7.0
2015-02-11,6.0,437.0,403.0,437.0,240.0,100860.0,399.0,38.0
2015-02-12,2.0,429.0,421.0,421.0,65.0,27525.0,437.0,-16.0
2015-02-16,2.0,421.0,413.0,413.0,175.0,73355.0,421.0,-8.0
2015-02-18,2.0,410.0,402.0,402.0,55.0,22470.0,413.0,-11.0
2015-02-22,2.0,403.0,403.0,403.0,200.0,80600.0,402.0,1.0
2015-02-24,1.0,395.0,395.0,395.0,10.0,3950.0,403.0,-8.0
2015-03-04,1.0,390.0,390.0,390.0,500.0,195000.0,395.0,-5.0
2015-03-09,1.0,397.0,397.0,397.0,10.0,3970.0,390.0,7.0
2015-03-11,1.0,395.0,395.0,395.0,91.0,35945.0,397.0,-2.0
2015-03-12,9.0,424.0,400.0,424.0,1088.0,450962.0,395.0,29.0
2015-03-15,4.0,454.0,430.0,454.0,140.0,62840.0,424.0,30.0
2015-03-16,1.0,445.0,445.0,445.0,300.0,133500.0,454.0,-9.0
2015-03-30,1.0,448.0,448.0,448.0,275.0,123200.0,445.0,3.0
2015-07-13,2.0,440.0,432.0,432.0,40.0,17440.0,448.0,-16.0
2015-07-15,9.0,424.0,392.0,400.0,871.0,348129.0,432.0,-32.0
2015-07-16,3.0,402.0,400.0,400.0,725.0,290188.0,400.0,0.0
2015-07-22,1.0,408.0,408.0,408.0,10.0,4080.0,400.0,8.0
2015-07-23,6.0,440.0,416.0,440.0,1001.0,432048.0,408.0,32.0
2015-07-29,1.0,440.0,440.0,440.0,107.0,47080.0,440.0,0.0
2015-09-15,1.0,448.0,448.0,448.0,234.0,104832.0,440.0,8.0
2015-10-28,2.0,448.0,440.0,448.0,120.0,53160.0,448.0,0.0
2015-12-20,1.0,448.0,448.0,448.0,455.0,203840.0,448.0,0.0
2016-01-06,2.0,370.0,370.0,370.0,519.0,192030.0,370.0,0.0
2016-01-13,2.0,377.0,377.0,377.0,90.0,33930.0,370.0,7.0
2016-01-14,1.0,384.0,384.0,384.0,45.0,17280.0,377.0,7.0
