Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-02-05,4.0,378.0,357.0,378.0,40.0,14700.0,0.0,378.0
2014-02-06,3.0,399.0,385.0,399.0,30.0,11760.0,378.0,21.0
2014-02-10,1.0,399.0,399.0,399.0,10.0,3990.0,399.0,0.0
2014-02-11,2.0,414.0,406.0,414.0,43.0,17722.0,399.0,15.0
2014-02-12,8.0,455.0,422.0,455.0,80.0,35550.0,414.0,41.0
2014-02-13,2.0,473.0,464.0,473.0,43.0,20249.0,455.0,18.0
2014-02-16,6.0,520.0,482.0,520.0,276.0,140390.0,473.0,47.0
2014-02-17,7.0,572.0,530.0,572.0,70.0,38970.0,520.0,52.0
2014-02-18,9.0,629.0,583.0,629.0,90.0,55440.0,572.0,57.0
2014-02-20,5.0,691.0,660.0,691.0,65.0,44105.0,629.0,62.0
2014-02-23,35.0,760.0,704.0,760.0,854.0,644616.0,691.0,69.0
2014-02-24,60.0,836.0,775.0,836.0,2829.0,2224068.0,760.0,76.0
2014-02-25,345.0,919.0,770.0,918.0,10245.0,8844204.0,836.0,82.0
2014-02-26,167.0,920.0,855.0,856.0,3820.0,3374222.0,918.0,-62.0
2014-03-03,225.0,840.0,780.0,813.0,3330.0,2692271.0,856.0,-43.0
2014-03-04,197.0,800.0,780.0,797.0,5326.0,4192335.0,813.0,-16.0
2014-03-05,81.0,806.0,785.0,795.0,1518.0,1210104.0,797.0,-2.0
2014-03-06,38.0,800.0,775.0,775.0,616.0,487217.0,795.0,-20.0
2014-03-09,130.0,780.0,756.0,780.0,1834.0,1407213.0,775.0,5.0
2014-03-10,216.0,775.0,730.0,765.0,2660.0,1989914.0,780.0,-15.0
2014-03-11,106.0,760.0,740.0,750.0,1294.0,971642.0,765.0,-15.0
2014-03-12,81.0,745.0,725.0,738.0,1136.0,835291.0,750.0,-12.0
2014-03-13,90.0,750.0,730.0,750.0,1177.0,873789.0,738.0,12.0
2014-03-17,115.0,745.0,701.0,705.0,1250.0,892798.0,750.0,-45.0
2014-03-18,167.0,709.0,681.0,681.0,2024.0,1398314.0,705.0,-24.0
2014-03-19,86.0,690.0,667.0,681.0,1156.0,786664.0,681.0,0.0
2014-03-20,44.0,690.0,670.0,690.0,800.0,541856.0,681.0,9.0
2014-03-23,80.0,695.0,660.0,680.0,896.0,605070.0,690.0,-10.0
2014-03-24,23.0,673.0,654.0,666.0,392.0,260380.0,680.0,-14.0
2014-03-25,41.0,686.0,660.0,675.0,1075.0,717014.0,666.0,9.0
2014-03-26,140.0,689.0,650.0,679.0,1839.0,1228449.0,675.0,4.0
2014-03-27,194.0,693.0,672.0,693.0,2719.0,1846588.0,679.0,14.0
2014-03-31,20.0,710.0,686.0,710.0,857.0,598286.0,693.0,17.0
2014-04-01,52.0,720.0,710.0,710.0,756.0,539560.0,710.0,0.0
2014-04-02,23.0,720.0,700.0,701.0,230.0,162650.0,710.0,-9.0
2014-04-03,42.0,701.0,680.0,680.0,492.0,340334.0,701.0,-21.0
2014-04-06,21.0,685.0,680.0,681.0,249.0,169770.0,680.0,1.0
2014-04-07,96.0,710.0,684.0,700.0,2708.0,1894472.0,681.0,19.0
2014-04-09,57.0,705.0,687.0,705.0,834.0,584384.0,700.0,5.0
2014-04-10,18.0,715.0,690.0,704.0,478.0,338562.0,705.0,-1.0
2014-04-13,13.0,705.0,700.0,701.0,274.0,192340.0,704.0,-3.0
2014-04-15,75.0,726.0,700.0,712.0,1348.0,956404.0,701.0,11.0
2014-04-16,23.0,723.0,710.0,715.0,240.0,171090.0,712.0,3.0
2014-04-17,55.0,715.0,709.0,710.0,731.0,520742.0,715.0,-5.0
2014-04-20,19.0,710.0,708.0,710.0,263.0,186589.0,710.0,0.0
2014-04-21,46.0,710.0,685.0,685.0,1684.0,1180983.0,710.0,-25.0
2014-04-22,27.0,698.0,659.0,698.0,308.0,207589.0,685.0,13.0
2014-04-23,34.0,700.0,673.0,675.0,2295.0,1595520.0,698.0,-23.0
2014-04-27,26.0,688.0,675.0,681.0,422.0,288086.0,675.0,6.0
2014-04-28,32.0,725.0,685.0,702.0,517.0,364133.0,681.0,21.0
2014-04-29,3.0,699.0,688.0,699.0,30.0,20750.0,702.0,-3.0
2014-04-30,14.0,686.0,679.0,685.0,783.0,533389.0,699.0,-14.0
2014-05-04,105.0,740.0,680.0,733.0,4493.0,3219481.0,685.0,48.0
2014-05-05,33.0,804.0,732.0,760.0,2079.0,1646479.0,733.0,27.0
2014-05-06,27.0,760.0,731.0,736.0,640.0,472383.0,760.0,-24.0
2014-05-07,38.0,732.0,722.0,731.0,452.0,330504.0,736.0,-5.0
2014-05-08,32.0,730.0,701.0,701.0,2847.0,2026540.0,731.0,-30.0
2014-05-11,13.0,710.0,697.0,699.0,130.0,91280.0,701.0,-2.0
2014-05-12,50.0,720.0,695.0,720.0,957.0,676450.0,699.0,21.0
2014-05-13,84.0,770.0,710.0,770.0,2680.0,2018841.0,720.0,50.0
2014-05-15,16.0,780.0,770.0,770.0,670.0,518850.0,770.0,0.0
2014-05-18,32.0,755.0,707.0,708.0,493.0,363005.0,770.0,-62.0
2014-05-19,71.0,722.0,707.0,712.0,1023.0,729734.0,708.0,4.0
2014-05-20,57.0,722.0,700.0,711.0,1484.0,1054820.0,712.0,-1.0
2014-05-21,158.0,715.0,700.0,711.0,3508.0,2478274.0,711.0,0.0
2014-05-22,70.0,720.0,710.0,711.0,1060.0,754150.0,711.0,0.0
2014-05-25,55.0,720.0,705.0,718.0,550.0,390720.0,711.0,7.0
2014-05-26,40.0,755.0,722.0,730.0,1458.0,1073849.0,718.0,12.0
2014-05-27,105.0,729.0,711.0,718.0,1292.0,929756.0,730.0,-12.0
2014-05-28,20.0,725.0,713.0,720.0,200.0,144070.0,718.0,2.0
2014-06-01,9.0,720.0,710.0,720.0,577.0,410430.0,720.0,0.0
2014-06-02,19.0,715.0,710.0,710.0,190.0,135700.0,720.0,-10.0
2014-06-03,62.0,730.0,685.0,730.0,1235.0,881125.0,710.0,20.0
2014-06-04,28.0,716.0,686.0,695.0,1458.0,1020378.0,730.0,-35.0
2014-06-05,28.0,695.0,670.0,686.0,459.0,312425.0,695.0,-9.0
2014-06-08,1.0,680.0,680.0,680.0,10.0,6800.0,686.0,-6.0
2014-06-09,38.0,695.0,671.0,695.0,835.0,572242.0,680.0,15.0
2014-06-10,18.0,708.0,690.0,694.0,1272.0,879900.0,695.0,-1.0
2014-06-11,89.0,700.0,690.0,700.0,962.0,668000.0,694.0,6.0
2014-06-12,21.0,701.0,687.0,691.0,620.0,432602.0,700.0,-9.0
2014-06-15,3.0,703.0,690.0,703.0,174.0,120190.0,691.0,12.0
2014-06-16,9.0,710.0,696.0,696.0,101.0,70856.0,703.0,-7.0
2014-06-17,10.0,708.0,696.0,0.0,100.0,70000.0,696.0,12.0
2014-06-18,6.0,695.0,681.0,708.0,83.0,57203.0,708.0,-27.0
2014-06-19,10.0,681.0,675.0,678.0,267.0,181139.0,681.0,-3.0
2014-06-23,2.0,670.0,670.0,670.0,164.0,109880.0,678.0,-8.0
2014-06-24,15.0,736.0,659.0,736.0,309.0,207471.0,670.0,66.0
2014-06-30,32.0,722.0,680.0,700.0,1932.0,1362680.0,736.0,-36.0
