Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-11,1.0,132.0,132.0,132.0,20.0,2640.0,132.0,0.0
2012-06-12,6.0,132.0,130.0,130.0,110.0,14340.0,132.0,-2.0
2012-06-13,4.0,134.0,134.0,134.0,40.0,5360.0,130.0,4.0
2012-06-18,1.0,134.0,134.0,134.0,20.0,2680.0,134.0,0.0
2012-06-19,1.0,134.0,134.0,134.0,20.0,2680.0,134.0,0.0
2012-06-26,1.0,134.0,134.0,134.0,20.0,2680.0,134.0,0.0
2012-06-27,1.0,134.0,134.0,134.0,20.0,2680.0,134.0,0.0
2012-07-22,2.0,132.0,132.0,132.0,70.0,9240.0,134.0,-2.0
2012-07-23,1.0,134.0,134.0,134.0,10.0,1340.0,132.0,2.0
2012-07-24,1.0,135.0,135.0,135.0,10.0,1350.0,134.0,1.0
2012-07-25,2.0,135.0,135.0,135.0,70.0,9450.0,135.0,0.0
2012-07-31,2.0,135.0,135.0,135.0,40.0,5400.0,135.0,0.0
2012-08-01,1.0,137.0,137.0,137.0,30.0,4110.0,135.0,2.0
2012-08-07,2.0,139.0,139.0,139.0,20.0,2780.0,137.0,2.0
2012-08-27,3.0,137.0,137.0,137.0,30.0,4110.0,139.0,-2.0
2012-09-03,1.0,135.0,135.0,135.0,10.0,1350.0,137.0,-2.0
2012-09-09,1.0,133.0,133.0,133.0,30.0,3990.0,135.0,-2.0
2012-09-10,11.0,133.0,131.0,133.0,180.0,23780.0,133.0,0.0
2012-09-11,1.0,131.0,131.0,131.0,30.0,3930.0,133.0,-2.0
2012-09-13,5.0,131.0,127.0,127.0,110.0,14180.0,131.0,-4.0
2012-09-16,1.0,125.0,125.0,125.0,10.0,1250.0,127.0,-2.0
2012-09-17,2.0,125.0,123.0,125.0,20.0,2480.0,125.0,0.0
2012-09-19,1.0,123.0,123.0,123.0,10.0,1230.0,125.0,-2.0
2012-09-27,4.0,123.0,122.0,122.0,40.0,4890.0,123.0,-1.0
2012-09-30,3.0,122.0,121.0,122.0,70.0,8500.0,122.0,0.0
2012-10-02,1.0,120.0,120.0,120.0,370.0,44400.0,122.0,-2.0
2012-10-04,5.0,122.0,122.0,122.0,60.0,7320.0,120.0,2.0
2012-10-10,1.0,120.0,120.0,120.0,30.0,3600.0,122.0,-2.0
2012-10-11,6.0,118.0,118.0,118.0,60.0,7080.0,120.0,-2.0
2012-10-14,4.0,120.0,118.0,118.0,40.0,4780.0,118.0,0.0
2012-11-05,1.0,117.0,117.0,117.0,30.0,3510.0,118.0,-1.0
2012-11-26,7.0,117.0,115.0,117.0,80.0,9340.0,117.0,0.0
2012-12-26,6.0,119.0,119.0,119.0,80.0,9520.0,117.0,2.0
2013-01-07,2.0,119.0,119.0,119.0,20.0,2380.0,119.0,0.0
2013-01-31,2.0,121.0,121.0,121.0,40.0,4840.0,119.0,2.0
2013-02-03,1.0,121.0,121.0,121.0,30.0,3630.0,121.0,0.0
2013-02-04,2.0,121.0,121.0,121.0,40.0,4840.0,121.0,0.0
2013-02-06,1.0,123.0,123.0,123.0,100.0,12300.0,121.0,2.0
2013-04-28,1.0,114.0,114.0,114.0,20.0,2280.0,123.0,-9.0
2013-08-14,2.0,114.0,112.0,114.0,22.0,2486.0,114.0,0.0
2013-08-20,1.0,114.0,114.0,114.0,33.0,3762.0,114.0,0.0
2013-08-25,7.0,118.0,114.0,116.0,99.0,11440.0,114.0,2.0
2013-08-26,2.0,116.0,116.0,116.0,22.0,2552.0,116.0,0.0
2013-08-27,5.0,114.0,114.0,114.0,88.0,10032.0,116.0,-2.0
2013-08-29,1.0,116.0,116.0,116.0,11.0,1276.0,114.0,2.0
2013-09-01,4.0,116.0,114.0,116.0,99.0,11462.0,116.0,0.0
2013-09-02,7.0,119.0,116.0,119.0,287.0,33806.0,116.0,3.0
2013-09-03,4.0,123.0,119.0,119.0,55.0,6655.0,119.0,0.0
2013-09-04,4.0,119.0,117.0,119.0,64.0,7554.0,119.0,0.0
2013-09-05,5.0,117.0,113.0,115.0,77.0,8855.0,119.0,-4.0
2013-09-10,5.0,117.0,115.0,117.0,99.0,11473.0,115.0,2.0
2013-09-15,2.0,115.0,115.0,115.0,22.0,2530.0,117.0,-2.0
2013-09-16,3.0,115.0,114.0,114.0,33.0,3773.0,115.0,-1.0
2013-09-22,2.0,116.0,116.0,116.0,22.0,2552.0,114.0,2.0
2013-09-24,4.0,115.0,113.0,113.0,44.0,5027.0,116.0,-3.0
2013-09-25,1.0,113.0,113.0,113.0,11.0,1243.0,113.0,0.0
2013-09-26,6.0,115.0,113.0,115.0,66.0,7546.0,113.0,2.0
2013-09-29,2.0,113.0,113.0,113.0,22.0,2486.0,115.0,-2.0
2013-10-08,2.0,117.0,115.0,117.0,50.0,5810.0,113.0,4.0
2013-10-10,1.0,115.0,115.0,115.0,22.0,2530.0,117.0,-2.0
2013-10-20,2.0,115.0,115.0,115.0,22.0,2530.0,115.0,0.0
2013-10-29,9.0,117.0,117.0,117.0,99.0,11583.0,115.0,2.0
