Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-20,1.0,209.0,209.0,209.0,1404.0,293436.0,213.0,-4.0
2012-07-01,2.0,217.0,213.0,217.0,234.0,50726.0,209.0,8.0
2012-07-02,1.0,217.0,217.0,217.0,221.0,47957.0,217.0,0.0
2012-07-03,1.0,217.0,217.0,217.0,16.0,3472.0,217.0,0.0
2012-07-17,1.0,213.0,213.0,213.0,203.0,43239.0,217.0,-4.0
2012-07-31,1.0,217.0,217.0,217.0,576.0,124992.0,213.0,4.0
2012-08-01,1.0,213.0,213.0,213.0,20.0,4260.0,217.0,-4.0
2012-08-21,1.0,209.0,209.0,209.0,736.0,153824.0,213.0,-4.0
2012-08-22,5.0,205.0,194.0,194.0,3673.0,737782.0,209.0,-15.0
2012-09-02,4.0,191.0,182.0,182.0,348.0,64677.0,194.0,-12.0
2012-09-09,1.0,185.0,185.0,185.0,442.0,81770.0,182.0,3.0
2012-09-16,1.0,182.0,182.0,182.0,10.0,1820.0,185.0,-3.0
2012-09-25,2.0,179.0,176.0,176.0,20.0,3550.0,182.0,-6.0
2012-09-26,3.0,173.0,167.0,167.0,30.0,5100.0,176.0,-9.0
2012-09-27,2.0,164.0,161.0,161.0,20.0,3250.0,167.0,-6.0
2012-09-30,2.0,158.0,155.0,155.0,1080.0,170490.0,161.0,-6.0
2012-10-02,1.0,155.0,155.0,155.0,20.0,3100.0,155.0,0.0
2012-10-03,12.0,152.0,149.0,149.0,2210.0,335890.0,155.0,-6.0
2012-10-07,12.0,153.0,147.0,153.0,9801.0,1448993.0,149.0,4.0
2012-10-08,16.0,161.0,150.0,153.0,8362.0,1269490.0,153.0,0.0
2012-10-09,8.0,154.0,148.0,150.0,7701.0,1144133.0,153.0,-3.0
2012-10-10,8.0,149.0,147.0,147.0,6434.0,945898.0,150.0,-3.0
2012-10-11,6.0,147.0,145.0,145.0,2528.0,370423.0,147.0,-2.0
2012-10-14,5.0,145.0,142.0,143.0,2573.0,369214.0,145.0,-2.0
2012-10-17,10.0,146.0,144.0,145.0,3939.0,570551.0,143.0,2.0
2012-10-18,5.0,146.0,145.0,145.0,3090.0,448626.0,145.0,0.0
2012-10-30,6.0,146.0,143.0,146.0,3283.0,477355.0,145.0,1.0
2012-11-01,1.0,145.0,145.0,145.0,200.0,29000.0,146.0,-1.0
2012-11-04,5.0,148.0,143.0,148.0,1507.0,218701.0,145.0,3.0
2012-11-05,2.0,146.0,144.0,144.0,695.0,100280.0,148.0,-4.0
2012-11-06,9.0,150.0,146.0,150.0,987.0,147238.0,144.0,6.0
2012-11-07,5.0,165.0,153.0,165.0,588.0,95520.0,150.0,15.0
2012-11-08,5.0,180.0,168.0,180.0,164.0,28806.0,165.0,15.0
2012-11-26,5.0,177.0,170.0,170.0,991.0,171156.0,180.0,-10.0
