Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-02-02,2.0,800.0,800.0,800.0,5000.0,4000000.0,800.0,0.0
2017-02-06,3.0,800.0,800.0,800.0,7000.0,5600000.0,800.0,0.0
2017-02-07,1.0,800.0,800.0,800.0,6000.0,4800000.0,800.0,0.0
2017-04-13,6.0,800.0,800.0,800.0,70000.0,56000000.0,800.0,0.0
2018-02-08,1.0,887.0,887.0,887.0,5000.0,4435000.0,870.0,17.0
2019-04-03,1.0,438.0,438.0,438.0,6000.0,2628000.0,437.0,1.0
2021-04-01,2.0,710.0,710.0,710.0,3000.0,2130000.0,710.0,0.0
2021-07-15,1.0,785.0,785.0,785.0,17820.0,13988700.0,785.0,0.0
2021-08-26,1.0,785.0,785.0,785.0,8000.0,6280000.0,785.0,0.0
2021-09-07,1.0,785.0,785.0,785.0,2000.0,1570000.0,785.0,0.0
2021-11-03,1.0,785.0,785.0,785.0,1000.0,785000.0,785.0,0.0
2021-11-25,1.0,785.0,785.0,785.0,2000.0,1570000.0,785.0,0.0
2022-03-02,1.0,693.0,693.0,693.0,8000.0,5544000.0,693.0,0.0
