Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-06-28,13.0,170.0,170.0,170.0,33060.0,5620200.0,170.0,0.0
2015-06-30,9.0,170.0,170.0,170.0,31475.0,5350750.0,170.0,0.0
2017-10-17,2.0,139.0,137.0,139.0,27397.0,3792183.0,135.0,4.0
2018-02-11,1.0,106.0,106.0,106.0,95000.0,10070000.0,105.0,1.0
2018-03-20,1.0,106.0,106.0,106.0,22743.0,2410758.0,106.0,0.0
2018-04-11,2.0,106.0,106.0,106.0,20000.0,2120000.0,106.0,0.0
2018-05-08,1.0,106.0,106.0,106.0,30000.0,3180000.0,106.0,0.0
2018-06-24,2.0,105.0,105.0,105.0,71060.0,7461300.0,106.0,-1.0
2018-06-28,2.0,105.0,105.0,105.0,31232.0,3279360.0,105.0,0.0
2018-07-16,3.0,105.0,105.0,105.0,13600.0,1428000.0,105.0,0.0
2018-07-29,1.0,105.0,105.0,105.0,9500.0,997500.0,105.0,0.0
2018-09-30,4.0,105.0,105.0,105.0,18400.0,1932000.0,105.0,0.0
2018-10-11,1.0,105.0,105.0,105.0,5000.0,525000.0,105.0,0.0
2019-02-07,2.0,105.0,105.0,105.0,55915.0,5871075.0,105.0,0.0
2019-02-12,1.0,107.0,105.0,107.0,15825.0,1693275.0,105.0,2.0
2019-03-19,1.0,107.0,107.0,107.0,33693.0,3605151.0,107.0,0.0
2019-04-17,1.0,107.0,107.0,107.0,27248.0,2915536.0,107.0,0.0
2019-04-21,4.0,107.0,107.0,107.0,46000.0,4922000.0,107.0,0.0
2019-06-12,3.0,105.0,105.0,105.0,101070.0,10612350.0,107.0,-2.0
2019-06-30,1.0,105.0,105.0,105.0,6494.0,681870.0,105.0,0.0
2019-07-04,3.0,105.0,105.0,105.0,29295.0,3075975.0,105.0,0.0
2019-07-23,1.0,105.0,105.0,105.0,27000.0,2835000.0,105.0,0.0
2019-07-24,3.0,105.0,105.0,105.0,45139.0,4739595.0,105.0,0.0
2019-08-05,2.0,106.0,106.0,106.0,13920.0,1475520.0,105.0,1.0
2019-09-08,1.0,106.0,106.0,106.0,6500.0,689000.0,106.0,0.0
2019-09-11,1.0,106.0,106.0,106.0,29975.0,3177350.0,106.0,0.0
2019-09-22,1.0,104.0,104.0,104.0,13515.0,1405560.0,106.0,-2.0
2019-12-03,1.0,104.0,104.0,104.0,14335.0,1490840.0,104.0,0.0
2020-01-09,1.0,104.0,104.0,104.0,50000.0,5200000.0,104.0,0.0
2020-01-28,1.0,104.0,104.0,104.0,157343.0,16363672.0,104.0,0.0
2020-07-23,1.0,104.0,104.0,104.0,27500.0,2860000.0,104.0,0.0
2020-10-21,2.0,123.0,123.0,123.0,25666.0,3156918.0,123.0,0.0
2020-11-01,1.0,123.0,123.0,123.0,23448.0,2884104.0,123.0,0.0
2020-12-29,1.0,123.0,123.0,123.0,10421.0,1281783.0,123.0,0.0
2020-12-30,2.0,123.0,123.0,123.0,73608.0,9053784.0,123.0,0.0
2021-01-07,1.0,123.0,123.0,123.0,11333.0,1393959.0,123.0,0.0
2021-01-17,1.0,123.0,123.0,123.0,1231.0,151413.0,123.0,0.0
2021-03-03,1.0,123.0,123.0,123.0,15000.0,1845000.0,123.0,0.0
2021-04-04,1.0,123.0,123.0,123.0,100000.0,12300000.0,123.0,0.0
2021-04-12,1.0,123.0,123.0,123.0,20044.0,2465412.0,123.0,0.0
2021-04-22,1.0,121.0,121.0,121.0,22231.0,2689951.0,123.0,-2.0
2021-04-27,1.0,121.0,121.0,121.0,6884.0,832964.0,121.0,0.0
2021-06-20,2.0,121.0,121.0,121.0,19336.0,2339656.0,121.0,0.0
2021-06-22,1.0,121.0,121.0,121.0,50000.0,6050000.0,121.0,0.0
2021-06-29,1.0,121.0,121.0,121.0,5784.0,699864.0,121.0,0.0
2021-07-05,1.0,121.0,121.0,121.0,5953.0,720313.0,121.0,0.0
2021-07-18,1.0,121.0,121.0,121.0,6884.0,832964.0,121.0,0.0
2021-09-09,3.0,381.0,381.0,381.0,63721.0,24277701.0,381.0,0.0
2021-09-30,1.0,381.0,381.0,381.0,20122.0,7666482.0,381.0,0.0
2021-10-25,1.0,381.0,381.0,381.0,12605.0,4802505.0,381.0,0.0
2022-01-20,1.0,316.0,316.0,316.0,18000.0,5688000.0,316.0,0.0
2022-02-22,1.0,316.0,316.0,316.0,4835.0,1527860.0,316.0,0.0
2022-03-22,1.0,310.0,310.0,310.0,26894.0,8337140.0,316.0,-6.0
2022-04-24,1.0,310.0,310.0,310.0,25000.0,7750000.0,310.0,0.0
2022-06-03,1.0,310.0,310.0,310.0,14013.0,4344030.0,310.0,0.0
2022-06-14,1.0,310.0,310.0,310.0,4975.0,1542250.0,310.0,0.0
2022-06-22,1.0,310.0,310.0,310.0,14012.0,4343720.0,310.0,0.0
2022-06-28,1.0,310.0,310.0,310.0,16113.0,4995030.0,310.0,0.0
