Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-07-12,1.0,889.0,889.0,889.0,1240.0,1102360.0,889.0,0.0
2021-07-19,1.0,889.0,889.0,889.0,1859.0,1652651.0,889.0,0.0
2021-08-19,1.0,890.0,890.0,890.0,3479.0,3096310.0,889.0,1.0
2021-08-24,3.0,890.0,890.0,890.0,1500.0,1335000.0,890.0,0.0
2021-09-16,1.0,890.0,890.0,890.0,10660.0,9487400.0,890.0,0.0
2021-10-17,3.0,875.0,875.0,875.0,1500.0,1312500.0,890.0,-15.0
2021-12-13,1.0,875.0,875.0,875.0,1775.0,1553125.0,875.0,0.0
2021-12-21,2.0,875.0,875.0,875.0,4486.0,3925250.0,875.0,0.0
2022-06-02,35.0,671.0,671.0,671.0,32000.0,21472000.0,671.0,0.0
2022-06-08,1.0,671.0,671.0,671.0,6396.0,4291716.0,671.0,0.0
2022-06-10,1.0,671.0,671.0,671.0,1770.0,1187670.0,671.0,0.0
2022-06-14,8.0,671.0,671.0,671.0,4000.0,2684000.0,671.0,0.0
2022-06-19,9.0,671.0,671.0,671.0,5940.0,3985740.0,671.0,0.0
2022-06-22,8.0,671.0,671.0,671.0,5000.0,3355000.0,671.0,0.0
2022-06-23,3.0,671.0,671.0,671.0,2000.0,1342000.0,671.0,0.0
2022-07-03,4.0,671.0,671.0,671.0,2500.0,1677500.0,671.0,0.0
2022-07-04,7.0,671.0,671.0,671.0,40997.0,27508987.0,671.0,0.0
2022-07-05,3.0,671.0,671.0,671.0,13700.0,9192700.0,671.0,0.0
2022-07-07,11.0,671.0,671.0,671.0,60400.0,40528400.0,671.0,0.0
