Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-05,1.0,103.0,103.0,103.0,10.0,1030.0,108.0,-5.0
2012-06-06,1.0,98.0,98.0,98.0,10.0,980.0,103.0,-5.0
2012-06-10,2.0,97.0,96.0,96.0,20.0,1930.0,98.0,-2.0
2012-06-11,7.0,95.0,93.0,93.0,80.0,7500.0,96.0,-3.0
2012-06-20,8.0,92.0,89.0,89.0,80.0,7180.0,93.0,-4.0
2012-06-21,8.0,88.0,81.0,81.0,150.0,12590.0,89.0,-8.0
2012-06-25,43.0,80.0,78.0,80.0,1220.0,96970.0,81.0,-1.0
2012-06-26,16.0,82.0,81.0,81.0,320.0,25970.0,80.0,1.0
2012-06-27,2.0,81.0,80.0,80.0,40.0,3230.0,81.0,-1.0
2012-06-28,15.0,81.0,80.0,81.0,370.0,29690.0,80.0,1.0
2012-07-01,27.0,83.0,80.0,83.0,310.0,25360.0,81.0,2.0
2012-07-02,11.0,90.0,83.0,90.0,170.0,15020.0,83.0,7.0
2012-07-04,2.0,90.0,90.0,90.0,20.0,1800.0,90.0,0.0
2012-07-08,6.0,89.0,88.0,88.0,60.0,5330.0,90.0,-2.0
2012-07-09,4.0,87.0,85.0,85.0,70.0,5990.0,88.0,-3.0
2012-07-10,6.0,84.0,83.0,84.0,60.0,5000.0,85.0,-1.0
2012-07-11,2.0,85.0,84.0,85.0,50.0,4220.0,84.0,1.0
2012-07-12,7.0,84.0,83.0,83.0,190.0,15930.0,85.0,-2.0
2012-07-15,2.0,82.0,82.0,82.0,30.0,2460.0,83.0,-1.0
2012-07-16,17.0,81.0,80.0,80.0,210.0,17000.0,82.0,-2.0
2012-07-17,11.0,81.0,80.0,80.0,230.0,18500.0,80.0,0.0
2012-07-18,7.0,81.0,80.0,80.0,110.0,8820.0,80.0,0.0
2012-07-19,2.0,82.0,81.0,82.0,40.0,3270.0,80.0,2.0
2012-07-22,8.0,88.0,82.0,88.0,360.0,30370.0,82.0,6.0
2012-07-25,17.0,91.0,88.0,91.0,240.0,21510.0,88.0,3.0
2012-07-26,3.0,93.0,92.0,92.0,70.0,6460.0,91.0,1.0
2012-07-29,6.0,91.0,90.0,91.0,110.0,9990.0,92.0,-1.0
2012-07-30,15.0,94.0,92.0,94.0,230.0,21330.0,91.0,3.0
2012-07-31,3.0,93.0,92.0,93.0,90.0,8360.0,94.0,-1.0
2012-08-01,9.0,92.0,91.0,92.0,180.0,16550.0,93.0,-1.0
2012-08-05,1.0,93.0,93.0,93.0,40.0,3720.0,92.0,1.0
2012-08-06,1.0,94.0,94.0,94.0,60.0,5640.0,93.0,1.0
2012-08-07,18.0,97.0,95.0,96.0,1030.0,98480.0,94.0,2.0
2012-08-08,18.0,98.0,96.0,97.0,840.0,81660.0,96.0,1.0
2012-08-16,1.0,98.0,98.0,98.0,10.0,980.0,97.0,1.0
2012-08-19,7.0,97.0,97.0,97.0,70.0,6790.0,98.0,-1.0
2012-08-23,23.0,96.0,91.0,91.0,720.0,67290.0,97.0,-6.0
2012-08-26,9.0,90.0,90.0,90.0,270.0,24300.0,91.0,-1.0
2012-08-27,9.0,89.0,88.0,89.0,180.0,15970.0,90.0,-1.0
2012-08-28,5.0,91.0,90.0,91.0,130.0,11760.0,89.0,2.0
2012-08-29,16.0,92.0,91.0,91.0,240.0,21950.0,91.0,0.0
2012-08-30,13.0,91.0,90.0,90.0,2720.0,244920.0,91.0,-1.0
2012-09-02,5.0,91.0,91.0,91.0,50.0,4550.0,90.0,1.0
2012-09-03,11.0,92.0,90.0,91.0,120.0,10870.0,91.0,0.0
2012-09-04,9.0,92.0,91.0,92.0,100.0,9140.0,91.0,1.0
2012-09-05,10.0,91.0,89.0,89.0,100.0,9040.0,92.0,-3.0
2012-09-06,3.0,90.0,89.0,90.0,250.0,22450.0,89.0,1.0
2012-09-09,3.0,92.0,90.0,92.0,50.0,4550.0,90.0,2.0
2012-09-10,2.0,91.0,91.0,91.0,40.0,3640.0,92.0,-1.0
2012-09-17,10.0,90.0,89.0,90.0,450.0,40490.0,91.0,-1.0
2012-09-19,4.0,93.0,91.0,93.0,70.0,6400.0,90.0,3.0
2012-09-20,2.0,93.0,92.0,93.0,70.0,6450.0,93.0,0.0
2012-09-23,9.0,94.0,93.0,94.0,170.0,15910.0,93.0,1.0
2012-09-25,9.0,103.0,95.0,103.0,90.0,8930.0,94.0,9.0
2012-09-26,71.0,113.0,105.0,112.0,3210.0,360010.0,103.0,9.0
2012-09-27,32.0,113.0,106.0,107.0,2140.0,233540.0,112.0,-5.0
2012-09-30,13.0,105.0,105.0,105.0,550.0,57750.0,107.0,-2.0
2012-10-01,12.0,108.0,106.0,108.0,730.0,78530.0,105.0,3.0
2012-10-02,4.0,108.0,107.0,107.0,110.0,11780.0,108.0,-1.0
2012-10-03,10.0,106.0,105.0,105.0,100.0,10510.0,107.0,-2.0
2012-10-04,10.0,106.0,103.0,105.0,530.0,55630.0,105.0,0.0
2012-10-07,8.0,106.0,102.0,103.0,1570.0,161640.0,105.0,-2.0
2012-10-08,42.0,109.0,101.0,107.0,600.0,63450.0,103.0,4.0
2012-10-09,55.0,108.0,106.0,106.0,630.0,67520.0,107.0,-1.0
2012-10-10,28.0,110.0,106.0,110.0,500.0,53810.0,106.0,4.0
2012-10-11,6.0,108.0,104.0,106.0,110.0,11640.0,110.0,-4.0
2012-10-14,1.0,105.0,105.0,105.0,10.0,1050.0,106.0,-1.0
2013-04-01,1.0,145.0,145.0,145.0,15876.0,2302020.0,147.0,-2.0
2013-04-11,4.0,143.0,137.0,137.0,200.0,28000.0,145.0,-8.0
2013-04-15,6.0,135.0,125.0,125.0,300.0,39000.0,137.0,-12.0
2013-04-16,5.0,123.0,115.0,115.0,250.0,29750.0,125.0,-10.0
2013-04-17,5.0,113.0,105.0,105.0,250.0,27250.0,115.0,-10.0
2013-04-18,4.0,103.0,100.0,100.0,199450.0,19945180.0,105.0,-5.0
2013-04-22,2.0,100.0,100.0,100.0,120000.0,12000000.0,100.0,0.0
2013-04-28,4.0,100.0,100.0,100.0,76550.0,7655000.0,100.0,0.0
2013-06-19,1.0,100.0,100.0,100.0,64152.0,6415200.0,100.0,0.0
2013-06-24,2.0,100.0,100.0,100.0,65000.0,6500000.0,100.0,0.0
2013-06-25,4.0,100.0,100.0,100.0,135014.0,13501400.0,100.0,0.0
2013-07-03,2.0,100.0,100.0,100.0,32532.0,3253200.0,100.0,0.0
2013-07-09,4.0,100.0,100.0,100.0,116948.0,11694800.0,100.0,0.0
2013-07-15,1.0,100.0,100.0,100.0,53030.0,5303000.0,100.0,0.0
2013-07-22,1.0,100.0,100.0,100.0,450.0,45000.0,100.0,0.0
2013-10-06,1.0,100.0,100.0,100.0,31082.0,3108200.0,100.0,0.0
2013-10-23,1.0,100.0,100.0,100.0,4320.0,432000.0,100.0,0.0
2014-01-05,1.0,100.0,100.0,100.0,11640.0,1164000.0,100.0,0.0
