Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-01-23,92.0,123.0,101.0,101.0,20716.0,2241370.0,112.0,-11.0
2013-01-24,43.0,99.0,91.0,91.0,3930.0,360110.0,101.0,-10.0
2013-01-27,69.0,91.0,82.0,88.0,6520.0,553340.0,91.0,-3.0
2013-01-28,50.0,90.0,86.0,88.0,1790.0,156440.0,88.0,0.0
2013-01-30,28.0,88.0,82.0,83.0,1800.0,151920.0,88.0,-5.0
2013-01-31,36.0,90.0,83.0,90.0,3948.0,343210.0,83.0,7.0
2013-02-03,35.0,92.0,90.0,91.0,4400.0,399410.0,90.0,1.0
2013-02-04,14.0,93.0,89.0,89.0,2130.0,191760.0,91.0,-2.0
2013-02-05,12.0,89.0,86.0,86.0,360.0,31560.0,89.0,-3.0
2013-02-06,39.0,85.0,81.0,83.0,2910.0,240090.0,86.0,-3.0
2013-02-07,22.0,84.0,82.0,82.0,1080.0,89290.0,83.0,-1.0
2013-02-10,2.0,83.0,83.0,83.0,80.0,6640.0,82.0,1.0
2013-02-12,5.0,86.0,84.0,86.0,170.0,14430.0,83.0,3.0
2013-02-13,4.0,85.0,83.0,83.0,870.0,73380.0,86.0,-3.0
2013-02-14,21.0,82.0,80.0,82.0,1030.0,83650.0,83.0,-1.0
2013-02-19,4.0,83.0,83.0,83.0,140.0,11620.0,82.0,1.0
2013-02-20,16.0,87.0,84.0,87.0,1150.0,99010.0,83.0,4.0
2013-02-21,7.0,88.0,85.0,87.0,3380.0,290020.0,87.0,0.0
2013-02-24,8.0,87.0,86.0,87.0,2120.0,184200.0,87.0,0.0
2013-02-25,5.0,86.0,83.0,83.0,320.0,27070.0,87.0,-4.0
2013-02-26,2.0,84.0,84.0,84.0,80.0,6720.0,83.0,1.0
2013-02-27,44.0,85.0,80.0,80.0,2720.0,225330.0,84.0,-4.0
2013-02-28,21.0,81.0,79.0,80.0,2039.0,163410.0,80.0,0.0
2013-03-03,39.0,84.0,80.0,83.0,4210.0,342300.0,80.0,3.0
2013-03-04,41.0,91.0,83.0,91.0,4190.0,371680.0,83.0,8.0
2013-03-05,43.0,97.0,92.0,94.0,5886.0,557262.0,91.0,3.0
2013-03-07,19.0,98.0,93.0,98.0,2271.0,217786.0,98.0,0.0
2013-03-11,57.0,107.0,99.0,107.0,8870.0,937480.0,98.0,9.0
2013-03-13,39.0,117.0,112.0,117.0,3780.0,439580.0,107.0,10.0
2013-03-14,75.0,128.0,119.0,128.0,14469.0,1812554.0,117.0,11.0
2013-03-17,114.0,134.0,120.0,127.0,18780.0,2349780.0,128.0,-1.0
2013-03-18,43.0,125.0,115.0,117.0,6112.0,716864.0,127.0,-10.0
2013-03-19,43.0,121.0,115.0,121.0,2990.0,357190.0,117.0,4.0
2013-03-21,86.0,112.0,100.0,109.0,10158.0,1090998.0,109.0,0.0
2013-12-09,4.0,117.0,111.0,117.0,1350.0,156470.0,109.0,8.0
2013-12-10,10.0,128.0,119.0,128.0,490.0,61310.0,117.0,11.0
2013-12-11,65.0,140.0,130.0,140.0,13999.0,1957998.0,128.0,12.0
2013-12-12,113.0,154.0,128.0,135.0,16078.0,2195548.0,140.0,-5.0
2013-12-15,14.0,135.0,131.0,131.0,1001.0,132431.0,135.0,-4.0
2013-12-16,24.0,138.0,132.0,138.0,2271.0,304586.0,131.0,7.0
2013-12-18,1.0,136.0,136.0,136.0,740.0,100640.0,138.0,-2.0
2013-12-19,35.0,136.0,130.0,130.0,3630.0,479720.0,136.0,-6.0
2013-12-22,63.0,130.0,126.0,128.0,6536.0,831978.0,130.0,-2.0
2013-12-23,2.0,126.0,124.0,124.0,140.0,17440.0,128.0,-4.0
