Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,33.0,342.0,318.0,332.0,9785.0,3260773.0,312.0,20.0
2012-06-04,49.0,337.0,316.0,316.0,9224.0,2967074.0,332.0,-16.0
2012-06-05,5.0,319.0,307.0,319.0,570.0,179430.0,316.0,3.0
2012-06-06,19.0,316.0,305.0,314.0,1917.0,591698.0,319.0,-5.0
2012-06-07,29.0,332.0,314.0,316.0,5132.0,1634603.0,314.0,2.0
2012-06-10,11.0,325.0,308.0,308.0,1271.0,399166.0,316.0,-8.0
2012-06-11,27.0,332.0,308.0,308.0,5941.0,1879864.0,308.0,0.0
2012-06-12,9.0,320.0,308.0,320.0,3985.0,1237648.0,308.0,12.0
2012-06-13,6.0,316.0,314.0,316.0,667.0,210312.0,320.0,-4.0
2012-06-14,4.0,315.0,311.0,311.0,280.0,87450.0,316.0,-5.0
2012-06-17,17.0,317.0,304.0,308.0,1580.0,484209.0,311.0,-3.0
2012-06-18,3.0,309.0,306.0,308.0,1600.0,491100.0,308.0,0.0
2012-06-19,14.0,315.0,302.0,308.0,4537.0,1380492.0,308.0,0.0
2012-06-20,9.0,321.0,308.0,310.0,1408.0,441670.0,308.0,2.0
2012-06-21,19.0,310.0,302.0,310.0,4511.0,1374083.0,310.0,0.0
2012-06-25,14.0,322.0,310.0,322.0,2296.0,727453.0,310.0,12.0
2012-06-26,12.0,317.0,310.0,315.0,1608.0,505208.0,322.0,-7.0
2012-06-27,5.0,326.0,320.0,325.0,831.0,267476.0,315.0,10.0
2012-06-28,25.0,337.0,321.0,327.0,8772.0,2854115.0,325.0,2.0
2012-07-01,15.0,330.0,323.0,324.0,1552.0,504551.0,327.0,-3.0
2012-07-02,9.0,325.0,320.0,324.0,1485.0,480277.0,324.0,0.0
2012-07-03,15.0,326.0,320.0,325.0,3228.0,1037503.0,324.0,1.0
2012-07-04,9.0,329.0,325.0,327.0,1346.0,438658.0,325.0,2.0
2012-07-05,7.0,333.0,326.0,330.0,774.0,255091.0,327.0,3.0
2012-07-08,15.0,327.0,321.0,326.0,1828.0,589546.0,330.0,-4.0
2012-07-09,9.0,329.0,323.0,326.0,1142.0,371475.0,326.0,0.0
2012-07-10,17.0,332.0,329.0,329.0,3401.0,1121468.0,326.0,3.0
2012-07-11,7.0,334.0,326.0,329.0,1364.0,448739.0,329.0,0.0
