Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-09-14,1.0,1000.0,1000.0,1000.0,10.0,10000.0,0.0,0.0
2021-09-27,2.0,980.0,961.0,961.0,50.0,48525.0,1000.0,-39.0
2021-09-28,3.0,960.0,958.0,960.0,125.0,119950.0,961.0,-1.0
2021-09-29,3.0,957.0,950.0,957.0,65.0,61985.0,960.0,-3.0
2021-09-30,1.0,957.0,957.0,957.0,50.0,47850.0,957.0,0.0
2021-10-03,2.0,960.0,955.0,955.0,36.0,34430.0,957.0,-2.0
2021-10-05,1.0,952.0,952.0,952.0,25.0,23800.0,955.0,-3.0
2021-10-10,2.0,955.0,945.0,955.0,50.0,47500.0,952.0,3.0
2021-10-17,1.0,954.0,954.0,954.0,25.0,23850.0,955.0,-1.0
2021-10-21,2.0,950.0,950.0,950.0,50.0,47500.0,954.0,-4.0
2021-10-25,1.0,940.0,940.0,940.0,25.0,23500.0,950.0,-10.0
2021-10-26,1.0,943.0,943.0,943.0,15.0,14145.0,940.0,3.0
2021-10-31,3.0,950.0,941.1,950.0,285.0,270357.5,943.0,7.0
2021-11-01,1.0,943.0,943.0,943.0,25.0,23575.0,950.0,-7.0
2021-11-02,3.0,946.1,945.0,946.0,75.0,70927.5,943.0,3.0
2021-11-15,1.0,946.5,946.5,946.5,30.0,28395.0,946.0,0.5
2021-11-16,1.0,943.7,943.7,943.7,25.0,23592.5,946.5,-2.8
2021-11-17,2.0,945.2,945.2,945.2,50.0,47260.0,943.7,1.5
2021-11-18,1.0,942.1,942.1,942.1,25.0,23552.5,945.2,-3.1
2021-11-21,3.0,945.0,945.0,945.0,100.0,94500.0,942.1,2.9
2021-11-25,1.0,944.0,944.0,944.0,25.0,23600.0,945.0,-1.0
2021-12-23,1.0,937.1,937.1,937.1,25.0,23427.5,944.0,-6.9
2022-01-02,3.0,925.0,923.5,923.5,75.0,69302.5,937.1,-13.6
2022-01-10,4.0,960.7,930.0,960.7,350.0,333235.0,923.5,37.2
2022-01-11,5.0,985.0,974.0,985.0,585.0,573211.5,960.7,24.3
2022-01-12,4.0,990.0,990.0,990.0,176.0,174240.0,985.0,5.0
2022-01-23,1.0,980.0,980.0,980.0,50.0,49000.0,990.0,-10.0
