Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-09-20,5173.0,330.0,270.0,270.0,104308.0,33469970.0,300.0,-30.0
2020-09-21,2193.0,257.0,243.0,243.0,44405.0,10802315.0,270.0,-27.0
2020-09-22,1008.0,239.0,219.0,219.0,20625.0,4517715.0,243.0,-24.0
2020-09-23,6827.0,229.0,198.0,218.0,125652.0,26279887.0,219.0,-1.0
2020-09-24,2673.0,231.0,211.0,223.0,51690.0,11402670.0,218.0,5.0
2020-09-27,1305.0,226.0,215.0,216.0,31570.0,6895980.0,223.0,-7.0
2020-09-28,1136.0,215.0,206.0,209.0,24911.0,5231169.0,216.0,-7.0
2020-09-29,1299.0,215.0,200.0,208.0,48410.0,9947895.0,209.0,-1.0
2020-09-30,950.0,215.0,200.0,210.0,34150.0,7178430.0,208.0,2.0
2020-10-01,1022.0,218.0,203.0,204.0,28932.0,5951065.0,210.0,-6.0
2020-10-04,1034.0,204.0,197.0,200.0,37708.0,7529888.0,204.0,-4.0
2020-10-05,1003.0,204.0,194.0,203.0,26919.0,5375410.0,200.0,3.0
2020-10-06,1011.0,221.0,199.0,221.0,32089.0,6762700.0,203.0,18.0
2020-10-07,1209.0,240.0,211.0,237.0,67383.0,15432660.0,221.0,16.0
2020-10-08,812.0,240.0,220.0,221.0,65555.0,14817208.0,237.0,-16.0
2020-10-11,618.0,225.0,209.0,217.0,24434.0,5259706.0,221.0,-4.0
2020-10-12,497.0,215.0,209.0,214.0,21884.0,4646701.0,217.0,-3.0
2020-10-13,411.0,213.0,206.0,208.0,21310.0,4461805.0,214.0,-6.0
2020-10-14,384.0,208.0,201.0,202.0,18425.0,3745115.0,208.0,-6.0
2020-10-15,351.0,211.0,200.0,204.0,15355.0,3144565.0,202.0,2.0
2020-10-18,279.0,205.0,200.0,203.0,6610.0,1335140.0,204.0,-1.0
2020-10-19,218.0,207.0,199.0,207.0,7280.0,1478570.0,203.0,4.0
2020-10-20,252.0,215.0,203.0,207.0,19670.0,4110085.0,207.0,0.0
2020-10-21,156.0,208.0,204.0,208.0,6045.0,1244155.0,207.0,1.0
2020-10-22,193.0,210.0,202.0,208.0,7775.0,1611040.0,208.0,0.0
2020-10-28,260.0,210.0,202.0,206.0,8050.0,1654220.0,208.0,-2.0
2020-10-29,372.0,209.0,203.0,205.0,11183.0,2309148.0,206.0,-1.0
2020-11-01,423.0,207.0,201.0,204.0,16955.0,3474795.0,205.0,-1.0
2020-11-02,332.0,207.0,200.0,204.0,7080.0,1447715.0,204.0,0.0
2020-11-03,358.0,210.0,203.0,206.0,10115.0,2078615.0,204.0,2.0
2020-11-04,301.0,210.0,196.0,208.0,7018.0,1450362.0,206.0,2.0
2020-11-05,421.0,212.0,203.0,212.0,25497.0,5325488.0,208.0,4.0
2020-11-08,524.0,220.0,209.0,217.0,34970.0,7528495.0,212.0,5.0
2020-11-09,395.0,221.0,212.0,213.0,24572.0,5289204.0,217.0,-4.0
2020-11-10,250.0,215.0,211.0,211.0,14990.0,3194228.0,213.0,-2.0
2020-11-11,257.0,214.0,207.0,210.0,11710.0,2472110.0,211.0,-1.0
2020-11-12,294.0,212.0,207.0,209.0,7230.0,1508340.0,210.0,-1.0
2020-11-18,235.0,208.0,205.0,206.0,17345.0,3579103.0,209.0,-3.0
2020-11-19,430.0,213.0,204.0,209.0,21285.0,4473495.0,206.0,3.0
2020-11-22,429.0,213.0,204.0,205.0,21020.0,4365975.0,209.0,-4.0
2020-11-23,408.0,206.0,201.0,205.0,24135.0,4898654.0,205.0,0.0
2020-11-24,353.0,212.0,203.0,206.0,17360.0,3597700.0,205.0,1.0
2020-11-25,467.0,223.0,204.0,208.0,19690.0,4079315.0,206.0,2.0
2020-11-26,406.0,209.0,204.0,206.0,13760.0,2833037.0,208.0,-2.0
2020-11-29,487.0,208.0,203.0,207.0,28977.0,5939270.0,206.0,1.0
2020-11-30,545.0,215.0,206.0,215.0,21701.0,4534545.0,207.0,8.0
2020-12-01,484.0,223.0,209.0,216.0,26536.0,5696759.0,215.0,1.0
2020-12-02,618.0,226.0,211.0,222.0,67591.0,14845356.0,216.0,6.0
2020-12-03,539.0,230.0,218.0,225.0,67823.0,15083580.0,222.0,3.0
2020-12-06,298.0,226.0,209.0,210.0,25052.0,5396842.0,225.0,-15.0
2020-12-07,368.0,223.0,208.0,217.0,15265.0,3282485.0,210.0,7.0
2020-12-08,370.0,227.0,213.0,213.0,19820.0,4309778.0,217.0,-4.0
2020-12-09,476.0,231.0,210.0,220.0,39063.0,8595758.0,213.0,7.0
2020-12-10,887.0,242.0,218.0,242.0,113061.0,26306793.0,220.0,22.0
2020-12-13,626.0,260.0,237.0,242.0,53662.0,13193217.0,242.0,0.0
2020-12-14,440.0,244.0,226.0,228.0,39121.0,9099060.0,242.0,-14.0
2020-12-15,336.0,238.0,217.0,229.0,34220.0,7795151.0,228.0,1.0
2020-12-16,282.0,241.0,223.0,226.0,15920.0,3623100.0,229.0,-3.0
2020-12-17,313.0,230.0,219.0,221.0,16988.0,3779640.0,226.0,-5.0
2020-12-20,294.0,218.0,205.0,207.0,24828.0,5214545.0,221.0,-14.0
2020-12-21,330.0,218.0,200.0,217.0,19468.0,4077994.0,207.0,10.0
2020-12-22,401.0,232.0,213.0,220.0,22415.0,4901140.0,217.0,3.0
2020-12-23,209.0,231.0,215.0,217.0,10820.0,2345330.0,220.0,-3.0
2020-12-24,208.0,220.0,210.0,217.0,8078.0,1743260.0,217.0,0.0
2020-12-27,221.0,221.0,210.0,214.0,8650.0,1863890.0,217.0,-3.0
2020-12-28,189.0,215.0,210.0,210.0,7730.0,1634780.0,214.0,-4.0
2020-12-29,266.0,220.0,207.0,213.0,15765.0,3310236.0,210.0,3.0
2020-12-30,224.0,213.0,208.0,212.0,6310.0,1326810.0,213.0,-1.0
2020-12-31,239.0,215.0,208.0,212.0,6815.0,1430085.0,212.0,0.0
2021-01-03,306.0,218.0,208.0,218.0,11740.0,2488270.0,212.0,6.0
2021-01-04,180.0,218.0,209.0,212.0,6260.0,1328940.0,218.0,-6.0
2021-01-05,239.0,222.0,209.0,217.0,9746.0,2109506.0,212.0,5.0
2021-01-06,168.0,218.0,210.0,212.0,15752.0,3353534.0,217.0,-5.0
2021-01-07,371.0,222.0,212.0,220.0,17538.0,3804535.0,212.0,8.0
2021-01-10,280.0,222.0,213.0,220.0,7826.0,1698730.0,220.0,0.0
2021-01-11,175.0,231.0,215.0,219.0,7230.0,1574750.0,220.0,-1.0
2021-01-12,233.0,220.0,213.0,217.0,13080.0,2840500.0,219.0,-2.0
2021-01-13,196.0,220.0,214.0,214.0,15891.0,3423280.0,217.0,-3.0
2021-01-17,251.0,221.0,213.0,219.0,17291.0,3765211.0,214.0,5.0
2021-01-18,350.0,227.0,219.0,224.0,36311.0,8060832.0,219.0,5.0
2021-01-19,265.0,230.0,220.0,223.0,39960.0,8962557.0,224.0,-1.0
2021-01-20,390.0,232.0,221.0,232.0,42415.0,9617689.0,223.0,9.0
2021-01-21,530.0,242.0,225.0,237.0,58544.0,13714501.0,232.0,5.0
2021-01-24,381.0,252.0,233.0,240.0,47341.0,11200630.0,237.0,3.0
2021-01-25,233.0,245.0,232.0,236.0,24128.0,5689044.0,240.0,-4.0
2021-01-26,237.0,237.0,232.0,236.0,22964.0,5380592.0,236.0,0.0
2021-01-27,205.0,236.0,229.0,230.0,16885.0,3928340.0,236.0,-6.0
2021-01-28,219.0,233.0,226.0,229.0,10980.0,2522240.0,230.0,-1.0
2021-01-31,205.0,227.0,218.0,222.0,25055.0,5570015.0,229.0,-7.0
2021-02-01,198.0,230.0,218.0,226.0,5824.0,1314520.0,222.0,4.0
2021-02-02,305.0,238.0,216.0,234.0,23580.0,5426212.0,226.0,8.0
2021-02-03,344.0,238.0,230.0,230.0,34085.0,7982400.0,234.0,-4.0
2021-02-04,433.0,240.0,227.0,235.0,45721.0,10780328.0,230.0,5.0
2021-02-07,749.0,258.0,231.0,258.0,97160.0,24120036.0,235.0,23.0
2021-02-08,513.0,266.0,242.0,251.0,72886.0,18444263.0,258.0,-7.0
2021-02-09,289.0,250.0,240.0,244.0,37940.0,9166485.0,251.0,-7.0
2021-02-10,203.0,244.0,236.0,237.0,17770.0,4251544.0,244.0,-7.0
2021-02-11,222.0,241.0,235.0,239.0,13845.0,3292175.0,237.0,2.0
2021-02-14,146.0,240.0,234.0,238.0,17380.0,4104215.0,239.0,-1.0
2021-02-15,415.0,252.0,240.0,249.0,43550.0,10741202.0,238.0,11.0
2021-02-16,251.0,250.0,243.0,248.0,19237.0,4716319.0,249.0,-1.0
2021-02-17,187.0,247.0,241.0,247.0,17475.0,4265455.0,248.0,-1.0
2021-02-18,342.0,255.0,237.0,246.0,38145.0,9239780.0,247.0,-1.0
2021-02-21,795.0,270.0,243.0,266.0,93802.0,24058490.0,246.0,20.0
2021-02-22,415.0,269.0,255.0,259.0,63785.0,16832272.0,266.0,-7.0
2021-02-23,941.0,284.0,255.0,284.0,172947.0,46668512.0,259.0,25.0
2021-02-24,402.0,298.0,274.0,281.0,43650.0,12398782.0,284.0,-3.0
2021-02-25,282.0,285.0,267.0,270.0,43766.0,11880530.0,281.0,-11.0
2021-02-28,312.0,272.0,254.0,254.0,35700.0,9247075.0,270.0,-16.0
2021-03-01,247.0,269.0,245.0,268.0,34576.0,8922629.0,254.0,14.0
2021-03-02,280.0,275.0,251.0,266.0,38222.0,9996538.0,268.0,-2.0
2021-03-03,269.0,272.0,248.0,260.0,38082.0,10035378.0,266.0,-6.0
2021-03-04,679.0,286.0,260.0,286.0,118421.0,33305249.0,260.0,26.0
2021-03-07,522.0,300.0,281.0,284.0,94817.0,27497798.0,286.0,-2.0
2021-03-09,397.0,299.0,280.0,295.0,68455.0,20052875.0,284.0,11.0
2021-03-10,943.0,324.0,295.0,319.0,134891.0,42831387.0,295.0,24.0
2021-03-14,489.0,331.0,298.0,306.0,104556.0,32412923.0,319.0,-13.0
2021-03-15,339.0,316.0,294.0,296.0,55955.0,16853645.0,306.0,-10.0
2021-03-16,211.0,303.0,288.0,291.0,18746.0,5525514.0,296.0,-5.0
2021-03-17,283.0,312.0,286.0,300.0,26763.0,8018225.0,291.0,9.0
2021-03-18,271.0,315.0,295.0,299.0,35934.0,10757724.0,300.0,-1.0
2021-03-21,276.0,306.0,295.0,299.0,19433.0,5813655.0,299.0,0.0
2021-03-22,298.0,305.0,294.0,300.0,37403.0,11165629.0,299.0,1.0
2021-03-23,394.0,316.0,296.0,304.0,42085.0,12903745.0,300.0,4.0
2021-03-24,256.0,310.0,302.0,307.0,28764.0,8776286.0,304.0,3.0
2021-03-25,337.0,313.0,300.0,302.0,36388.0,11103992.0,307.0,-5.0
2021-03-29,240.0,303.0,296.0,298.0,11819.0,3542261.0,302.0,-4.0
2021-03-30,195.0,302.0,296.0,297.0,19688.0,5848890.0,298.0,-1.0
2021-03-31,268.0,305.0,295.0,297.0,30139.0,8992609.0,297.0,0.0
2021-04-01,256.0,311.0,294.0,299.0,30757.0,9188933.0,297.0,2.0
2021-04-04,249.0,313.0,295.0,299.0,21255.0,6341999.0,299.0,0.0
2021-04-05,226.0,302.0,296.0,297.0,16654.0,4984779.0,299.0,-2.0
2021-04-06,482.0,310.0,297.0,305.0,59488.0,18166317.0,297.0,8.0
2021-04-07,343.0,314.0,295.0,302.0,46679.0,14189040.0,305.0,-3.0
2021-04-08,307.0,314.0,302.0,304.0,27079.0,8247111.0,302.0,2.0
2021-04-12,284.0,305.0,299.0,299.0,27240.0,8203592.0,304.0,-5.0
2021-04-13,261.0,304.0,298.0,303.0,15838.0,4781540.0,299.0,4.0
2021-04-15,473.0,321.0,301.0,312.0,65675.0,20399286.0,303.0,9.0
2021-04-18,374.0,320.0,307.0,310.0,47482.0,14791369.0,312.0,-2.0
2021-04-19,528.0,332.0,306.0,322.0,76525.0,24640117.0,310.0,12.0
2021-04-20,742.0,350.0,316.0,348.0,135095.0,45398374.0,322.0,26.0
2021-04-21,400.0,350.0,325.0,330.0,84053.0,28325752.0,348.0,-18.0
2021-04-22,270.0,346.0,320.0,326.0,47792.0,15536043.0,330.0,-4.0
2021-04-25,295.0,320.0,309.0,312.0,44091.0,13791700.0,326.0,-14.0
2021-04-26,305.0,318.0,301.0,304.0,38464.0,11728787.0,312.0,-8.0
2021-04-27,286.0,325.0,300.0,323.0,41522.0,13131504.0,304.0,19.0
2021-04-28,114.0,325.0,312.0,315.0,9535.0,3021155.0,323.0,-8.0
2021-04-29,284.0,330.0,315.0,326.0,31244.0,10151607.0,315.0,11.0
2021-05-02,467.0,343.0,324.0,338.0,68617.0,23093870.0,326.0,12.0
2021-05-03,336.0,342.0,322.0,330.0,61564.0,20491981.0,338.0,-8.0
2021-05-04,363.0,339.0,326.0,333.0,36221.0,12095214.0,330.0,3.0
2021-05-05,992.0,366.0,335.0,363.0,250641.0,90149907.0,333.0,30.0
2021-05-06,565.0,377.0,351.0,358.0,87902.0,32181287.0,363.0,-5.0
2021-05-09,312.0,359.0,339.0,350.0,44325.0,15549115.0,358.0,-8.0
2021-05-10,314.0,369.0,344.0,368.0,23899.0,8492075.0,350.0,18.0
2021-05-11,297.0,368.0,354.0,357.0,48411.0,17342457.0,368.0,-11.0
2021-05-12,431.0,367.0,353.0,360.0,90335.0,32451019.0,357.0,3.0
2021-05-13,915.0,393.0,365.0,387.0,256280.0,98389108.0,360.0,27.0
2021-05-16,492.0,404.0,370.0,374.0,83629.0,31445220.0,387.0,-13.0
2021-05-17,576.0,393.0,370.0,393.0,93249.0,35783570.0,374.0,19.0
2021-05-18,478.0,411.0,388.0,394.0,78662.0,31405010.0,393.0,1.0
2021-05-19,416.0,396.0,376.0,380.0,57371.0,21915007.0,394.0,-14.0
2021-05-20,346.0,380.0,370.0,372.0,36555.0,13692182.0,380.0,-8.0
2021-05-23,524.0,387.0,358.0,374.0,72646.0,26987423.0,372.0,2.0
2021-05-24,400.0,393.0,365.0,369.0,48968.0,18131966.0,374.0,-5.0
2021-05-25,581.0,388.0,352.0,374.0,90115.0,34034545.0,369.0,5.0
2021-05-27,900.0,408.0,362.0,398.0,142576.0,56162767.0,374.0,24.0
2021-05-30,839.0,420.0,378.0,383.0,136473.0,53263209.0,398.0,-15.0
2021-05-31,571.0,387.0,362.0,368.0,86852.0,32267815.0,383.0,-15.0
2021-06-01,394.0,375.0,348.0,361.0,40968.0,14864764.0,368.0,-7.0
2021-06-02,489.0,375.0,348.0,380.0,48988.0,18042343.0,361.0,19.0
2021-06-03,433.0,384.0,366.0,366.0,38522.0,14439650.0,380.0,-14.0
2021-06-06,425.0,366.0,353.0,355.0,40155.0,14299527.0,366.0,-11.0
2021-06-07,847.0,383.0,338.0,377.0,93914.0,35241600.0,355.0,22.0
2021-06-08,854.0,398.0,385.0,390.0,102578.0,40071934.0,377.0,13.0
2021-06-09,484.0,401.0,376.0,381.0,57423.0,22211344.0,390.0,-10.0
2021-06-10,1153.0,419.0,380.0,419.0,141948.0,56452443.0,381.0,38.0
2021-06-13,1797.0,460.0,399.0,460.0,278522.0,123249189.0,419.0,41.0
2021-06-14,1324.0,486.0,437.0,456.0,163359.0,74552046.0,460.0,-4.0
2021-06-15,926.0,454.0,423.0,424.0,109331.0,47712107.0,456.0,-32.0
2021-06-16,1252.0,436.0,382.0,387.0,152343.0,59998655.0,424.0,-37.0
2021-06-17,702.0,421.0,371.0,389.0,72215.0,27636916.0,387.0,2.0
2021-06-20,595.0,399.0,358.0,364.0,59738.0,22373627.0,389.0,-25.0
2021-06-21,486.0,378.0,328.0,333.0,53719.0,18805857.0,364.0,-31.0
2021-06-22,530.0,366.0,331.0,366.0,55822.0,20064545.0,333.0,33.0
2021-06-23,416.0,383.0,339.0,360.0,40549.0,14431679.0,366.0,-6.0
2021-06-24,338.0,374.0,340.0,362.0,38567.0,13852269.0,360.0,2.0
2021-06-27,264.0,375.0,350.0,359.0,27285.0,9807483.0,362.0,-5.0
2021-06-28,233.0,367.0,346.0,351.0,16044.0,5659594.0,359.0,-8.0
2021-06-29,233.0,357.0,336.0,340.0,17146.0,5860644.0,351.0,-11.0
2021-06-30,279.0,340.0,325.0,337.0,28583.0,9483652.0,340.0,-3.0
2021-07-01,273.0,361.0,321.0,336.0,19473.0,6733477.0,337.0,-1.0
2021-07-04,285.0,350.0,336.0,346.0,19184.0,6592585.0,336.0,10.0
2021-07-05,203.0,353.0,341.0,343.0,22058.0,7612466.0,346.0,-3.0
2021-07-06,140.0,350.0,331.0,344.0,10415.0,3507849.0,343.0,1.0
2021-07-07,111.0,344.0,332.0,335.0,7459.0,2523045.0,344.0,-9.0
2021-07-08,202.0,341.0,330.0,336.0,22500.0,7547774.0,335.0,1.0
2021-07-11,242.0,350.0,336.0,347.0,19077.0,6589802.0,336.0,11.0
2021-07-12,230.0,358.0,338.0,344.0,22307.0,7715000.0,347.0,-3.0
2021-07-13,170.0,351.0,339.0,347.0,21702.0,7503687.0,344.0,3.0
2021-07-14,220.0,360.0,342.0,355.0,31668.0,11211046.0,347.0,8.0
2021-07-15,672.0,381.0,357.0,380.0,89273.0,33309949.0,355.0,25.0
2021-07-18,507.0,404.9,373.0,397.0,51676.0,20050262.3,380.0,17.0
2021-07-19,384.0,411.0,384.2,386.0,54698.0,21402373.0,397.0,-11.0
2021-07-20,393.0,405.7,380.0,393.0,54897.0,21392397.4,386.0,7.0
2021-07-22,959.0,415.1,390.0,409.0,153123.0,62196465.6,393.0,16.0
2021-07-25,816.0,434.0,405.1,425.0,114121.0,48036759.7,409.0,16.0
2021-07-26,739.0,442.0,421.4,425.1,115082.0,49563279.4,425.0,0.1
2021-07-27,1048.0,467.6,417.0,457.0,151743.0,68799056.0,425.1,31.9
2021-07-28,986.0,474.9,431.0,441.0,139559.0,62619751.7,457.0,-16.0
2021-07-29,453.0,445.0,427.0,429.0,58716.0,25352138.7,441.0,-12.0
2021-08-01,1001.0,469.2,430.0,457.0,169632.0,77083279.4,429.0,28.0
2021-08-02,706.0,474.0,440.0,448.0,139701.0,62751549.1,457.0,-8.0
2021-08-03,1662.0,492.5,446.0,492.5,296488.0,140911021.5,448.0,44.5
2021-08-04,1275.0,521.2,497.0,509.0,151069.0,77202496.1,492.5,16.5
2021-08-05,903.0,514.0,481.0,484.0,118229.0,58120270.9,509.0,-25.0
2021-08-08,1089.0,516.0,470.0,496.0,180996.0,89362804.1,484.0,13.0
2021-08-09,1242.0,525.0,486.1,519.0,182598.0,93744189.4,496.0,23.0
2021-08-10,1152.0,529.3,495.0,499.0,154667.0,78064925.1,519.0,-20.0
2021-08-11,1024.0,530.0,500.0,518.5,141678.0,73407818.7,499.0,19.5
2021-08-12,667.0,525.0,502.8,504.0,73822.0,37478525.9,518.5,-14.5
2021-08-15,574.0,500.0,470.0,480.0,60162.0,29015563.5,504.0,-24.0
2021-08-16,471.0,499.0,470.4,487.0,42100.0,20578606.9,480.0,7.0
2021-08-17,792.0,520.0,490.0,509.0,113217.0,57904720.9,487.0,22.0
2021-08-18,847.0,525.0,498.0,498.0,118371.0,60869444.9,509.0,-11.0
2021-08-19,768.0,510.0,474.0,479.0,72525.0,35344770.1,498.0,-19.0
2021-08-24,763.0,469.5,431.1,431.5,72198.0,32091136.1,479.0,-47.5
2021-08-25,440.0,455.0,407.0,435.0,39814.0,17276747.4,431.5,3.5
2021-08-26,600.0,478.5,430.0,460.0,69802.0,31542067.4,435.0,25.0
2021-08-29,412.0,471.0,440.0,441.0,28743.0,12940867.0,460.0,-19.0
2021-08-31,480.0,467.0,427.0,436.0,57170.0,25161696.0,441.0,-5.0
2021-09-01,480.0,459.0,426.1,438.0,58553.0,26113450.1,436.0,2.0
2021-09-02,297.0,450.0,422.0,426.0,31116.0,13499929.0,438.0,-12.0
2021-09-05,437.0,417.5,383.4,385.0,38439.0,15086206.8,426.0,-41.0
2021-09-06,365.0,423.5,379.0,423.5,45802.0,18397151.4,385.0,38.5
2021-09-07,298.0,444.0,402.0,415.0,43051.0,18124574.5,423.5,-8.5
2021-09-08,226.0,430.6,406.7,411.0,21991.0,9165527.1,415.0,-4.0
2021-09-09,232.0,427.3,402.5,418.0,26874.0,11203545.5,411.0,7.0
2021-09-12,466.0,459.8,426.3,459.8,55367.0,24863132.7,418.0,41.8
2021-09-13,643.0,487.7,443.0,453.0,83536.0,39248892.1,459.8,-6.8
2021-09-14,316.0,480.0,444.0,459.0,43920.0,19874775.1,453.0,6.0
2021-09-15,245.0,468.1,443.0,445.0,28676.0,12973862.5,459.0,-14.0
2021-09-16,402.0,445.0,405.0,415.0,50491.0,21123057.2,445.0,-30.0
2021-09-20,337.0,422.0,383.0,383.0,43573.0,17322847.7,415.0,-32.0
2021-09-21,324.0,421.3,348.0,389.0,42028.0,16286288.0,383.0,6.0
2021-09-22,330.0,427.9,389.1,427.9,55645.0,23151418.9,389.0,38.9
2021-09-23,232.0,436.4,405.1,413.5,20463.0,8634381.5,427.9,-14.4
2021-09-26,233.0,413.0,393.0,408.0,21656.0,8666684.2,413.5,-5.5
2021-09-27,168.0,432.0,385.0,388.0,17057.0,6745852.5,408.0,-20.0
2021-09-28,243.0,395.0,352.8,354.0,32476.0,11918439.6,388.0,-34.0
2021-09-29,234.0,374.0,344.0,362.0,23845.0,8595050.5,354.0,8.0
2021-09-30,145.0,391.0,355.0,360.0,15779.0,5706604.7,362.0,-2.0
2021-10-03,173.0,360.0,338.0,360.0,21141.0,7309527.2,360.0,0.0
2021-10-04,124.0,360.0,339.0,344.0,18714.0,6495512.2,360.0,-16.0
2021-10-05,116.0,357.0,338.0,343.0,18080.0,6267003.0,344.0,-1.0
2021-10-06,98.0,357.0,348.0,348.0,9148.0,3230778.0,343.0,5.0
2021-10-10,66.0,357.0,342.0,342.0,9908.0,3459464.8,348.0,-6.0
2021-10-11,82.0,340.0,326.0,334.0,9150.0,3033757.0,342.0,-8.0
2021-10-17,35.0,343.0,330.0,335.0,2260.0,760081.0,334.0,1.0
2021-10-18,108.0,341.0,314.0,321.0,16899.0,5453138.0,335.0,-14.0
