Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,1.0,795.0,795.0,795.0,10.0,7950.0,780.0,15.0
2012-06-04,6.0,800.0,784.0,785.0,560.0,445040.0,795.0,-10.0
2012-06-05,5.0,770.0,757.0,757.0,140.0,106710.0,785.0,-28.0
2012-06-06,3.0,750.0,743.0,743.0,50.0,37430.0,757.0,-14.0
2012-06-07,1.0,730.0,730.0,730.0,30.0,21900.0,743.0,-13.0
2012-06-10,2.0,731.0,731.0,731.0,20.0,14620.0,730.0,1.0
2012-06-11,3.0,748.0,742.0,748.0,480.0,358890.0,731.0,17.0
2012-06-12,5.0,777.0,762.0,775.0,120.0,92520.0,748.0,27.0
2012-06-13,2.0,770.0,770.0,770.0,30.0,23100.0,775.0,-5.0
2012-06-14,3.0,755.0,743.0,743.0,40.0,30080.0,770.0,-27.0
2012-06-19,1.0,743.0,743.0,743.0,20.0,14860.0,743.0,0.0
2012-06-20,2.0,747.0,743.0,747.0,30.0,22330.0,743.0,4.0
2012-06-21,1.0,745.0,745.0,745.0,60.0,44700.0,747.0,-2.0
2012-06-25,2.0,759.0,759.0,759.0,20.0,15180.0,745.0,14.0
2012-06-26,2.0,745.0,744.0,745.0,20.0,14890.0,759.0,-14.0
2012-06-28,1.0,750.0,750.0,750.0,100.0,75000.0,745.0,5.0
2012-07-01,3.0,780.0,765.0,775.0,120.0,92950.0,750.0,25.0
2012-07-03,3.0,790.0,760.0,760.0,30.0,23250.0,775.0,-15.0
2012-07-04,4.0,790.0,760.0,760.0,60.0,46650.0,760.0,0.0
2012-07-05,5.0,775.0,760.0,775.0,1160.0,898690.0,760.0,15.0
2012-07-08,12.0,790.0,761.0,762.0,120.0,92320.0,775.0,-13.0
2012-07-09,5.0,838.0,777.0,838.0,50.0,40370.0,762.0,76.0
2012-07-10,25.0,918.0,854.0,918.0,1600.0,1441530.0,838.0,80.0
2012-07-11,22.0,917.0,886.0,890.0,770.0,690220.0,918.0,-28.0
2012-07-12,8.0,889.0,870.0,880.0,1040.0,911960.0,890.0,-10.0
2012-07-15,3.0,870.0,865.0,870.0,820.0,713350.0,880.0,-10.0
2012-07-16,8.0,880.0,875.0,879.0,160.0,140350.0,870.0,9.0
2012-07-19,2.0,896.0,896.0,896.0,50.0,44800.0,879.0,17.0
2012-07-22,1.0,913.0,913.0,913.0,10.0,9130.0,896.0,17.0
2012-07-24,1.0,901.0,901.0,901.0,1000.0,901000.0,913.0,-12.0
2012-07-25,5.0,908.0,883.0,908.0,350.0,313470.0,901.0,7.0
2012-07-26,2.0,926.0,908.0,926.0,120.0,110760.0,908.0,18.0
2012-07-29,5.0,926.0,926.0,926.0,100.0,92600.0,926.0,0.0
2012-07-30,4.0,926.0,926.0,926.0,50.0,46300.0,926.0,0.0
2012-07-31,2.0,926.0,926.0,926.0,20.0,18520.0,926.0,0.0
2012-08-01,1.0,920.0,920.0,920.0,110.0,101200.0,926.0,-6.0
2012-08-06,4.0,938.0,925.0,928.0,310.0,286940.0,920.0,8.0
2012-08-07,6.0,910.0,910.0,910.0,280.0,254800.0,928.0,-18.0
2012-08-08,1.0,900.0,900.0,900.0,1000.0,900000.0,910.0,-10.0
2012-08-12,6.0,935.0,910.0,917.0,120.0,110310.0,900.0,17.0
2012-08-13,2.0,935.0,920.0,935.0,280.0,259850.0,917.0,18.0
2012-08-16,9.0,961.0,950.0,961.0,1140.0,1094190.0,935.0,26.0
2012-08-19,6.0,960.0,924.0,960.0,1050.0,1005120.0,961.0,-1.0
2012-08-21,1.0,942.0,942.0,942.0,90.0,84780.0,960.0,-18.0
2012-08-22,4.0,942.0,924.0,924.0,60.0,55800.0,942.0,-18.0
2012-08-23,2.0,953.0,935.0,953.0,270.0,254970.0,924.0,29.0
2012-08-26,2.0,960.0,960.0,960.0,20.0,19200.0,953.0,7.0
2012-08-27,2.0,970.0,970.0,970.0,20.0,19400.0,960.0,10.0
2012-08-28,9.0,951.0,950.0,950.0,940.0,893120.0,970.0,-20.0
2012-08-30,6.0,950.0,950.0,950.0,100.0,95000.0,950.0,0.0
2012-09-02,2.0,950.0,950.0,950.0,20.0,19000.0,950.0,0.0
2012-09-03,2.0,960.0,960.0,960.0,80.0,76800.0,950.0,10.0
2012-09-06,7.0,999.0,960.0,999.0,270.0,260290.0,960.0,39.0
2012-09-09,17.0,1058.0,995.0,1037.0,3130.0,3152140.0,999.0,38.0
2012-09-10,14.0,1140.0,1050.0,1140.0,690.0,743750.0,1037.0,103.0
2012-09-11,24.0,1183.0,1078.0,1183.0,740.0,821850.0,1140.0,43.0
2012-09-12,4.0,1206.0,1200.0,1200.0,1180.0,1419480.0,1183.0,17.0
2012-09-13,20.0,1272.0,1180.0,1180.0,1820.0,2169900.0,1200.0,-20.0
2012-09-16,10.0,1248.0,1181.0,1248.0,240.0,289100.0,1180.0,68.0
2012-09-17,10.0,1224.0,1190.0,1191.0,600.0,717170.0,1248.0,-57.0
2012-09-18,16.0,1238.0,1199.0,1213.0,460.0,559790.0,1191.0,22.0
2012-09-19,9.0,1249.0,1200.0,1200.0,770.0,925820.0,1213.0,-13.0
2012-09-20,8.0,1201.0,1181.0,1201.0,1210.0,1447490.0,1200.0,1.0
2012-09-23,10.0,1195.0,1180.0,1190.0,240.0,284350.0,1201.0,-11.0
2012-09-24,5.0,1210.0,1170.0,1210.0,710.0,833670.0,1190.0,20.0
2012-09-25,15.0,1210.0,1186.0,1210.0,1400.0,1685120.0,1210.0,0.0
2012-09-26,7.0,1210.0,1210.0,1210.0,230.0,278300.0,1210.0,0.0
2012-09-27,9.0,1230.0,1200.0,1230.0,320.0,387600.0,1210.0,20.0
2012-09-30,3.0,1224.0,1206.0,1224.0,600.0,732960.0,1230.0,-6.0
2012-10-01,13.0,1323.0,1225.0,1322.0,770.0,989120.0,1224.0,98.0
2012-10-02,13.0,1343.0,1293.0,1343.0,440.0,573340.0,1322.0,21.0
2012-10-03,20.0,1317.0,1219.0,1291.0,1100.0,1377620.0,1343.0,-52.0
2012-10-04,8.0,1291.0,1230.0,1291.0,3500.0,4312260.0,1291.0,0.0
2012-10-07,3.0,1310.0,1290.0,1310.0,1330.0,1720250.0,1291.0,19.0
2012-10-09,10.0,1284.0,1235.0,1255.0,1670.0,2066820.0,1310.0,-55.0
2012-10-10,10.0,1299.0,1250.0,1299.0,190.0,240530.0,1255.0,44.0
2012-10-11,7.0,1324.0,1299.0,1299.0,120.0,156990.0,1299.0,0.0
2012-10-14,3.0,1299.0,1274.0,1299.0,40.0,51710.0,1299.0,0.0
2012-10-15,4.0,1274.0,1230.0,1230.0,520.0,640230.0,1299.0,-69.0
2012-10-18,2.0,1250.0,1225.0,1225.0,20.0,24750.0,1230.0,-5.0
2012-10-30,3.0,1253.0,1205.0,1253.0,80.0,97360.0,1225.0,28.0
2012-10-31,2.0,1300.0,1278.0,1300.0,20.0,25780.0,1253.0,47.0
2012-11-01,5.0,1320.0,1294.0,1294.0,140.0,182050.0,1300.0,-6.0
2012-11-05,4.0,1320.0,1305.0,1320.0,60.0,78650.0,1294.0,26.0
2012-11-06,2.0,1340.0,1320.0,1320.0,40.0,53000.0,1320.0,0.0
2012-11-08,2.0,1339.0,1315.0,1339.0,20.0,26540.0,1320.0,19.0
2012-11-11,4.0,1320.0,1313.0,1320.0,140.0,184520.0,1339.0,-19.0
2012-11-18,6.0,1380.0,1320.0,1380.0,160.0,214700.0,1320.0,60.0
2012-11-20,1.0,1406.0,1406.0,1406.0,20.0,28120.0,1380.0,26.0
2012-11-21,5.0,1450.0,1393.0,1393.0,1060.0,1479020.0,1406.0,-13.0
2012-11-22,3.0,1415.0,1395.0,1415.0,30.0,42150.0,1393.0,22.0
2012-11-25,1.0,1399.0,1399.0,1399.0,40.0,55960.0,1415.0,-16.0
2012-12-03,9.0,1372.0,1268.0,1340.0,190.0,247890.0,1399.0,-59.0
2012-12-04,13.0,1385.0,1314.0,1382.0,380.0,508780.0,1340.0,42.0
2012-12-05,8.0,1382.0,1355.0,1355.0,670.0,911580.0,1382.0,-27.0
2012-12-06,6.0,1328.0,1276.0,1280.0,540.0,697940.0,1355.0,-75.0
