Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-09-14,50.0,10.0,9.25,9.28,27250.0,255546.0,0.0,9.28
2020-09-15,47.0,9.44,9.15,9.44,35700.0,330224.5,9.28,0.16
2020-09-16,20.0,9.28,9.26,9.26,4300.0,39826.0,9.44,-0.18
2020-09-17,25.0,9.35,9.09,9.35,8600.0,79400.0,9.26,0.09
2020-09-20,27.0,9.17,8.48,9.01,6080.0,54134.0,9.35,-0.34
2020-09-21,43.0,9.04,8.84,8.94,22450.0,201323.0,9.01,-0.07
2020-09-22,39.0,9.13,8.85,9.13,12950.0,117199.0,8.94,0.19
2020-09-23,20.0,9.1,8.95,8.97,18000.0,162808.5,9.13,-0.16
2020-09-24,42.0,9.0,8.8,9.0,21150.0,188697.0,8.97,0.03
2020-09-27,20.0,9.0,8.85,9.0,257300.0,2287427.0,9.0,0.0
2020-09-28,19.0,8.86,8.83,8.85,6710.0,59367.3,9.0,-0.15
2020-09-29,22.0,8.92,8.7,8.8,7300.0,64139.0,8.85,-0.05
2020-09-30,19.0,8.91,8.7,8.91,10050.0,88892.0,8.8,0.11
2020-10-01,29.0,8.95,8.83,8.95,15010.0,133857.3,8.91,0.04
2020-10-04,30.0,8.95,8.63,8.75,21150.0,185430.0,8.95,-0.2
2020-10-05,27.0,8.92,8.59,8.92,35750.0,314089.5,8.75,0.17
2020-10-06,26.0,9.09,8.6,9.0,21000.0,186701.0,8.92,0.08
2020-10-07,22.0,9.0,8.65,8.85,7050.0,62350.0,9.0,-0.15
2020-10-08,10.0,8.86,8.85,8.86,2000.0,17701.0,8.85,0.01
2020-10-11,19.0,8.8,8.7,8.72,4100.0,35871.0,8.86,-0.14
2020-10-12,22.0,8.75,8.68,8.71,4450.0,38749.5,8.72,-0.01
2020-10-13,19.0,9.0,8.71,9.0,6710.0,59176.4,8.71,0.29
2020-10-14,19.0,8.85,8.83,8.85,7310.0,64676.9,9.0,-0.15
2020-10-15,25.0,9.1,8.85,9.1,14000.0,125204.0,8.85,0.25
2020-10-18,16.0,9.1,8.76,9.0,12600.0,112257.0,9.1,-0.1
2020-10-19,7.0,8.99,8.82,8.9,2750.0,24556.5,9.0,-0.1
2020-10-20,5.0,8.98,8.81,8.98,7500.0,67015.0,8.9,0.08
2020-10-21,6.0,9.0,8.83,8.96,2200.0,19693.0,8.98,-0.02
2020-10-22,15.0,9.05,8.81,9.05,3700.0,33161.0,8.96,0.09
2020-10-28,32.0,9.23,8.95,9.15,25650.0,235508.0,9.05,0.1
2020-10-29,23.0,9.15,8.97,9.0,6600.0,59627.0,9.15,-0.15
2020-11-01,14.0,9.0,8.82,8.92,8000.0,71520.0,9.0,-0.08
2020-11-02,16.0,9.01,8.77,9.01,5800.0,51970.0,8.92,0.09
2020-11-03,37.0,9.25,9.0,9.21,33700.0,306989.0,9.01,0.2
2020-11-04,13.0,9.25,9.15,9.25,4100.0,37535.0,9.21,0.04
2020-11-05,34.0,9.4,9.07,9.1,16300.0,151231.0,9.25,-0.15
2020-11-08,40.0,9.84,9.17,9.8,94500.0,893410.6,9.1,0.7
2020-11-09,27.0,9.71,9.32,9.51,14700.0,140792.0,9.8,-0.29
2020-11-10,15.0,9.57,9.36,9.5,4020.0,38035.4,9.51,-0.01
