Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-09-22,2.0,128.0,128.0,128.0,70992.0,9086976.0,128.0,0.0
2013-09-29,1.0,128.0,128.0,128.0,74000.0,9472000.0,128.0,0.0
2013-10-01,1.0,128.0,128.0,128.0,13891.0,1778048.0,128.0,0.0
2013-10-02,1.0,128.0,128.0,128.0,6945.0,888960.0,128.0,0.0
2015-06-02,2.0,260.0,260.0,260.0,2100.0,546000.0,265.0,-5.0
2015-06-16,1.0,255.0,255.0,255.0,137557.0,35077035.0,260.0,-5.0
2015-07-15,1.0,250.0,250.0,250.0,138607.0,34651750.0,255.0,-5.0
2015-10-08,1.0,245.0,245.0,245.0,324068.0,79396660.0,250.0,-5.0
2015-11-08,1.0,245.0,245.0,245.0,60000.0,14700000.0,245.0,0.0
2016-04-10,1.0,320.0,320.0,320.0,18471.0,5910720.0,326.0,-6.0
2016-09-08,1.0,451.0,451.0,451.0,62000.0,27962000.0,460.0,-9.0
2016-09-12,9.0,445.0,445.0,445.0,61000.0,27145000.0,451.0,-6.0
2016-09-21,1.0,440.0,440.0,440.0,7000.0,3080000.0,445.0,-5.0
2017-02-22,3.0,440.0,440.0,440.0,750.0,330000.0,440.0,0.0
2017-06-13,5.0,265.0,265.0,265.0,250.0,66250.0,270.0,-5.0
2018-02-28,1.0,145.0,145.0,145.0,2280.0,330600.0,143.0,2.0
2019-09-11,1.0,114.0,114.0,114.0,167032.0,19041648.0,116.0,-2.0
2019-09-12,2.0,112.0,112.0,112.0,419717.0,47008304.0,114.0,-2.0
2019-10-23,1.0,112.0,112.0,112.0,2561.0,286832.0,112.0,0.0
2020-10-21,2.0,137.0,137.0,137.0,266431.0,36501047.0,139.0,-2.0
2020-12-31,1.0,137.0,137.0,137.0,3525.0,482925.0,137.0,0.0
2021-06-09,1.0,211.0,211.0,211.0,66968.0,14130248.0,215.0,-4.0
2021-12-09,2.0,163.0,163.0,163.0,30203.0,4923089.0,163.0,0.0
