Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-06-24,2.0,10.2,10.2,10.2,16080.0,164016.0,0.0,10.2
2015-07-07,3.0,10.0,10.0,10.0,15000.0,150000.0,10.2,-0.2
2015-07-08,1.0,10.0,10.0,10.0,5000.0,50000.0,10.0,0.0
2015-07-09,3.0,10.0,10.0,10.0,10000.0,100000.0,10.0,0.0
2015-07-12,4.0,10.1,10.0,10.0,12500.0,125500.0,10.0,0.0
2015-07-13,1.0,10.0,10.0,10.0,5000.0,50000.0,10.0,0.0
2015-07-15,1.0,10.0,10.0,10.0,1000.0,10000.0,10.0,0.0
2015-07-23,1.0,10.2,10.2,10.2,5000.0,51000.0,10.0,0.2
2015-07-29,4.0,10.4,10.2,10.2,8900.0,90860.0,10.2,0.0
2015-07-30,4.0,10.4,10.2,10.3,13716.0,140824.8,10.2,0.1
2015-08-02,3.0,10.3,10.3,10.3,8000.0,82400.0,10.3,0.0
2015-08-05,6.0,10.35,10.2,10.35,28216.0,291285.6,10.3,0.05
2015-08-09,1.0,10.4,10.4,10.4,5000.0,52000.0,10.35,0.05
2015-08-12,1.0,10.4,10.4,10.4,4900.0,50960.0,10.4,0.0
2015-08-13,4.0,10.19,10.19,10.19,2000.0,20380.0,10.4,-0.21
2015-08-31,1.0,10.0,10.0,10.0,2500.0,25000.0,10.19,-0.19
2015-09-01,1.0,10.0,10.0,10.0,500.0,5000.0,10.0,0.0
2015-09-07,7.0,10.3,10.06,10.3,18329.0,185643.2,10.0,0.3
2015-09-08,3.0,10.2,10.2,10.2,2000.0,20400.0,10.3,-0.1
2015-09-10,3.0,10.2,10.2,10.2,5000.0,51000.0,10.2,0.0
2015-09-14,1.0,10.2,10.2,10.2,1000.0,10200.0,10.2,0.0
2015-09-15,1.0,10.2,10.2,10.2,2000.0,20400.0,10.2,0.0
2015-09-22,2.0,10.1,10.1,10.1,5000.0,50500.0,10.2,-0.1
2015-09-29,7.0,10.0,10.0,10.0,27500.0,275000.0,10.1,-0.1
2015-09-30,1.0,10.15,10.15,10.15,500.0,5075.0,10.0,0.15
2015-10-01,7.0,10.0,10.0,10.0,9500.0,95000.0,10.15,-0.15
2015-10-05,1.0,10.0,10.0,10.0,2500.0,25000.0,10.0,0.0
2015-10-15,1.0,9.8,9.8,9.8,4000.0,39200.0,10.0,-0.2
2015-11-01,8.0,10.0,10.0,10.0,40000.0,400000.0,9.8,0.2
2015-11-02,2.0,9.8,9.6,9.6,17480.0,168008.0,10.0,-0.4
2015-11-10,1.0,9.79,9.79,9.79,5000.0,48950.0,9.6,0.19
2015-11-22,8.0,9.9,9.9,9.9,8500.0,84150.0,9.79,0.11
2015-11-25,2.0,9.9,9.9,9.9,6000.0,59400.0,9.9,0.0
2015-12-09,2.0,9.9,9.9,9.9,5000.0,49500.0,9.9,0.0
2015-12-10,2.0,9.95,9.95,9.95,10000.0,99500.0,9.9,0.05
2015-12-13,1.0,9.75,9.75,9.75,5000.0,48750.0,9.95,-0.2
2015-12-14,1.0,9.75,9.75,9.75,3216.0,31356.0,9.75,0.0
2015-12-15,1.0,9.56,9.56,9.56,1000.0,9560.0,9.75,-0.19
2015-12-16,1.0,9.37,9.37,9.37,1100.0,10307.0,9.56,-0.19
2015-12-20,1.0,9.37,9.37,9.37,2020.0,18927.4,9.37,0.0
2015-12-21,5.0,9.59,9.3,9.59,9200.0,86151.0,9.37,0.22
2015-12-24,7.0,9.78,9.78,9.78,7700.0,75306.0,9.59,0.19
2015-12-27,2.0,9.98,9.97,9.98,7020.0,70009.6,9.78,0.2
2015-12-28,4.0,9.9,9.9,9.9,20000.0,198000.0,9.98,-0.08
2015-12-29,1.0,10.0,10.0,10.0,1500.0,15000.0,9.9,0.1
2016-01-03,4.0,9.95,9.94,9.94,8200.0,81518.0,10.0,-0.06
2016-01-04,1.0,9.95,9.95,9.95,3300.0,32835.0,9.94,0.01
2016-01-05,2.0,9.95,9.95,9.95,5600.0,55720.0,9.95,0.0
2016-01-10,4.0,9.96,9.76,9.96,11000.0,108560.0,9.95,0.01
2016-01-13,2.0,9.95,9.95,9.95,2750.0,27362.5,9.96,-0.01
2016-01-14,1.0,10.0,10.0,10.0,500.0,5000.0,9.95,0.05
2016-02-15,1.0,10.2,10.2,10.2,500.0,5100.0,10.0,0.2
2016-02-16,3.0,10.61,10.4,10.61,7000.0,73220.0,10.2,0.41
2016-02-17,2.0,10.9,10.82,10.9,9800.0,106420.0,10.61,0.29
2016-02-18,4.0,11.2,10.95,11.2,38500.0,422900.0,10.9,0.3
