Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-07,4.0,128.0,125.0,125.0,150.0,18950.0,130.0,-5.0
2012-06-10,1.0,123.0,123.0,123.0,44.0,5412.0,125.0,-2.0
2012-06-11,2.0,121.0,119.0,119.0,121.0,14441.0,123.0,-4.0
2012-06-12,1.0,118.0,118.0,118.0,121.0,14278.0,119.0,-1.0
2012-06-13,6.0,124.0,120.0,122.0,915.0,111562.0,118.0,4.0
2012-06-14,3.0,125.0,123.0,125.0,198.0,24579.0,122.0,3.0
2012-06-17,2.0,123.0,123.0,123.0,90.0,11070.0,125.0,-2.0
2012-06-18,4.0,123.0,121.0,123.0,593.0,71909.0,123.0,0.0
2012-06-19,2.0,125.0,123.0,125.0,676.0,83794.0,123.0,2.0
2012-06-20,1.0,123.0,123.0,123.0,446.0,54858.0,125.0,-2.0
2012-07-01,2.0,126.0,125.0,126.0,174.0,21835.0,123.0,3.0
2012-07-02,4.0,126.0,124.0,126.0,479.0,60084.0,126.0,0.0
2012-07-03,1.0,128.0,128.0,128.0,41.0,5248.0,126.0,2.0
2012-07-04,1.0,127.0,127.0,127.0,130.0,16510.0,128.0,-1.0
2012-07-08,3.0,126.0,126.0,126.0,80.0,10080.0,127.0,-1.0
2012-07-10,4.0,132.0,128.0,132.0,182.0,23861.0,126.0,6.0
2012-07-11,1.0,130.0,130.0,130.0,100.0,13000.0,132.0,-2.0
2012-07-12,2.0,132.0,130.0,130.0,1207.0,157536.0,130.0,0.0
2012-07-16,4.0,132.0,130.0,130.0,859.0,112670.0,130.0,0.0
2012-07-17,1.0,132.0,132.0,132.0,284.0,37488.0,130.0,2.0
2012-07-18,4.0,140.0,134.0,140.0,1358.0,187256.0,132.0,8.0
2012-07-19,3.0,142.0,140.0,142.0,207.0,29180.0,140.0,2.0
2012-07-22,8.0,153.0,144.0,153.0,384.0,57052.0,142.0,11.0
2012-07-30,7.0,150.0,141.0,141.0,324.0,46512.0,153.0,-12.0
2012-07-31,1.0,141.0,141.0,141.0,238.0,33558.0,141.0,0.0
2012-08-06,1.0,143.0,143.0,143.0,10.0,1430.0,141.0,2.0
2012-08-08,21.0,157.0,145.0,157.0,1594.0,247001.0,143.0,14.0
2012-08-12,2.0,154.0,151.0,151.0,110.0,16673.0,157.0,-6.0
2012-08-13,7.0,160.0,154.0,160.0,315.0,49140.0,151.0,9.0
2012-08-14,6.0,166.0,157.0,166.0,625.0,98452.0,160.0,6.0
2012-08-15,7.0,163.0,152.0,152.0,154.0,23883.0,166.0,-14.0
2012-08-16,2.0,150.0,149.0,149.0,103.0,15392.0,152.0,-3.0
2012-08-21,3.0,149.0,147.0,149.0,350.0,51608.0,149.0,0.0
2012-08-22,4.0,149.0,148.0,148.0,409.0,60853.0,149.0,-1.0
2012-08-23,4.0,150.0,150.0,150.0,299.0,44850.0,148.0,2.0
2012-08-26,1.0,149.0,149.0,149.0,33.0,4917.0,150.0,-1.0
2012-08-27,10.0,150.0,147.0,148.0,890.0,132089.0,149.0,-1.0
2012-08-28,3.0,151.0,149.0,151.0,222.0,33367.0,148.0,3.0
2012-08-29,1.0,150.0,150.0,150.0,76.0,11400.0,151.0,-1.0
2012-08-30,2.0,154.0,152.0,154.0,94.0,14358.0,150.0,4.0
2012-09-02,3.0,157.0,152.0,157.0,310.0,47650.0,154.0,3.0
2012-09-03,6.0,161.0,154.0,160.0,390.0,62306.0,157.0,3.0
2012-09-04,6.0,163.0,163.0,163.0,561.0,91443.0,160.0,3.0
2012-09-05,1.0,163.0,163.0,163.0,10.0,1630.0,163.0,0.0
2012-09-06,3.0,163.0,161.0,163.0,323.0,52337.0,163.0,0.0
2012-09-10,6.0,160.0,155.0,156.0,791.0,123372.0,163.0,-7.0
2012-09-12,2.0,155.0,153.0,155.0,179.0,27539.0,156.0,-1.0
2012-09-17,4.0,162.0,158.0,162.0,246.0,39093.0,155.0,7.0
2012-09-18,1.0,163.0,163.0,163.0,10.0,1630.0,162.0,1.0
2012-09-19,3.0,165.0,162.0,162.0,177.0,29073.0,163.0,-1.0
2012-09-24,2.0,160.0,160.0,160.0,158.0,25280.0,162.0,-2.0
2012-10-01,1.0,160.0,160.0,160.0,60.0,9600.0,160.0,0.0
2012-10-03,1.0,160.0,160.0,160.0,300.0,48000.0,160.0,0.0
2012-10-04,7.0,161.0,159.0,159.0,385.0,61530.0,160.0,-1.0
2012-10-10,1.0,156.0,156.0,156.0,15.0,2340.0,159.0,-3.0
2012-10-11,2.0,155.0,152.0,152.0,284.0,43435.0,156.0,-4.0
2012-10-14,1.0,155.0,155.0,155.0,45.0,6975.0,152.0,3.0
2012-10-15,1.0,152.0,152.0,152.0,45.0,6840.0,155.0,-3.0
2012-10-18,1.0,155.0,155.0,155.0,45.0,6975.0,152.0,3.0
2012-11-04,5.0,155.0,151.0,151.0,976.0,148315.0,155.0,-4.0
2012-11-07,3.0,155.0,152.0,155.0,274.0,41678.0,151.0,4.0
