Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-07-28,4.0,228.0,227.0,227.0,28542.0,6493305.0,227.5,-0.5
2020-07-27,2.0,266.0,261.0,261.0,112197.0,29294402.0,271.0,-10.0
2020-07-30,1.0,256.0,256.0,256.0,22441.0,5744896.0,261.0,-5.0
2020-11-26,1.0,331.0,331.0,331.0,79050.0,26165550.0,331.0,0.0
2020-11-29,2.0,331.0,331.0,331.0,104724.0,34663644.0,331.0,0.0
2020-11-30,3.0,331.0,331.0,331.0,89185.0,29520235.0,331.0,0.0
2020-12-01,1.0,331.0,331.0,331.0,72709.0,24066679.0,331.0,0.0
2020-12-16,1.0,331.0,331.0,331.0,114843.0,38013033.0,331.0,0.0
2020-12-30,1.0,331.0,331.0,331.0,68916.0,22811196.0,331.0,0.0
2021-01-03,2.0,331.0,331.0,331.0,25906.0,8574886.0,331.0,0.0
2021-01-05,1.0,331.0,331.0,331.0,12460.0,4124260.0,331.0,0.0
2021-01-27,1.0,331.0,331.0,331.0,79050.0,26165550.0,331.0,0.0
2021-03-07,2.0,331.0,331.0,331.0,26355.0,8723505.0,331.0,0.0
