Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-09-20,5.0,117.0,109.0,117.0,50.0,5650.0,107.0,10.0
2012-09-23,9.0,128.0,119.0,128.0,424.0,54022.0,117.0,11.0
2012-09-24,7.0,140.0,130.0,140.0,680.0,91900.0,128.0,12.0
2012-09-25,98.0,154.0,137.0,141.0,23525.0,3307448.0,140.0,1.0
2012-09-26,30.0,141.0,133.0,135.0,7492.0,1017387.0,141.0,-6.0
2012-09-27,20.0,138.0,134.0,138.0,4606.0,624723.0,135.0,3.0
2012-09-30,17.0,138.0,134.0,138.0,6767.0,919211.0,138.0,0.0
2012-10-01,19.0,140.0,137.0,140.0,6043.0,837663.0,138.0,2.0
2012-10-02,4.0,140.0,138.0,140.0,2251.0,313238.0,140.0,0.0
2012-10-03,35.0,144.0,139.0,143.0,8229.0,1166203.0,140.0,3.0
2012-10-04,26.0,144.0,141.0,144.0,6753.0,958642.0,143.0,1.0
2012-10-07,30.0,150.0,143.0,146.0,7385.0,1078568.0,144.0,2.0
2012-10-08,55.0,159.0,145.0,156.0,16611.0,2570245.0,146.0,10.0
2012-10-09,8.0,155.0,153.0,154.0,3600.0,554674.0,156.0,-2.0
2012-10-10,34.0,156.0,149.0,150.0,9473.0,1436174.0,154.0,-4.0
2012-10-11,44.0,155.0,150.0,154.0,13811.0,2106052.0,150.0,4.0
2012-10-14,30.0,166.0,151.0,166.0,11944.0,1868689.0,154.0,12.0
2012-10-15,32.0,170.0,161.0,168.0,10712.0,1776107.0,166.0,2.0
2012-10-17,38.0,183.0,166.0,182.0,9818.0,1711915.0,168.0,14.0
2012-10-18,46.0,192.0,182.0,192.0,13045.0,2425759.0,182.0,10.0
2012-10-30,34.0,204.0,186.0,201.0,9489.0,1852698.0,192.0,9.0
2012-10-31,27.0,208.0,195.0,202.0,8134.0,1630570.0,201.0,1.0
2012-11-01,23.0,202.0,193.0,195.0,6371.0,1249683.0,202.0,-7.0
2012-11-04,38.0,197.0,190.0,195.0,12667.0,2435222.0,195.0,0.0
2012-11-05,34.0,207.0,192.0,195.0,9272.0,1832875.0,195.0,0.0
2012-11-06,9.0,195.0,191.0,192.0,1627.0,314029.0,195.0,-3.0
2012-11-07,34.0,197.0,190.0,193.0,10139.0,1941002.0,192.0,1.0
2012-11-08,43.0,205.0,188.0,196.0,16030.0,3100761.0,193.0,3.0
2012-11-11,25.0,198.0,186.0,189.0,6706.0,1296810.0,196.0,-7.0
2012-11-12,56.0,199.0,185.0,199.0,14935.0,2851465.0,189.0,10.0
2012-11-18,36.0,202.0,190.0,195.0,15326.0,2990283.0,199.0,-4.0
2012-11-20,55.0,205.0,193.0,195.0,14402.0,2846887.0,195.0,0.0
2012-11-21,26.0,201.0,190.0,194.0,10222.0,1986398.0,195.0,-1.0
2012-11-22,12.0,194.0,190.0,193.0,3370.0,645997.0,194.0,-1.0
2012-11-25,34.0,202.0,191.0,197.0,12425.0,2431023.0,193.0,4.0
2012-11-26,29.0,199.0,186.0,195.0,6582.0,1257786.0,197.0,-2.0
2012-11-27,29.0,197.0,190.0,195.0,6415.0,1238028.0,195.0,0.0
2012-11-28,21.0,197.0,190.0,194.0,7881.0,1508437.0,195.0,-1.0
2012-11-29,23.0,197.0,186.0,190.0,4349.0,826060.0,194.0,-4.0
2012-12-02,9.0,193.0,188.0,190.0,2423.0,461456.0,190.0,0.0
2012-12-03,5.0,196.0,188.0,188.0,521.0,100189.0,190.0,-2.0
2012-12-04,45.0,194.0,186.0,191.0,14709.0,2788896.0,188.0,3.0
2012-12-05,55.0,200.0,191.0,199.0,16471.0,3214435.0,191.0,8.0
2012-12-06,37.0,197.0,190.0,192.0,12374.0,2388314.0,199.0,-7.0
2012-12-09,15.0,192.0,189.0,190.0,4503.0,856308.0,192.0,-2.0
2012-12-10,14.0,193.0,185.0,192.0,2402.0,457275.0,190.0,2.0
2012-12-11,11.0,193.0,190.0,191.0,2159.0,411363.0,192.0,-1.0
2012-12-12,13.0,197.0,191.0,193.0,5226.0,1008723.0,191.0,2.0
2012-12-13,13.0,197.0,194.0,194.0,3927.0,765581.0,193.0,1.0
2012-12-16,26.0,203.0,194.0,199.0,7142.0,1412150.0,194.0,5.0
2012-12-17,39.0,206.0,197.0,201.0,22260.0,4446370.0,199.0,2.0
2012-12-18,16.0,198.0,193.0,198.0,5219.0,1014522.0,201.0,-3.0
2012-12-19,51.0,200.0,196.0,200.0,14291.0,2834891.0,198.0,2.0
2012-12-20,91.0,220.0,196.0,220.0,74290.0,15139935.0,200.0,20.0
2012-12-23,110.0,242.0,224.0,242.0,38587.0,9249997.0,220.0,22.0
2012-12-24,151.0,264.0,246.0,254.0,51895.0,13346685.0,242.0,12.0
2012-12-26,81.0,260.0,236.0,246.0,28397.0,7029229.0,254.0,-8.0
2012-12-27,67.0,246.0,239.0,240.0,18373.0,4460804.0,246.0,-6.0
2012-12-31,47.0,239.0,224.0,233.0,16759.0,3868898.0,240.0,-7.0
2013-01-01,49.0,235.0,225.0,230.0,12473.0,2860005.0,233.0,-3.0
2013-01-02,31.0,234.0,220.0,228.0,11972.0,2670162.0,230.0,-2.0
2013-01-03,35.0,236.0,230.0,231.0,7399.0,1715248.0,228.0,3.0
2013-01-07,30.0,235.0,222.0,226.0,11976.0,2682016.0,239.0,-13.0
2013-01-08,24.0,225.0,220.0,220.0,10191.0,2254692.0,226.0,-6.0
2013-01-09,34.0,228.0,220.0,224.0,12510.0,2794373.0,220.0,4.0
2013-01-10,19.0,223.0,219.0,219.0,8641.0,1907031.0,224.0,-5.0
2013-01-13,24.0,232.0,218.0,227.0,6180.0,1393514.0,219.0,8.0
2013-01-15,78.0,243.0,231.0,238.0,26316.0,6251088.0,227.0,11.0
2013-01-16,38.0,241.0,235.0,239.0,11977.0,2849559.0,238.0,1.0
2013-01-17,29.0,236.0,232.0,232.0,8790.0,2052904.0,239.0,-7.0
2013-01-20,28.0,228.0,219.0,223.0,8339.0,1842696.0,232.0,-9.0
2013-01-21,30.0,235.0,227.0,232.0,7955.0,1823257.0,223.0,9.0
2013-01-22,18.0,231.0,227.0,229.0,6577.0,1502755.0,232.0,-3.0
2013-01-23,32.0,234.0,225.0,228.0,9579.0,2182089.0,229.0,-1.0
2013-01-24,21.0,228.0,224.0,225.0,4052.0,909785.0,228.0,-3.0
2013-01-27,11.0,226.0,221.0,222.0,4591.0,1020273.0,225.0,-3.0
2013-01-28,14.0,226.0,222.0,226.0,2460.0,551427.0,222.0,4.0
2013-01-30,18.0,226.0,223.0,226.0,17956.0,4038865.0,226.0,0.0
