Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-04-26,11.0,1050.0,1000.0,1050.0,1325.0,1376850.0,0.0,1050.0
2021-04-27,4.0,1047.0,1046.0,1047.0,125.0,130800.0,1050.0,-3.0
2021-04-28,5.0,1047.0,1046.0,1046.0,150.0,156950.0,1047.0,-1.0
2021-05-02,5.0,1066.0,1045.0,1045.0,115.0,122065.0,1046.0,-1.0
2021-05-03,3.0,1046.0,1046.0,1046.0,60.0,62760.0,1045.0,1.0
2021-05-04,3.0,1048.0,1030.0,1048.0,75.0,77850.0,1046.0,2.0
2021-05-05,1.0,1050.0,1050.0,1050.0,25.0,26250.0,1048.0,2.0
2021-05-09,1.0,1052.0,1052.0,1052.0,25.0,26300.0,1050.0,2.0
2021-05-10,1.0,1052.0,1052.0,1052.0,25.0,26300.0,1052.0,0.0
2021-05-13,2.0,1073.0,1065.0,1073.0,50.0,53450.0,1052.0,21.0
2021-05-16,1.0,1052.0,1052.0,1052.0,100.0,105200.0,1073.0,-21.0
2021-05-18,2.0,1060.0,1060.0,1060.0,50.0,53000.0,1052.0,8.0
2021-05-23,2.0,1060.0,1055.0,1055.0,100.0,105750.0,1060.0,-5.0
2021-05-24,1.0,1055.0,1055.0,1055.0,50.0,52750.0,1055.0,0.0
2021-05-30,3.0,1065.0,1060.0,1060.0,175.0,185825.0,1055.0,5.0
2021-06-07,1.0,1058.0,1058.0,1058.0,25.0,26450.0,1060.0,-2.0
2021-06-08,3.0,1065.0,1065.0,1065.0,525.0,559125.0,1058.0,7.0
2021-06-09,1.0,1061.0,1061.0,1061.0,100.0,106100.0,1065.0,-4.0
2021-06-10,1.0,1061.0,1061.0,1061.0,25.0,26525.0,1061.0,0.0
2021-06-20,2.0,1082.0,1071.0,1082.0,75.0,80600.0,1061.0,21.0
2021-06-22,3.0,1085.0,1082.0,1085.0,225.0,243525.0,1082.0,3.0
2021-06-23,1.0,1095.0,1095.0,1095.0,240.0,262800.0,1085.0,10.0
2021-06-27,1.0,1116.0,1116.0,1116.0,820.0,915120.0,1095.0,21.0
2021-07-01,1.0,1116.0,1116.0,1116.0,10.0,11160.0,1116.0,0.0
2021-07-04,4.0,1094.0,1056.0,1056.0,75.0,79835.0,1116.0,-60.0
2021-07-07,1.0,1077.0,1077.0,1077.0,10.0,10770.0,1056.0,21.0
2021-07-15,2.0,1119.0,1098.0,1119.0,20.0,22170.0,1077.0,42.0
2021-08-09,5.0,1097.0,1075.1,1075.1,200.0,216221.3,1119.0,-43.9
2021-09-26,2.0,1076.0,1076.0,1076.0,75.0,80700.0,1075.1,0.9
2021-11-15,2.0,1055.0,1055.0,1055.0,50.0,52750.0,1076.0,-21.0
2021-11-24,2.0,1055.0,1054.0,1055.0,55.0,57995.0,1055.0,0.0
2021-12-13,1.0,1034.0,1034.0,1034.0,10.0,10340.0,1055.0,-21.0
2021-12-15,1.0,1020.0,1020.0,1020.0,65.0,66300.0,1034.0,-14.0
2022-01-02,1.0,1040.0,1040.0,1040.0,25.0,26000.0,1020.0,20.0
2022-01-04,2.0,1040.0,1040.0,1040.0,50.0,52000.0,1040.0,0.0
2022-01-06,1.0,1021.0,1021.0,1021.0,25.0,25525.0,1040.0,-19.0
2022-01-13,1.0,1025.0,1025.0,1025.0,30.0,30750.0,1021.0,4.0
2022-01-16,1.0,1004.5,1004.5,1004.5,25.0,25112.5,1025.0,-20.5
2022-01-23,1.0,1000.0,1000.0,1000.0,100.0,100000.0,1004.5,-4.5
2022-03-16,1.0,980.0,980.0,980.0,300.0,294000.0,1000.0,-20.0
2022-04-12,2.0,960.4,941.4,941.4,100.0,95565.0,980.0,-38.6
2022-04-18,1.0,943.5,943.5,943.5,25.0,23587.5,941.4,2.1
2022-07-04,1.0,962.3,962.3,962.3,20.0,19246.0,943.5,18.8
