Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-11,13.0,145.0,133.0,133.0,660.0,88620.0,147.0,-14.0
2012-06-12,18.0,131.0,120.0,120.0,970.0,117740.0,133.0,-13.0
2012-06-13,22.0,120.0,118.0,120.0,1090.0,129670.0,120.0,0.0
2012-06-14,13.0,118.0,115.0,116.0,460.0,53400.0,120.0,-4.0
2012-06-17,5.0,118.0,115.0,115.0,260.0,30100.0,116.0,-1.0
2012-06-18,9.0,120.0,114.0,120.0,420.0,48700.0,115.0,5.0
2012-06-19,4.0,121.0,120.0,121.0,210.0,25260.0,120.0,1.0
2012-06-20,3.0,120.0,120.0,120.0,180.0,21600.0,121.0,-1.0
2012-06-21,1.0,118.0,118.0,118.0,60.0,7080.0,120.0,-2.0
2012-06-25,2.0,118.0,116.0,116.0,60.0,7000.0,118.0,-2.0
2012-06-26,1.0,117.0,117.0,117.0,40.0,4680.0,116.0,1.0
2012-06-27,5.0,119.0,115.0,119.0,100.0,11620.0,117.0,2.0
2012-06-28,2.0,121.0,120.0,120.0,60.0,7230.0,119.0,1.0
2012-07-01,3.0,120.0,118.0,120.0,280.0,33080.0,120.0,0.0
2012-07-02,2.0,118.0,118.0,118.0,80.0,9440.0,120.0,-2.0
2012-07-03,9.0,120.0,118.0,118.0,260.0,30840.0,118.0,0.0
2012-07-05,3.0,122.0,120.0,122.0,30.0,3620.0,118.0,4.0
2012-07-09,2.0,122.0,120.0,122.0,160.0,19480.0,122.0,0.0
2012-07-10,4.0,122.0,120.0,120.0,160.0,19440.0,122.0,-2.0
2012-07-12,12.0,123.0,119.0,119.0,320.0,38720.0,120.0,-1.0
2012-07-15,1.0,117.0,117.0,117.0,20.0,2340.0,119.0,-2.0
2012-07-16,4.0,117.0,116.0,117.0,120.0,14020.0,117.0,0.0
2012-07-17,2.0,116.0,116.0,116.0,30.0,3480.0,117.0,-1.0
