Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-09-08,490.0,188.0,178.0,181.0,44339.0,8061987.0,0.0,181.0
2013-09-09,626.0,183.0,175.0,181.0,63530.0,11463333.0,181.0,0.0
2013-09-10,612.0,182.0,179.0,181.0,35018.0,6313429.0,181.0,0.0
2013-09-11,706.0,181.0,179.0,180.0,39660.0,7141354.0,181.0,-1.0
2013-09-12,400.0,183.0,179.0,182.0,31083.0,5602536.0,180.0,2.0
2013-09-15,417.0,182.0,180.0,181.0,23167.0,4199434.0,182.0,-1.0
2013-09-16,343.0,182.0,179.0,180.0,29516.0,5330273.0,181.0,-1.0
2013-09-17,356.0,181.0,177.0,179.0,18344.0,3299788.0,180.0,-1.0
2013-09-19,297.0,180.0,176.0,178.0,16703.0,2973813.0,179.0,-1.0
2013-09-22,375.0,178.0,170.0,172.0,25713.0,4482759.0,178.0,-6.0
2013-09-23,250.0,174.0,171.0,173.0,14340.0,2480650.0,172.0,1.0
2013-09-24,315.0,179.0,172.0,176.0,13037.0,2271889.0,173.0,3.0
2013-09-25,230.0,179.0,175.0,178.0,11867.0,2100822.0,176.0,2.0
2013-09-26,317.0,179.0,175.0,177.0,16191.0,2862251.0,178.0,-1.0
2013-09-29,306.0,178.0,176.0,177.0,14539.0,2571542.0,177.0,0.0
2013-09-30,267.0,179.0,176.0,176.0,11224.0,1987407.0,177.0,-1.0
2013-10-01,315.0,177.0,174.0,177.0,13501.0,2378186.0,176.0,1.0
2013-10-02,266.0,178.0,175.0,177.0,22389.0,3949048.0,177.0,0.0
2013-10-03,219.0,177.0,173.0,176.0,12343.0,2170516.0,177.0,-1.0
2013-10-06,254.0,179.0,175.0,178.0,31043.0,5533089.0,176.0,2.0
2013-10-07,366.0,180.0,177.0,180.0,23385.0,4201516.0,178.0,2.0
2013-10-08,294.0,180.0,178.0,180.0,12717.0,2281923.0,180.0,0.0
2013-10-09,196.0,184.0,180.0,183.0,9847.0,1792258.0,180.0,3.0
2013-10-10,167.0,186.0,180.0,182.0,12824.0,2338824.0,183.0,-1.0
2013-10-17,195.0,188.0,180.0,185.0,7117.0,1310440.0,182.0,3.0
2013-10-20,210.0,199.0,184.0,195.0,15767.0,3066236.0,185.0,10.0
2013-10-21,483.0,209.0,195.0,204.0,42569.0,8627105.0,195.0,9.0
2013-10-22,428.0,204.0,199.0,202.0,28193.0,5686079.0,204.0,-2.0
2013-10-23,287.0,204.0,200.0,203.0,29883.0,6015186.0,202.0,1.0
2013-10-24,296.0,204.0,200.0,201.0,32429.0,6526015.0,203.0,-2.0
2013-10-27,285.0,201.0,198.0,200.0,18437.0,3679833.0,201.0,-1.0
2013-10-28,341.0,204.0,198.0,204.0,22167.0,4421321.0,200.0,4.0
2013-10-29,358.0,204.0,198.0,200.0,23127.0,4612110.0,204.0,-4.0
2013-10-30,249.0,206.0,198.0,204.0,17704.0,3538286.0,200.0,4.0
2013-10-31,202.0,205.0,200.0,202.0,31586.0,6377446.0,204.0,-2.0
2013-11-06,101.0,202.0,199.0,201.0,9339.0,1874412.0,202.0,-1.0
2013-11-07,339.0,221.0,202.0,218.0,23282.0,5020286.0,201.0,17.0
2013-11-10,239.0,239.0,218.0,235.0,27899.0,6434876.0,218.0,17.0
2013-11-11,441.0,251.0,234.0,251.0,47417.0,11499880.0,235.0,16.0
2013-11-12,297.0,270.0,252.0,260.0,39464.0,10306401.0,251.0,9.0
2013-11-13,274.0,265.0,250.0,261.0,28781.0,7503621.0,260.0,1.0
2013-11-14,428.0,260.0,250.0,259.0,65668.0,16785784.0,261.0,-2.0
2013-11-21,16.0,274.0,264.0,274.0,1437.0,379848.0,259.0,15.0
