Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-04-17,90.0,108.0,100.0,101.0,2980.0,310380.0,100.0,1.0
2019-04-18,46.0,99.0,95.0,95.0,1490.0,142080.0,101.0,-6.0
2019-04-21,15.0,96.0,93.0,96.0,420.0,39770.0,95.0,1.0
2019-04-22,19.0,96.0,91.0,91.0,619.0,57778.0,96.0,-5.0
2019-04-23,17.0,92.0,90.0,90.0,500.0,45500.0,91.0,-1.0
2019-04-24,20.0,89.0,85.0,87.0,620.0,54000.0,90.0,-3.0
2019-04-25,15.0,87.0,85.0,87.0,521.0,44906.0,87.0,0.0
2019-04-28,13.0,89.0,86.0,89.0,380.0,33380.0,87.0,2.0
2019-04-29,6.0,90.0,89.0,89.0,190.0,16980.0,89.0,0.0
2019-04-30,14.0,90.0,87.0,89.0,440.0,39020.0,89.0,0.0
2019-05-02,11.0,92.0,88.0,92.0,330.0,30020.0,89.0,3.0
2019-05-05,3.0,91.0,91.0,91.0,60.0,5460.0,92.0,-1.0
2019-05-06,23.0,92.0,90.0,91.0,655.0,59910.0,91.0,0.0
2019-05-07,15.0,92.0,91.0,91.0,490.0,44690.0,91.0,0.0
2019-05-08,23.0,92.0,90.0,91.0,830.0,75690.0,91.0,0.0
2019-05-09,8.0,92.0,89.0,92.0,240.0,21700.0,91.0,1.0
2019-05-12,8.0,91.0,88.0,88.0,200.0,17890.0,92.0,-4.0
2019-05-13,24.0,93.0,89.0,93.0,730.0,65870.0,88.0,5.0
2019-05-14,12.0,94.0,90.0,90.0,300.0,27560.0,93.0,-3.0
2019-05-15,18.0,89.0,86.0,89.0,550.0,48560.0,90.0,-1.0
2019-05-16,11.0,92.0,90.0,92.0,360.0,32660.0,89.0,3.0
2019-05-19,24.0,94.0,88.0,94.0,660.0,60860.0,92.0,2.0
2019-05-20,36.0,98.0,92.0,97.0,1540.0,146380.0,94.0,3.0
2019-05-21,37.0,100.0,96.0,99.0,1270.0,124620.0,97.0,2.0
2019-05-22,135.0,108.0,100.0,104.0,18720.0,2013140.0,99.0,5.0
2019-05-23,68.0,109.0,97.0,99.0,5440.0,555350.0,104.0,-5.0
2019-05-26,69.0,105.0,100.0,102.0,5630.0,574920.0,99.0,3.0
2019-05-27,35.0,107.0,99.0,105.0,1040.0,104560.0,102.0,3.0
2019-05-28,16.0,102.0,98.0,98.0,2200.0,216430.0,105.0,-7.0
2019-05-29,132.0,107.0,99.0,105.0,7770.0,817510.0,98.0,7.0
2019-05-30,104.0,113.0,104.0,104.0,4820.0,518950.0,105.0,-1.0
2019-06-02,24.0,112.0,102.0,110.0,790.0,83530.0,104.0,6.0
2019-06-03,26.0,108.0,102.0,104.0,1850.0,195990.0,110.0,-6.0
2019-06-04,47.0,104.0,101.0,104.0,1510.0,153900.0,104.0,0.0
2019-06-06,33.0,103.0,100.0,100.0,2140.0,217520.0,104.0,-4.0
2019-06-10,29.0,103.0,100.0,100.0,860.0,86770.0,100.0,0.0
2019-06-11,118.0,108.0,101.0,107.0,5228.0,551246.0,100.0,7.0
2019-06-12,43.0,107.0,104.0,104.0,1310.0,137420.0,107.0,-3.0
2019-06-13,45.0,108.0,102.0,103.0,2250.0,236560.0,104.0,-1.0
2019-06-16,35.0,105.0,100.0,100.0,4750.0,479340.0,103.0,-3.0
2019-06-17,13.0,102.0,101.0,101.0,1000.0,101770.0,100.0,1.0
2019-06-18,67.0,107.0,101.0,105.0,3310.0,345210.0,101.0,4.0
2019-06-19,53.0,107.0,103.0,106.0,3290.0,346550.0,105.0,1.0
2019-06-20,30.0,109.0,102.0,107.0,2080.0,222040.0,106.0,1.0
2019-06-23,19.0,109.0,105.0,105.0,4250.0,452130.0,107.0,-2.0
2019-06-24,23.0,107.0,104.0,104.0,730.0,76600.0,105.0,-1.0
