Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-09-22,1.0,186.5,186.5,186.5,10.0,1865.0,0.0,0.0
2021-09-23,7.0,194.0,186.5,194.0,43.0,8184.4,186.5,7.5
2021-09-26,5.0,205.7,197.8,205.7,40.0,8033.0,194.0,11.7
2021-09-27,7.0,226.2,209.8,226.2,70.0,15428.0,205.7,20.5
2021-09-28,7.0,248.8,226.2,248.8,61.0,14501.8,226.2,22.6
2021-09-29,6.0,269.0,253.7,269.0,50.0,12993.7,248.8,20.2
2021-09-30,8.0,295.9,274.3,295.9,80.0,23137.0,269.0,26.9
2021-10-03,24.0,325.4,301.8,325.4,237.0,76497.1,295.9,29.5
2021-10-04,98.0,357.9,325.4,357.9,1960.0,684137.0,325.4,32.5
2021-10-05,49.0,393.6,365.0,393.6,490.0,192162.0,357.9,35.7
2021-10-06,302.0,432.9,401.4,432.9,9919.0,4291135.1,393.6,39.3
2021-10-10,1393.0,476.1,399.7,476.1,19643.0,8682853.4,432.9,43.2
2021-10-11,620.0,500.0,440.0,460.0,12360.0,5716882.0,476.1,-16.1
2021-10-17,391.0,470.0,421.0,444.0,4210.0,1868883.0,460.0,-16.0
2021-10-18,344.0,444.0,405.0,417.5,4363.0,1837982.9,444.0,-26.5
2021-10-19,267.0,417.5,380.0,384.0,6370.0,2496810.9,417.5,-33.5
2021-10-20,179.0,422.4,384.0,422.4,2071.0,838446.4,384.0,38.4
2021-10-21,190.0,430.0,402.0,411.1,2307.0,957372.2,422.4,-11.3
2021-10-24,248.0,424.0,388.0,411.0,3868.0,1600156.0,411.1,-0.1
2021-10-25,282.0,452.0,404.1,426.0,5561.0,2375063.0,411.0,15.0
2021-10-26,276.0,468.6,434.0,465.0,10535.0,4740218.4,426.0,39.0
2021-10-27,316.0,499.8,447.0,478.0,8020.0,3846097.5,465.0,13.0
2021-10-28,292.0,499.8,452.0,499.0,5225.0,2507073.0,478.0,21.0
2021-10-31,370.0,541.2,466.0,510.0,9397.0,4682867.8,499.0,11.0
2021-11-01,174.0,517.0,490.0,490.0,5305.0,2627338.0,510.0,-20.0
2021-11-02,161.0,498.0,470.0,490.0,4051.0,1951322.0,490.0,0.0
2021-11-03,135.0,499.0,472.1,484.0,5963.0,2892001.2,490.0,-6.0
2021-11-08,198.0,500.0,472.0,481.0,4543.0,2212259.5,484.0,-3.0
2021-11-09,267.0,477.0,456.2,470.0,6167.0,2870880.0,481.0,-11.0
2021-11-11,196.0,460.6,442.0,450.0,3812.0,1702212.0,470.0,-20.0
2021-11-14,222.0,459.0,416.0,437.0,2889.0,1263337.7,450.0,-13.0
2021-11-15,321.0,479.9,429.0,479.0,10219.0,4668644.0,437.0,42.0
