Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-10-06,16.0,397.5,397.5,397.5,90.0,35621.9,0.0,0.0
2021-10-10,3.0,403.2,403.2,403.2,20.0,8030.6,397.5,5.7
2021-10-17,3.0,411.2,403.2,411.2,20.0,8224.0,403.2,8.0
2021-10-19,2.0,427.7,419.4,427.7,20.0,8471.0,411.2,16.5
2021-10-24,4.0,462.7,436.2,462.7,40.0,17975.0,427.7,35.0
2021-10-25,1.0,471.9,471.9,471.9,10.0,4719.0,462.7,9.2
2021-10-26,2.0,490.9,481.3,490.9,20.0,9722.0,471.9,19.0
2021-10-27,3.0,520.9,500.7,520.9,30.0,15323.0,490.9,30.0
2021-10-28,10.0,552.7,520.9,552.7,53.0,28328.2,520.9,31.8
2021-10-31,5.0,598.0,563.7,598.0,41.0,23814.9,552.7,45.3
2021-11-01,9.0,657.8,609.9,657.8,71.0,45275.2,598.0,59.8
2021-11-02,3.0,657.8,657.8,657.8,6.0,3900.4,657.8,0.0
2021-11-03,3.0,697.9,670.9,697.9,30.0,20531.0,657.8,40.1
2021-11-08,9.0,767.6,711.8,767.6,79.0,59010.6,697.9,69.7
2021-11-09,6.0,844.3,782.9,844.3,60.0,49150.0,767.6,76.7
2021-11-11,7.0,928.7,861.1,928.7,60.0,53733.0,844.3,84.4
2021-11-14,11.0,1021.5,947.2,1021.5,100.0,100141.0,928.7,92.8
2021-11-15,6.0,1123.6,1041.9,1123.6,60.0,65412.0,1021.5,102.1
2021-11-16,5.0,1235.9,1146.0,1235.9,50.0,59590.0,1123.6,112.3
2021-11-17,15.0,1359.4,1260.6,1359.4,101.0,133741.9,1235.9,123.5
2021-11-18,23.0,1495.3,1386.5,1495.3,189.0,278121.5,1359.4,135.9
2021-11-21,37.0,1644.8,1525.2,1644.8,370.0,605646.0,1495.3,149.5
2021-11-22,90.0,1809.2,1677.0,1809.2,900.0,1625029.0,1644.8,164.4
2021-11-23,134.0,1990.1,1845.3,1990.1,1310.0,2603479.0,1809.2,180.9
2021-11-24,2116.0,2189.1,1985.0,1999.0,26187.0,54303912.6,1990.1,8.9
2021-11-25,952.0,2005.0,1851.0,1860.5,10621.0,19921909.0,1999.0,-138.5
2021-11-28,607.0,1823.3,1675.0,1710.0,11732.0,20296226.4,1860.5,-150.5
