Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-12-08,4.0,327.0,309.0,327.0,40.0,12720.0,0.0,327.0
2015-12-09,4.0,351.0,333.0,351.0,40.0,13680.0,327.0,24.0
2015-12-15,5.0,386.0,358.0,386.0,240.0,87950.0,351.0,35.0
2015-12-21,6.0,424.0,393.0,424.0,120.0,49300.0,386.0,38.0
2015-12-24,6.0,466.0,432.0,466.0,60.0,27070.0,424.0,42.0
2015-12-29,55.0,512.0,475.0,512.0,1060.0,541490.0,466.0,46.0
2016-01-04,4.0,552.0,522.0,552.0,40.0,21480.0,512.0,40.0
2016-01-05,6.0,607.0,579.0,607.0,60.0,35910.0,552.0,55.0
2016-01-06,8.0,667.0,637.0,667.0,100.0,65380.0,607.0,60.0
2016-01-07,7.0,733.0,700.0,733.0,130.0,92830.0,667.0,66.0
2016-01-10,17.0,761.0,747.0,761.0,170.0,127130.0,733.0,28.0
2016-01-11,12.0,837.0,776.0,837.0,120.0,98910.0,761.0,76.0
2016-01-12,17.0,920.0,853.0,920.0,240.0,219140.0,837.0,83.0
2016-01-13,100.0,1012.0,966.0,1012.0,1107.0,1114874.0,920.0,92.0
2016-01-14,483.0,1113.0,1032.0,1113.0,7097.0,7896551.0,1012.0,101.0
2016-03-23,1.0,1168.0,1168.0,1168.0,10.0,11680.0,1113.0,55.0
2016-03-24,1.0,1226.0,1226.0,1226.0,10.0,12260.0,1168.0,58.0
2016-03-27,3.0,1338.0,1287.0,1338.0,30.0,39370.0,1226.0,112.0
2016-03-28,13.0,1471.0,1404.0,1471.0,177.0,259197.0,1338.0,133.0
2016-03-29,103.0,1618.0,1500.0,1618.0,2430.0,3928830.0,1471.0,147.0
2016-03-30,100.0,1779.0,1650.0,1779.0,2860.0,5081398.0,1618.0,161.0
2016-03-31,339.0,1924.0,1750.0,1802.0,7776.0,14439684.0,1779.0,23.0
2016-04-03,179.0,1766.0,1622.0,1622.0,2720.0,4427620.0,1802.0,-180.0
2016-04-04,152.0,1660.0,1550.0,1600.0,2459.0,3956850.0,1622.0,-22.0
2016-04-05,111.0,1600.0,1545.0,1572.0,1610.0,2537560.0,1600.0,-28.0
2016-04-06,70.0,1602.0,1570.0,1576.0,1312.0,2080804.0,1572.0,4.0
2016-04-10,43.0,1600.0,1565.0,1600.0,680.0,1076930.0,1576.0,24.0
2016-04-11,5.0,1575.0,1570.0,1570.0,60.0,94250.0,1600.0,-30.0
2016-04-12,47.0,1600.0,1562.0,1563.0,640.0,1002400.0,1570.0,-7.0
