Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-10-11,4.0,100.0,100.0,100.0,1093616.0,109361600.0,100.0,0.0
2012-11-11,6.0,90.0,70.0,70.0,261142.0,19420560.0,100.0,-30.0
2013-01-17,3.0,98.0,98.0,98.0,133812.0,13113576.0,70.0,28.0
2013-02-20,2.0,97.0,90.0,90.0,221384.0,21353337.0,98.0,-8.0
2013-03-05,2.0,97.0,97.0,97.0,10066.0,976402.0,90.0,7.0
2013-06-18,1.0,96.0,96.0,96.0,97729.0,9381984.0,97.0,-1.0
2013-07-07,1.0,95.0,95.0,95.0,236717.0,22488115.0,96.0,-1.0
2013-08-15,1.0,95.0,95.0,95.0,38333.0,3641635.0,95.0,0.0
2013-09-15,1.0,94.0,94.0,94.0,10028.0,942632.0,95.0,-1.0
2013-12-09,2.0,92.0,92.0,92.0,32778.0,3015576.0,94.0,-2.0
2014-08-31,1.0,92.0,92.0,92.0,65809.0,6054428.0,92.0,0.0
2014-09-28,3.0,98.0,96.0,98.0,37040.0,3615160.0,92.0,6.0
2014-10-13,1.0,99.0,99.0,99.0,3061.0,303039.0,98.0,1.0
2014-10-14,1.0,99.0,99.0,99.0,25341.0,2508759.0,99.0,0.0
2014-10-28,1.0,100.0,100.0,100.0,3061.0,306100.0,99.0,1.0
2014-11-02,1.0,102.0,102.0,102.0,25341.0,2584782.0,100.0,2.0
2014-11-03,1.0,104.0,104.0,104.0,8615.0,895960.0,102.0,2.0
2015-07-13,1.0,282.0,282.0,282.0,2223.0,626886.0,282.0,0.0
2015-08-16,2.0,0.0,0.0,0.0,700.0,74500.0,282.0,0.0
2015-09-10,2.0,0.0,0.0,0.0,191828.0,19682005.0,282.0,0.0
2015-09-15,2.0,287.0,287.0,287.0,38106.0,10936422.0,282.0,5.0
2016-07-27,1.0,0.0,0.0,0.0,46090.0,4885540.0,287.0,0.0
2016-10-03,3.0,0.0,0.0,0.0,29124.0,8154720.0,287.0,0.0
2016-12-12,1.0,285.0,285.0,285.0,260.0,74100.0,287.0,-2.0
2017-03-19,1.0,285.0,285.0,285.0,13151.0,3748035.0,285.0,0.0
2017-10-11,1.0,285.0,285.0,285.0,49729.0,14172765.0,285.0,0.0
2018-10-03,3.0,0.0,0.0,0.0,5051.0,1267801.0,285.0,0.0
2018-10-24,1.0,130.0,130.0,130.0,10246.0,1331980.0,130.0,0.0
2018-11-04,4.0,130.0,130.0,130.0,1274186.0,165644180.0,130.0,0.0
2018-12-06,4.0,130.0,130.0,130.0,128881.0,16754530.0,130.0,0.0
2018-12-13,4.0,130.0,130.0,130.0,156701.0,20371130.0,130.0,0.0
2018-12-16,1.0,130.0,130.0,130.0,6085.0,791050.0,130.0,0.0
2018-12-17,1.0,130.0,130.0,130.0,21373.0,1581602.0,130.0,-56.0
2019-01-16,3.0,130.0,130.0,130.0,299966.0,34076137.6,130.0,0.0
2019-02-03,7.0,130.0,130.0,130.0,522055.0,59305448.0,130.0,0.0
2019-03-14,1.0,130.0,130.0,130.0,6505.0,845650.0,130.0,0.0
2019-06-12,1.0,148.0,148.0,148.0,5211.0,771228.0,146.0,2.0
2019-06-25,1.0,148.0,148.0,148.0,10077.0,1491396.0,148.0,0.0
2020-09-09,1.0,148.0,148.0,120.0,32578.0,3909360.0,148.0,-28.0
2021-02-18,1.0,120.0,120.0,120.0,20000.0,2400000.0,120.0,0.0
2021-04-21,4.0,250.0,250.0,250.0,2561.0,640250.0,250.0,0.0
2021-08-01,1.0,250.0,250.0,250.0,288726.0,72181500.0,250.0,0.0
2022-04-24,2.0,151.0,151.0,151.0,5451.0,823101.0,151.0,0.0
