Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,1.0,164.0,164.0,164.0,1142.0,187288.0,164.0,0.0
2012-09-04,1.0,161.0,161.0,161.0,300.0,48300.0,164.0,-3.0
2012-12-06,1.0,161.0,161.0,161.0,50.0,8050.0,161.0,0.0
2013-03-13,1.0,161.0,161.0,161.0,596.0,95956.0,161.0,0.0
2013-03-24,1.0,164.0,164.0,164.0,200.0,32800.0,161.0,3.0
2013-04-03,1.0,165.0,165.0,165.0,431.0,71115.0,164.0,1.0
2013-04-04,1.0,162.0,162.0,162.0,10000.0,1620000.0,165.0,-3.0
2013-05-05,1.0,165.0,165.0,165.0,804.0,132660.0,162.0,3.0
2013-05-20,1.0,168.0,168.0,168.0,200.0,33600.0,165.0,3.0
2013-05-21,6.0,171.0,160.0,160.0,10722.0,1829564.0,168.0,-8.0
2013-05-22,2.0,163.0,160.0,160.0,2417.0,393458.0,160.0,0.0
2013-06-25,2.0,163.0,160.0,160.0,28473.0,4556691.0,160.0,0.0
2013-06-27,1.0,163.0,163.0,163.0,192.0,31296.0,160.0,3.0
2013-06-30,1.0,166.0,166.0,166.0,804.0,133464.0,163.0,3.0
2013-09-02,2.0,166.0,166.0,166.0,1897.0,314902.0,166.0,0.0
2013-09-08,1.0,163.0,163.0,163.0,346.0,56398.0,166.0,-3.0
2014-01-05,3.0,166.0,162.0,166.0,795.0,129267.0,163.0,3.0
2014-01-07,1.0,165.0,165.0,165.0,28.0,4620.0,166.0,-1.0
2014-01-13,1.0,168.0,168.0,168.0,335.0,56280.0,165.0,3.0
2014-01-14,5.0,180.0,171.0,180.0,1321.0,230583.0,168.0,12.0
2014-01-23,1.0,183.0,183.0,183.0,10.0,1830.0,180.0,3.0
2014-01-26,1.0,186.0,186.0,186.0,10.0,1860.0,183.0,3.0
2014-01-27,2.0,192.0,189.0,192.0,20.0,3810.0,186.0,6.0
2014-01-28,2.0,198.0,195.0,198.0,20.0,3930.0,192.0,6.0
2014-01-29,5.0,209.0,201.0,205.0,1058.0,219002.0,198.0,7.0
2014-02-02,2.0,209.0,205.0,209.0,3250.0,666290.0,205.0,4.0
2014-02-03,1.0,206.0,206.0,206.0,89.0,18334.0,209.0,-3.0
2014-02-04,3.0,218.0,210.0,218.0,30.0,6420.0,206.0,12.0
2014-02-05,5.0,238.0,222.0,238.0,500.0,115000.0,218.0,20.0
2014-02-06,6.0,260.0,242.0,260.0,716.0,174942.0,238.0,22.0
2014-02-09,3.0,270.0,265.0,270.0,2425.0,654555.0,260.0,10.0
2014-02-10,2.0,275.0,270.0,270.0,916.0,247900.0,270.0,0.0
2014-02-12,1.0,265.0,265.0,265.0,100.0,26500.0,270.0,-5.0
2014-02-24,1.0,260.0,260.0,260.0,200.0,52000.0,265.0,-5.0
2014-03-05,4.0,255.0,245.0,245.0,1298.0,328990.0,260.0,-15.0
2014-04-06,1.0,241.0,241.0,241.0,3451.0,831691.0,245.0,-4.0
2014-04-13,1.0,237.0,237.0,237.0,538.0,127506.0,241.0,-4.0
2014-04-23,2.0,233.0,233.0,233.0,3750.0,873750.0,237.0,-4.0
2014-05-07,1.0,229.0,229.0,229.0,500.0,114500.0,233.0,-4.0
2014-05-19,1.0,225.0,225.0,225.0,307.0,69075.0,229.0,-4.0
2014-05-22,4.0,221.0,217.0,217.0,5139.0,1132123.0,225.0,-8.0
2014-05-25,1.0,217.0,217.0,217.0,986.0,213962.0,217.0,0.0
2014-05-26,1.0,213.0,213.0,213.0,346.0,73698.0,217.0,-4.0
2014-05-28,1.0,217.0,217.0,217.0,346.0,75082.0,213.0,4.0
2014-06-02,2.0,225.0,221.0,225.0,184.0,40764.0,217.0,8.0
2014-06-05,3.0,224.0,220.0,224.0,807.0,178885.0,225.0,-1.0
2014-06-08,5.0,220.0,216.0,216.0,1063.0,232008.0,224.0,-8.0
2014-06-10,1.0,215.0,215.0,215.0,89.0,19135.0,216.0,-1.0
2014-06-15,1.0,219.0,219.0,219.0,20.0,4380.0,215.0,4.0
2014-06-25,3.0,231.0,223.0,231.0,220.0,50364.0,219.0,12.0
2014-06-26,2.0,239.0,235.0,239.0,269.0,64251.0,231.0,8.0
2014-07-01,6.0,262.0,243.0,262.0,677.0,175769.0,239.0,23.0
2014-07-02,4.0,282.0,267.0,282.0,283.0,77051.0,262.0,20.0
2014-07-03,3.0,297.0,287.0,297.0,1325.0,391635.0,282.0,15.0
2014-07-07,2.0,308.0,302.0,308.0,538.0,164090.0,297.0,11.0
2014-07-08,3.0,320.0,314.0,320.0,1038.0,329392.0,308.0,12.0
2014-07-09,8.0,340.0,314.0,340.0,4076.0,1312194.0,320.0,20.0
2014-07-10,6.0,366.0,346.0,366.0,3326.0,1165133.0,340.0,26.0
2014-07-17,2.0,380.0,373.0,380.0,181.0,67583.0,366.0,14.0
2014-07-20,4.0,394.0,387.0,394.0,419.0,163289.0,380.0,14.0
2014-07-21,6.0,401.0,393.0,395.0,1062.0,422212.0,394.0,1.0
2014-07-22,9.0,418.0,402.0,410.0,2467.0,1009454.0,395.0,15.0
2014-07-23,2.0,410.0,402.0,410.0,200.0,81200.0,410.0,0.0
2014-07-24,5.0,402.0,392.0,400.0,1839.0,736150.0,410.0,-10.0
2014-07-27,7.0,400.0,385.0,385.0,15776.0,6273876.0,400.0,-15.0
2014-07-30,1.0,392.0,392.0,392.0,269.0,105448.0,385.0,7.0
2014-07-31,3.0,385.0,371.0,371.0,1547.0,581413.0,392.0,-21.0
2014-08-03,3.0,365.0,365.0,365.0,385.0,140525.0,371.0,-6.0
2014-08-05,2.0,358.0,351.0,351.0,768.0,272256.0,365.0,-14.0
2014-08-06,1.0,345.0,345.0,345.0,269.0,92805.0,351.0,-6.0
2014-08-07,5.0,345.0,334.0,334.0,1912.0,650643.0,345.0,-11.0
2014-08-12,3.0,340.0,328.0,340.0,3017.0,1006238.0,334.0,6.0
2014-08-13,1.0,334.0,334.0,334.0,17.0,5678.0,340.0,-6.0
2014-08-18,8.0,340.0,323.0,323.0,3125.0,1039084.0,334.0,-11.0
2014-08-19,1.0,317.0,317.0,317.0,14.0,4438.0,323.0,-6.0
2014-08-21,1.0,317.0,317.0,317.0,38.0,12046.0,317.0,0.0
2014-08-27,1.0,320.0,320.0,320.0,460.0,147200.0,317.0,3.0
2014-08-31,1.0,326.0,326.0,326.0,335.0,109210.0,320.0,6.0
2014-09-03,1.0,320.0,320.0,320.0,6902.0,2208640.0,326.0,-6.0
2014-09-09,3.0,331.0,320.0,331.0,414.0,133489.0,320.0,11.0
2014-09-10,7.0,349.0,337.0,345.0,1532.0,522484.0,331.0,14.0
2014-09-11,4.0,339.0,328.0,328.0,800.0,266000.0,345.0,-17.0
2014-09-16,1.0,330.0,330.0,330.0,200.0,66000.0,328.0,2.0
2014-09-21,1.0,324.0,324.0,324.0,133.0,43092.0,330.0,-6.0
2014-09-22,1.0,318.0,318.0,318.0,38.0,12084.0,324.0,-6.0
2014-09-23,2.0,312.0,307.0,307.0,229.0,71118.0,318.0,-11.0
2014-09-24,5.0,322.0,312.0,322.0,1846.0,585720.0,307.0,15.0
2014-09-28,1.0,320.0,320.0,320.0,500.0,160000.0,322.0,-2.0
2014-09-29,2.0,315.0,315.0,315.0,848.0,267120.0,320.0,-5.0
2014-10-09,1.0,320.0,320.0,320.0,100.0,32000.0,315.0,5.0
2014-11-02,1.0,314.0,314.0,314.0,100.0,31400.0,320.0,-6.0
