Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-03-21,3.0,1370.0,1370.0,1370.0,4548.0,6230760.0,1370.0,0.0
2021-07-20,16.0,1210.0,1210.0,1210.0,9000.0,10890000.0,1199.0,11.0
2021-07-26,1.0,1210.0,1210.0,1210.0,3000.0,3630000.0,1210.0,0.0
2021-10-21,1.0,1073.0,1073.0,1073.0,4120.0,4420760.0,1073.0,0.0
2021-11-02,2.0,1073.0,1073.0,1073.0,200.0,163000.0,1073.0,0.0
2021-11-11,15.0,1073.0,1073.0,1073.0,4730.0,3976086.0,1073.0,0.0
2022-01-19,9.0,1073.0,1073.0,1073.0,56270.0,42587850.0,1073.0,0.0
2022-03-06,3.0,1073.0,1073.0,1073.0,3500.0,2150000.0,1073.0,0.0
2022-03-24,14.0,1073.0,1073.0,1073.0,946.0,94600.0,1073.0,0.0
2022-06-08,1.0,560.0,560.0,560.0,3024.0,1693440.0,560.0,0.0
2022-06-09,3.0,560.0,560.0,560.0,11400.0,6384000.0,560.0,0.0
2022-06-21,3.0,560.0,560.0,560.0,9000.0,5760000.0,560.0,0.0
2022-06-22,1.0,560.0,560.0,560.0,7000.0,3920000.0,560.0,0.0
2022-06-28,14.0,560.0,560.0,560.0,243.0,24300.0,560.0,0.0
2022-07-06,1.0,560.0,560.0,560.0,3000.0,1680000.0,560.0,0.0
