Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-12-10,1.0,105.0,105.0,105.0,10.0,1050.0,0.0,105.0
2013-12-22,2.0,103.0,102.0,102.0,1098.0,112545.0,105.0,-3.0
2014-01-22,2.0,104.0,102.0,104.0,676.0,69628.0,102.0,2.0
2014-01-23,1.0,106.0,106.0,106.0,1098.0,116388.0,104.0,2.0
2014-01-26,1.0,105.0,105.0,105.0,221.0,23205.0,106.0,-1.0
2014-02-11,3.0,107.0,107.0,107.0,2745.0,293715.0,105.0,2.0
2014-02-24,5.0,117.0,109.0,117.0,100.0,11300.0,107.0,10.0
2014-02-25,5.0,127.0,119.0,127.0,100.0,12300.0,117.0,10.0
2014-02-26,6.0,133.0,129.0,133.0,192.0,24888.0,127.0,6.0
2014-03-03,1.0,135.0,135.0,135.0,20.0,2700.0,133.0,2.0
2014-03-04,1.0,137.0,137.0,137.0,34.0,4658.0,135.0,2.0
2014-03-06,11.0,150.0,139.0,150.0,1646.0,239754.0,137.0,13.0
2014-03-09,4.0,153.0,150.0,150.0,630.0,94590.0,150.0,0.0
2014-03-18,8.0,147.0,143.0,143.0,732.0,105820.0,150.0,-7.0
2014-04-06,1.0,141.0,141.0,141.0,81.0,11421.0,143.0,-2.0
2014-04-07,1.0,139.0,139.0,139.0,382.0,53098.0,141.0,-2.0
2014-04-09,2.0,137.0,135.0,135.0,449.0,61351.0,139.0,-4.0
2014-04-10,2.0,133.0,131.0,131.0,1282.0,168310.0,135.0,-4.0
2014-04-13,1.0,129.0,129.0,129.0,81.0,10449.0,131.0,-2.0
2014-04-15,3.0,129.0,127.0,129.0,530.0,67634.0,129.0,0.0
2014-04-16,2.0,130.0,130.0,130.0,91.0,11830.0,129.0,1.0
2014-04-17,7.0,132.0,128.0,130.0,438.0,57006.0,130.0,0.0
2014-04-20,5.0,130.0,130.0,130.0,370.0,48100.0,130.0,0.0
2014-04-21,2.0,130.0,128.0,130.0,162.0,20898.0,130.0,0.0
2014-04-22,6.0,128.0,123.0,123.0,1338.0,167361.0,130.0,-7.0
2014-04-23,3.0,123.0,121.0,121.0,243.0,29646.0,123.0,-2.0
2014-04-27,9.0,123.0,119.0,119.0,729.0,87318.0,121.0,-2.0
2014-04-28,2.0,118.0,118.0,118.0,630.0,74340.0,119.0,-1.0
2014-04-29,4.0,121.0,118.0,121.0,526.0,62813.0,118.0,3.0
2014-05-04,1.0,123.0,123.0,123.0,199.0,24477.0,121.0,2.0
2014-05-11,1.0,125.0,125.0,125.0,81.0,10125.0,123.0,2.0
2014-05-13,2.0,129.0,127.0,129.0,375.0,48213.0,125.0,4.0
2014-05-15,1.0,131.0,131.0,131.0,294.0,38514.0,129.0,2.0
2014-05-19,4.0,138.0,133.0,138.0,324.0,43983.0,131.0,7.0
2014-05-20,8.0,145.0,140.0,142.0,935.0,133719.0,138.0,4.0
2014-05-21,13.0,144.0,138.0,144.0,3613.0,516035.0,142.0,2.0
2014-05-22,8.0,149.0,145.0,149.0,1569.0,229701.0,144.0,5.0
2014-05-28,1.0,147.0,147.0,147.0,38.0,5586.0,149.0,-2.0
2014-06-04,2.0,150.0,149.0,150.0,626.0,93679.0,147.0,3.0
2014-06-18,7.0,158.0,153.0,150.0,911.0,141786.0,150.0,8.0
2014-06-19,1.0,160.0,160.0,160.0,338.0,54080.0,158.0,2.0
2014-07-01,2.0,160.0,160.0,160.0,220.0,35200.0,160.0,0.0
2014-07-02,2.0,157.0,155.0,155.0,412.0,64096.0,160.0,-5.0
2014-07-03,1.0,155.0,155.0,155.0,38.0,5890.0,155.0,0.0
2014-07-07,5.0,167.0,158.0,167.0,320.0,51827.0,155.0,12.0
2014-07-08,5.0,179.0,170.0,176.0,197.0,34612.0,167.0,9.0
2014-07-13,2.0,179.0,176.0,176.0,520.0,92654.0,176.0,0.0
2014-07-16,1.0,179.0,179.0,179.0,338.0,60502.0,176.0,3.0
2014-07-17,1.0,182.0,182.0,182.0,81.0,14742.0,179.0,3.0
2014-07-21,1.0,185.0,185.0,185.0,38.0,7030.0,182.0,3.0
2014-07-23,1.0,188.0,188.0,188.0,10.0,1880.0,185.0,3.0
2014-08-03,2.0,194.0,191.0,194.0,220.0,42350.0,188.0,6.0
2014-08-05,1.0,191.0,191.0,191.0,38.0,7258.0,194.0,-3.0
2014-08-14,2.0,194.0,194.0,194.0,48.0,9312.0,191.0,3.0
2014-08-18,3.0,192.0,187.0,187.0,258.0,48784.0,194.0,-7.0
2014-08-19,1.0,186.0,186.0,186.0,52.0,9672.0,187.0,-1.0
2014-08-21,1.0,189.0,189.0,189.0,60.0,11340.0,186.0,3.0
2014-08-24,1.0,188.0,188.0,188.0,81.0,15228.0,189.0,-1.0
2014-09-04,3.0,185.0,180.0,180.0,510.0,93124.0,188.0,-8.0
2014-09-10,1.0,177.0,177.0,177.0,81.0,14337.0,180.0,-3.0
2014-09-16,1.0,180.0,180.0,180.0,20.0,3600.0,177.0,3.0
2014-09-18,1.0,177.0,177.0,177.0,81.0,14337.0,180.0,-3.0
2014-11-20,1.0,158.0,158.0,158.0,18.0,2844.0,161.0,-3.0
2014-12-03,1.0,158.0,158.0,158.0,360.0,56880.0,158.0,0.0
2014-12-04,2.0,160.0,160.0,160.0,148.0,23680.0,158.0,2.0
2014-12-15,1.0,157.0,157.0,157.0,549.0,86193.0,160.0,-3.0
2014-12-16,2.0,155.0,155.0,155.0,736.0,114080.0,157.0,-2.0
2015-03-12,3.0,150.0,146.0,150.0,736.0,109624.0,144.0,6.0
2015-03-15,2.0,156.0,153.0,156.0,368.0,57378.0,150.0,6.0
2015-03-19,1.0,163.0,163.0,163.0,870.0,141810.0,156.0,7.0
2015-03-23,2.0,174.0,171.0,174.0,1054.0,180786.0,163.0,11.0
2015-04-16,2.0,180.0,177.0,180.0,20.0,3570.0,174.0,6.0
2015-04-19,2.0,186.0,183.0,186.0,20.0,3690.0,180.0,6.0
2015-04-20,2.0,192.0,189.0,192.0,20.0,3810.0,186.0,6.0
2015-04-21,2.0,198.0,195.0,198.0,20.0,3930.0,192.0,6.0
2015-04-23,1.0,201.0,201.0,201.0,10.0,2010.0,198.0,3.0
2015-05-24,9.0,221.0,205.0,221.0,1431.0,301611.0,201.0,20.0
2015-05-25,9.0,229.0,213.0,213.0,1484.0,319888.0,221.0,-8.0
2015-05-31,4.0,209.0,205.0,205.0,1046.0,217414.0,213.0,-8.0
2015-06-01,1.0,201.0,201.0,201.0,436.0,87636.0,205.0,-4.0
2015-06-02,5.0,221.0,205.0,221.0,260.0,54496.0,201.0,20.0
2015-06-03,4.0,237.0,225.0,237.0,84.0,19396.0,221.0,16.0
2015-06-04,3.0,245.0,240.0,245.0,71.0,17255.0,237.0,8.0
2015-06-07,5.0,252.0,248.0,252.0,90.0,22470.0,245.0,7.0
2015-06-10,1.0,249.0,249.0,249.0,204.0,50796.0,252.0,-3.0
2015-06-17,1.0,250.0,250.0,250.0,119.0,29750.0,249.0,1.0
2015-06-18,4.0,245.0,237.0,237.0,75.0,18087.0,250.0,-13.0
2015-06-24,2.0,233.0,229.0,229.0,20.0,4620.0,237.0,-8.0
2015-06-25,3.0,225.0,221.0,223.0,971.0,216675.0,229.0,-6.0
2015-06-30,2.0,223.0,219.0,223.0,634.0,139734.0,223.0,0.0
2015-07-02,6.0,231.0,218.0,231.0,1872.0,414796.0,223.0,8.0
