Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-12-08,5.0,200.0,200.0,200.0,48847.0,9769400.0,200.0,0.0
2016-12-11,3.0,196.0,196.0,196.0,32957.0,6459572.0,200.0,-4.0
2016-12-12,4.0,193.0,192.0,193.0,56522.0,10884180.0,196.0,-3.0
2017-08-27,1.0,110.0,110.0,110.0,58619.0,6448090.0,110.0,0.0
2017-10-24,1.0,110.0,110.0,110.0,3000.0,330000.0,110.0,0.0
2017-10-25,1.0,108.0,108.0,108.0,1000.0,108000.0,110.0,-2.0
2018-04-08,2.0,108.0,108.0,108.0,11450.0,1236600.0,108.0,0.0
2018-08-19,1.0,108.0,108.0,108.0,4806.0,519048.0,110.0,-2.0
2019-08-28,1.0,100.0,100.0,100.0,48000.0,4800000.0,100.0,0.0
2019-09-24,1.0,100.0,100.0,100.0,554.0,55400.0,100.0,0.0
2020-12-28,2.0,217.0,217.0,217.0,1000.0,217000.0,217.0,0.0
2021-10-04,10.0,217.0,217.0,217.0,5900.0,2030311.0,217.0,0.0
2021-12-22,1.0,217.0,217.0,217.0,3000.0,825000.0,217.0,0.0
