Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-03-19,2.0,118.0,118.0,118.0,58.0,6844.0,0.0,118.0
2014-03-31,5.0,129.0,123.0,129.0,321.0,40647.0,118.0,11.0
2014-04-01,6.0,135.0,135.0,135.0,460.0,62100.0,129.0,6.0
2014-04-06,7.0,148.0,137.0,148.0,197.0,28544.0,135.0,13.0
2014-04-13,1.0,150.0,150.0,150.0,48.0,7200.0,148.0,2.0
2014-04-16,5.0,165.0,153.0,165.0,538.0,84678.0,150.0,15.0
2014-04-17,31.0,181.0,168.0,181.0,2079.0,372507.0,165.0,16.0
2014-04-20,1.0,178.0,178.0,178.0,17.0,3026.0,181.0,-3.0
2014-04-21,4.0,175.0,175.0,175.0,397.0,69475.0,178.0,-3.0
2014-04-23,7.0,172.0,160.0,160.0,745.0,126436.0,175.0,-15.0
2014-04-28,11.0,157.0,147.0,147.0,767.0,118105.0,160.0,-13.0
2014-04-29,1.0,149.0,149.0,149.0,68.0,10132.0,147.0,2.0
2014-04-30,3.0,151.0,148.0,150.0,204.0,30503.0,149.0,1.0
2014-05-04,3.0,147.0,143.0,143.0,291.0,42195.0,150.0,-7.0
2014-05-05,1.0,145.0,145.0,145.0,964.0,139780.0,143.0,2.0
2014-05-07,1.0,144.0,144.0,144.0,97.0,13968.0,145.0,-1.0
2014-05-11,17.0,148.0,134.0,134.0,1649.0,235807.0,144.0,-10.0
2014-05-13,1.0,136.0,136.0,136.0,20.0,2720.0,134.0,2.0
2014-05-15,1.0,138.0,138.0,138.0,48.0,6624.0,136.0,2.0
2014-05-20,1.0,140.0,140.0,140.0,60.0,8400.0,138.0,2.0
2014-05-21,6.0,150.0,142.0,147.0,1958.0,286522.0,140.0,7.0
2014-05-22,3.0,154.0,149.0,154.0,1067.0,159381.0,147.0,7.0
2014-05-25,6.0,169.0,157.0,169.0,1061.0,175622.0,154.0,15.0
2014-05-26,12.0,175.0,169.0,172.0,757.0,130314.0,169.0,3.0
2014-05-27,7.0,178.0,172.0,172.0,739.0,130069.0,172.0,0.0
2014-05-28,3.0,170.0,167.0,167.0,899.0,150337.0,172.0,-5.0
2014-06-01,1.0,164.0,164.0,164.0,97.0,15908.0,167.0,-3.0
2014-06-02,6.0,173.0,167.0,173.0,1653.0,284583.0,164.0,9.0
2014-06-03,1.0,173.0,173.0,173.0,160.0,27680.0,173.0,0.0
2014-06-04,3.0,179.0,176.0,179.0,1141.0,203948.0,173.0,6.0
2014-06-08,1.0,176.0,176.0,176.0,48.0,8448.0,179.0,-3.0
2014-06-12,1.0,173.0,173.0,173.0,195.0,33735.0,176.0,-3.0
2014-06-18,7.0,174.0,170.0,173.0,1942.0,334037.0,173.0,1.0
2014-06-19,1.0,174.0,174.0,174.0,12.0,2088.0,174.0,0.0
2014-07-03,5.0,171.0,165.0,168.0,117.0,19669.0,174.0,-6.0
2014-07-06,2.0,174.0,171.0,174.0,29.0,4989.0,168.0,6.0
2014-07-07,2.0,175.0,172.0,172.0,46.0,7957.0,174.0,-2.0
2014-07-08,13.0,185.0,172.0,185.0,730.0,131664.0,172.0,13.0
2014-07-09,2.0,185.0,182.0,185.0,600.0,110937.0,185.0,0.0
2014-07-10,3.0,191.0,188.0,191.0,235.0,44273.0,185.0,6.0
2014-07-13,7.0,194.0,189.0,194.0,300.0,57936.0,191.0,3.0
2014-07-14,2.0,197.0,195.0,195.0,114.0,22420.0,194.0,1.0
2014-07-15,3.0,195.0,195.0,195.0,706.0,137670.0,195.0,0.0
2014-07-16,9.0,192.0,186.0,192.0,654.0,124036.0,195.0,-3.0
2014-07-17,1.0,192.0,192.0,192.0,338.0,64896.0,192.0,0.0
2014-07-21,10.0,200.0,195.0,200.0,176.0,34735.0,192.0,8.0
2014-07-22,16.0,220.0,202.0,220.0,847.0,175743.0,200.0,20.0
2014-07-23,2.0,228.0,224.0,228.0,1014.0,230992.0,220.0,8.0
2014-07-24,7.0,250.0,232.0,250.0,240.0,59218.0,228.0,22.0
2014-07-28,6.0,249.0,241.0,249.0,2549.0,618337.0,250.0,-1.0
2014-07-30,5.0,268.0,253.0,263.0,144.0,37827.0,249.0,14.0
2014-07-31,3.0,278.0,268.0,278.0,30.0,8190.0,263.0,15.0
2014-08-03,2.0,287.0,282.0,287.0,147.0,41704.0,278.0,9.0
2014-08-05,13.0,287.0,265.0,265.0,2369.0,637712.0,287.0,-22.0
2014-08-06,2.0,260.0,255.0,255.0,1081.0,278550.0,265.0,-10.0
2014-08-07,9.0,265.0,255.0,265.0,2764.0,726680.0,255.0,10.0
2014-08-12,3.0,265.0,265.0,265.0,442.0,117130.0,265.0,0.0
2014-08-14,9.0,280.0,260.0,273.0,1809.0,483216.0,265.0,8.0
2014-08-18,3.0,268.0,258.0,258.0,61.0,15888.0,273.0,-15.0
2014-08-19,7.0,255.0,245.0,249.0,309.0,76884.0,258.0,-9.0
2014-08-20,15.0,245.0,237.0,241.0,507.0,121881.0,249.0,-8.0
2014-08-21,5.0,245.0,241.0,241.0,286.0,70014.0,241.0,0.0
2014-08-24,18.0,249.0,237.0,246.0,1088.0,261947.0,241.0,5.0
2014-08-27,11.0,261.0,235.0,261.0,547.0,135574.0,246.0,15.0
2014-08-28,3.0,258.0,258.0,258.0,113.0,29154.0,261.0,-3.0
2014-09-01,1.0,255.0,255.0,255.0,97.0,24735.0,258.0,-3.0
2014-09-04,2.0,250.0,245.0,245.0,237.0,58550.0,255.0,-10.0
2014-09-10,1.0,241.0,241.0,241.0,964.0,232324.0,245.0,-4.0
2014-09-15,1.0,237.0,237.0,237.0,964.0,228468.0,241.0,-4.0
2014-10-08,1.0,233.0,233.0,233.0,193.0,44969.0,237.0,-4.0
2014-10-09,5.0,230.0,226.0,226.0,156.0,35490.0,233.0,-7.0
2014-10-13,19.0,222.0,210.0,210.0,277.0,59290.0,226.0,-16.0
2014-10-14,3.0,206.0,198.0,198.0,73.0,14786.0,210.0,-12.0
2014-10-15,1.0,195.0,195.0,195.0,48.0,9360.0,198.0,-3.0
2014-10-16,11.0,206.0,195.0,206.0,438.0,88055.0,195.0,11.0
2014-10-21,1.0,207.0,207.0,207.0,10.0,2070.0,206.0,1.0
2014-10-27,7.0,219.0,211.0,215.0,773.0,165319.0,207.0,8.0
2014-11-03,2.0,223.0,219.0,223.0,97.0,21591.0,215.0,8.0
2014-11-20,12.0,219.0,201.0,205.0,1462.0,304060.0,223.0,-18.0
2014-11-23,1.0,205.0,205.0,205.0,97.0,19885.0,205.0,0.0
2014-11-24,4.0,205.0,201.0,201.0,984.0,198248.0,205.0,-4.0
2014-12-02,2.0,197.0,194.0,194.0,194.0,37927.0,201.0,-7.0
2014-12-03,7.0,193.0,190.0,190.0,514.0,98078.0,194.0,-4.0
2014-12-07,5.0,190.0,190.0,190.0,195.0,37050.0,190.0,0.0
2014-12-16,3.0,190.0,187.0,190.0,291.0,54999.0,190.0,0.0
2014-12-17,2.0,196.0,193.0,196.0,31.0,6046.0,190.0,6.0
2014-12-18,2.0,202.0,199.0,202.0,396.0,79962.0,196.0,6.0
2014-12-21,6.0,204.0,200.0,204.0,147.0,29440.0,202.0,2.0
2014-12-22,8.0,201.0,200.0,201.0,180.0,36098.0,204.0,-3.0
2014-12-23,5.0,205.0,204.0,205.0,233.0,47573.0,201.0,4.0
2014-12-24,3.0,201.0,200.0,200.0,88.0,17621.0,205.0,-5.0
2014-12-29,1.0,204.0,204.0,204.0,97.0,19788.0,200.0,4.0
2014-12-31,4.0,207.0,205.0,207.0,301.0,61811.0,204.0,3.0
2015-01-01,4.0,203.0,199.0,199.0,314.0,62823.0,207.0,-8.0
2015-01-04,6.0,204.0,200.0,204.0,217.0,43776.0,199.0,5.0
2015-01-05,5.0,220.0,207.0,220.0,175.0,37636.0,204.0,16.0
2015-01-06,9.0,228.0,223.0,228.0,264.0,59079.0,220.0,8.0
