Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-10-17,6.0,175.0,163.0,163.0,188.0,32414.0,0.0,163.0
2012-10-18,5.0,160.0,148.0,148.0,69.0,10569.0,163.0,-15.0
2012-10-30,38.0,146.0,138.0,139.0,2013.0,282342.0,148.0,-9.0
2012-10-31,83.0,145.0,135.0,145.0,8519.0,1187805.0,139.0,6.0
2012-11-01,40.0,151.0,141.0,150.0,2884.0,422956.0,145.0,5.0
2012-11-04,27.0,158.0,147.0,158.0,3391.0,513762.0,150.0,8.0
2012-11-05,21.0,168.0,157.0,157.0,2113.0,344209.0,158.0,-1.0
2012-11-06,23.0,162.0,158.0,158.0,3537.0,565561.0,157.0,1.0
2012-11-07,31.0,166.0,157.0,166.0,2986.0,483021.0,158.0,8.0
2012-11-08,32.0,169.0,157.0,163.0,2597.0,416736.0,166.0,-3.0
2012-11-11,66.0,166.0,157.0,163.0,6097.0,986067.0,163.0,0.0
2012-11-18,1.0,166.0,166.0,166.0,114.0,18924.0,163.0,3.0
2012-12-11,1.0,154.0,154.0,154.0,112.0,17248.0,166.0,-12.0
2012-12-23,1.0,151.0,151.0,151.0,670.0,101170.0,154.0,-3.0
2012-12-24,8.0,150.0,150.0,150.0,7928.0,1189200.0,151.0,-1.0
2013-01-01,4.0,147.0,143.0,144.0,2439.0,353244.0,150.0,-6.0
2013-01-09,1.0,140.0,140.0,140.0,135.0,18900.0,142.0,-2.0
2013-01-10,1.0,138.0,138.0,138.0,400.0,55200.0,140.0,-2.0
2013-01-27,5.0,136.0,130.0,130.0,560.0,74592.0,138.0,-8.0
2013-01-30,2.0,130.0,128.0,128.0,217.0,28022.0,130.0,-2.0
2013-01-31,3.0,126.0,124.0,124.0,159.0,19896.0,128.0,-4.0
2013-02-03,1.0,126.0,126.0,126.0,16.0,2016.0,124.0,2.0
2013-02-07,1.0,124.0,124.0,124.0,72.0,8928.0,126.0,-2.0
2013-02-10,3.0,124.0,122.0,124.0,1589.0,196590.0,124.0,0.0
2013-02-12,2.0,126.0,124.0,126.0,581.0,72268.0,124.0,2.0
2013-02-14,1.0,125.0,125.0,125.0,13.0,1625.0,126.0,-1.0
2013-02-19,3.0,130.0,127.0,130.0,1271.0,165011.0,125.0,5.0
2013-02-28,2.0,128.0,128.0,128.0,101.0,12928.0,130.0,-2.0
2013-03-03,1.0,128.0,128.0,128.0,1693.0,216704.0,128.0,0.0
2013-03-11,5.0,128.0,126.0,126.0,465.0,58886.0,128.0,-2.0
2013-03-13,3.0,124.0,124.0,124.0,336.0,41664.0,126.0,-2.0
2013-03-14,2.0,128.0,126.0,128.0,1066.0,136208.0,124.0,4.0
2013-03-17,1.0,128.0,128.0,128.0,112.0,14336.0,128.0,0.0
2013-03-19,1.0,126.0,126.0,126.0,335.0,42210.0,128.0,-2.0
2013-03-21,6.0,126.0,121.0,121.0,1186.0,147643.0,126.0,-5.0
2013-03-24,4.0,122.0,118.0,118.0,443.0,53796.0,121.0,-3.0
2013-03-25,1.0,117.0,117.0,117.0,112.0,13104.0,118.0,-1.0
2013-03-27,2.0,119.0,117.0,119.0,22.0,2596.0,117.0,2.0
2013-04-03,4.0,124.0,120.0,124.0,152.0,18369.0,118.0,6.0
2013-04-08,2.0,126.0,124.0,126.0,239.0,30082.0,124.0,2.0
2013-04-11,3.0,124.0,120.0,120.0,33.0,4026.0,126.0,-6.0
2013-04-25,10.0,122.0,122.0,122.0,530.0,64660.0,120.0,2.0
2013-04-28,3.0,122.0,120.0,122.0,505.0,61269.0,122.0,0.0
2013-04-29,2.0,124.0,122.0,124.0,335.0,41316.0,122.0,2.0
2013-05-02,21.0,122.0,118.0,118.0,1261.0,151444.0,124.0,-6.0
2013-05-05,1.0,118.0,118.0,118.0,47.0,5546.0,118.0,0.0
2013-05-09,11.0,118.0,116.0,116.0,1117.0,130967.0,118.0,-2.0
2013-05-12,3.0,118.0,118.0,118.0,153.0,18054.0,116.0,2.0
2013-05-13,3.0,116.0,116.0,116.0,503.0,58348.0,118.0,-2.0
2013-05-14,2.0,118.0,116.0,118.0,130.0,15198.0,116.0,2.0
2013-05-15,15.0,124.0,120.0,124.0,836.0,102969.0,118.0,6.0
2013-05-16,23.0,125.0,124.0,124.0,1212.0,150349.0,124.0,0.0
2013-05-19,13.0,126.0,124.0,126.0,1030.0,129708.0,124.0,2.0
2013-05-21,5.0,127.0,125.0,126.0,296.0,37336.0,126.0,0.0
2013-05-22,10.0,126.0,124.0,126.0,1213.0,152345.0,126.0,0.0
2013-05-23,8.0,124.0,120.0,123.0,4633.0,556429.0,126.0,-3.0
2013-05-27,4.0,125.0,124.0,124.0,233.0,28912.0,123.0,1.0
2013-05-28,8.0,128.0,125.0,126.0,805.0,101306.0,124.0,2.0
2013-06-02,1.0,124.0,124.0,124.0,28.0,3472.0,126.0,-2.0
2013-06-03,1.0,126.0,126.0,126.0,26.0,3276.0,124.0,2.0
2013-06-04,14.0,127.0,126.0,126.0,1996.0,252613.0,126.0,0.0
2013-06-05,2.0,126.0,126.0,126.0,465.0,58590.0,126.0,0.0
2013-06-06,2.0,126.0,126.0,126.0,73.0,9198.0,126.0,0.0
2013-06-09,8.0,126.0,123.0,123.0,691.0,85903.0,126.0,-3.0
2013-06-12,1.0,125.0,125.0,125.0,168.0,21000.0,123.0,2.0
2013-06-13,2.0,125.0,125.0,125.0,52.0,6500.0,125.0,0.0
2013-06-16,4.0,127.0,126.0,126.0,459.0,58046.0,125.0,1.0
2013-06-17,6.0,126.0,125.0,125.0,221.0,27719.0,126.0,-1.0
2013-06-18,10.0,129.0,123.0,129.0,368.0,46090.0,125.0,4.0
