Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2018-12-05,3.0,680.0,510.0,510.0,50951.0,25985010.0,510.0,0.0
2018-12-10,2.0,510.0,500.0,500.0,12099.0,6049500.0,510.0,-10.0
2018-12-23,5.0,500.0,500.0,500.0,35479.0,17739500.0,500.0,0.0
2020-09-16,1.0,403.0,403.0,403.0,25010.0,10079030.0,403.23,-0.23
2020-09-29,1.0,517.0,517.0,517.0,23309.0,12050753.0,517.0,0.0
2020-11-23,6.0,517.0,517.0,517.0,31500.0,16285500.0,517.0,0.0
2020-11-24,1.0,517.0,517.0,517.0,1500.0,775500.0,517.0,0.0
2020-12-23,1.0,517.0,517.0,517.0,179.0,92543.0,517.0,0.0
2020-12-31,1.0,525.0,525.0,525.0,6062.0,3182550.0,517.0,8.0
2021-01-13,2.0,525.0,525.0,525.0,10938.0,5742450.0,525.0,0.0
2021-01-19,3.0,525.0,525.0,525.0,7000.0,3675000.0,525.0,0.0
2021-01-24,1.0,525.0,525.0,525.0,10000.0,5250000.0,525.0,0.0
2021-01-25,1.0,525.0,525.0,525.0,25000.0,13125000.0,525.0,0.0
2021-02-11,1.0,525.0,525.0,525.0,1450.0,761250.0,525.0,0.0
2021-02-16,1.0,525.0,525.0,525.0,3000.0,1575000.0,525.0,0.0
2021-02-21,1.0,525.0,525.0,525.0,4020.0,2110500.0,525.0,0.0
2021-02-24,1.0,525.0,525.0,525.0,5367.0,2817675.0,525.0,0.0
2021-02-28,1.0,525.0,525.0,525.0,3000.0,1575000.0,525.0,0.0
2021-03-01,2.0,525.0,525.0,525.0,17980.0,9439500.0,525.0,0.0
2021-03-09,3.0,526.0,526.0,526.0,15400.0,8100400.0,525.0,1.0
2021-03-15,2.0,535.0,535.0,535.0,7000.0,3745000.0,526.0,9.0
2021-03-16,1.0,535.0,535.0,535.0,7000.0,3745000.0,535.0,0.0
2021-03-18,1.0,535.0,535.0,535.0,6000.0,3210000.0,535.0,0.0
2021-06-29,2.0,905.0,905.0,905.0,3000.0,2715000.0,905.0,0.0
2021-07-05,1.0,906.0,906.0,906.0,1638.0,1484028.0,905.0,1.0
2021-09-02,2.0,906.0,906.0,906.0,34938.0,31653828.0,906.0,0.0
2021-09-27,4.0,572.0,561.0,572.0,2184.0,1238248.0,550.0,22.0
2021-10-04,1.0,575.0,575.0,575.0,27000.0,15525000.0,572.0,3.0
2021-10-06,3.0,586.0,575.0,586.0,35237.0,20318882.0,575.0,11.0
2021-10-24,4.0,586.0,586.0,586.0,28500.0,16701000.0,586.0,0.0
2021-10-25,4.0,586.0,586.0,586.0,28500.0,16701000.0,586.0,0.0
2021-12-26,2.0,586.0,586.0,586.0,9000.0,5274000.0,586.0,0.0
2021-12-27,1.0,586.0,586.0,586.0,3500.0,2051000.0,586.0,0.0
2022-01-02,8.0,586.0,586.0,586.0,19868.0,11642648.0,586.0,0.0
