Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-03-04,1.0,102.0,102.0,102.0,447.0,45594.0,0.0,102.0
2014-03-27,3.0,108.0,104.0,108.0,798.0,85178.0,102.0,6.0
2014-04-01,1.0,110.0,110.0,110.0,233.0,25630.0,108.0,2.0
2014-07-03,4.0,118.0,112.0,118.0,40.0,4600.0,110.0,8.0
2014-07-06,4.0,126.0,120.0,126.0,468.0,58420.0,118.0,8.0
2014-07-07,6.0,138.0,128.0,138.0,60.0,7980.0,126.0,12.0
2014-07-08,6.0,150.0,140.0,150.0,60.0,8700.0,138.0,12.0
2014-07-13,3.0,159.0,153.0,159.0,70.0,11040.0,150.0,9.0
2014-07-14,1.0,162.0,162.0,162.0,50.0,8100.0,159.0,3.0
2014-08-03,1.0,165.0,165.0,165.0,55.0,9075.0,162.0,3.0
2014-08-06,5.0,180.0,168.0,180.0,167.0,28716.0,165.0,15.0
2014-08-18,3.0,189.0,183.0,189.0,104.0,19233.0,180.0,9.0
2014-08-19,7.0,207.0,192.0,207.0,374.0,76978.0,189.0,18.0
2014-08-20,5.0,226.0,211.0,226.0,166.0,36808.0,207.0,19.0
2014-08-21,5.0,222.0,218.0,218.0,250.0,54580.0,226.0,-8.0
2014-08-24,7.0,239.0,222.0,235.0,799.0,186065.0,218.0,17.0
2014-08-25,2.0,231.0,227.0,227.0,102.0,23342.0,235.0,-8.0
2014-08-26,4.0,223.0,214.0,214.0,796.0,173166.0,227.0,-13.0
2014-08-28,1.0,218.0,218.0,218.0,100.0,21800.0,214.0,4.0
2014-09-04,1.0,222.0,222.0,222.0,869.0,192918.0,218.0,4.0
2014-09-09,1.0,226.0,226.0,226.0,100.0,22600.0,222.0,4.0
2014-09-28,2.0,222.0,222.0,222.0,20.0,4440.0,226.0,-4.0
2014-09-30,1.0,218.0,218.0,218.0,20.0,4360.0,222.0,-4.0
2014-10-19,2.0,214.0,214.0,214.0,836.0,178904.0,218.0,-4.0
2014-10-20,4.0,210.0,210.0,210.0,476.0,99960.0,214.0,-4.0
2014-10-21,2.0,210.0,210.0,210.0,137.0,28770.0,210.0,0.0
2014-11-16,1.0,210.0,210.0,210.0,314.0,65940.0,210.0,0.0
2014-12-09,6.0,206.0,192.0,192.0,240.0,47870.0,210.0,-18.0
2014-12-16,1.0,189.0,189.0,189.0,447.0,84483.0,192.0,-3.0
2014-12-21,1.0,192.0,192.0,192.0,233.0,44736.0,189.0,3.0
2015-01-19,1.0,170.0,170.0,170.0,439.0,74630.0,167.0,3.0
2015-01-26,1.0,173.0,173.0,173.0,447.0,77331.0,170.0,3.0
2015-07-06,1.0,176.0,176.0,176.0,99.0,17424.0,173.0,3.0
2015-08-05,1.0,179.0,179.0,179.0,103.0,18437.0,176.0,3.0
2015-08-18,5.0,194.0,182.0,194.0,1093.0,207164.0,179.0,15.0
2015-09-24,3.0,204.0,197.0,204.0,949.0,193450.0,194.0,10.0
2015-10-25,1.0,172.0,172.0,172.0,100.0,17200.0,169.0,3.0
2016-01-11,3.0,181.0,175.0,181.0,949.0,171679.0,172.0,9.0
2016-01-28,2.0,187.0,184.0,187.0,20.0,3710.0,181.0,6.0
2016-02-02,2.0,193.0,190.0,193.0,1416.0,273258.0,187.0,6.0
2016-02-22,2.0,199.0,196.0,199.0,113.0,22457.0,193.0,6.0
2016-02-24,4.0,214.0,202.0,214.0,1239.0,258462.0,199.0,15.0
2016-03-02,1.0,195.0,195.0,195.0,200.0,39000.0,189.0,6.0
2016-03-06,5.0,213.0,198.0,213.0,50.0,10260.0,195.0,18.0
2016-03-13,2.0,221.0,217.0,221.0,20.0,4380.0,213.0,8.0
2016-03-14,5.0,241.0,225.0,241.0,54.0,12614.0,221.0,20.0
2016-03-15,5.0,263.0,245.0,263.0,50.0,12680.0,241.0,22.0
2016-03-16,4.0,283.0,268.0,283.0,40.0,11020.0,263.0,20.0
2016-03-17,4.0,303.0,288.0,303.0,40.0,11820.0,283.0,20.0
2016-03-21,5.0,333.0,309.0,333.0,300.0,97860.0,303.0,30.0
2016-03-23,5.0,365.0,339.0,365.0,50.0,17580.0,333.0,32.0
2016-03-24,5.0,400.0,372.0,400.0,50.0,19300.0,365.0,35.0
2016-03-27,15.0,440.0,405.0,440.0,1411.0,602250.0,400.0,40.0
2016-03-28,25.0,484.0,448.0,460.0,2771.0,1289263.0,440.0,20.0
2016-03-29,15.0,469.0,425.0,425.0,1140.0,506810.0,460.0,-35.0
2016-03-30,8.0,425.0,417.0,417.0,970.0,406330.0,425.0,-8.0
2016-03-31,4.0,410.0,410.0,410.0,350.0,143500.0,417.0,-7.0
2016-04-03,7.0,409.0,394.0,408.0,829.0,332743.0,410.0,-2.0
