Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-06-29,1.0,244.0,244.0,244.0,4320.0,1054080.0,240.0,4.0
2014-08-07,2.0,240.0,240.0,240.0,15840.0,3801600.0,244.0,-4.0
2014-11-13,2.0,236.0,232.0,232.0,15840.0,3703680.0,240.0,-8.0
2014-12-23,2.0,232.0,232.0,232.0,2160.0,501120.0,232.0,0.0
2014-12-28,1.0,232.0,232.0,232.0,3520.0,816640.0,232.0,0.0
2015-07-13,1.0,246.0,246.0,246.0,11520.0,2833920.0,246.0,0.0
2015-08-10,1.0,246.0,246.0,246.0,4000.0,984000.0,246.0,0.0
2015-11-10,3.0,242.0,242.0,242.0,23400.0,5662800.0,246.0,-4.0
2015-11-15,3.0,238.0,238.0,238.0,21600.0,5140800.0,242.0,-4.0
2015-11-16,3.0,234.0,234.0,234.0,20880.0,4885920.0,238.0,-4.0
2016-08-21,1.0,551.0,551.0,551.0,2600.0,1432600.0,550.0,1.0
2016-09-07,1.0,551.0,551.0,551.0,1440.0,793440.0,551.0,0.0
2016-09-12,1.0,551.0,551.0,551.0,2871.0,1581921.0,551.0,0.0
2019-12-04,1.0,136.0,136.0,136.0,9440.0,1283840.0,136.0,0.0
2019-12-11,1.0,136.0,136.0,136.0,2000.0,272000.0,136.0,0.0
2020-02-05,3.0,136.0,136.0,136.0,12000.0,1632000.0,136.0,0.0
2020-07-23,1.0,185.0,185.0,185.0,6061.0,1121285.0,185.0,0.0
2020-07-28,1.0,185.0,185.0,185.0,16165.0,2990525.0,185.0,0.0
2020-09-16,1.0,182.0,182.0,182.0,5926.0,1078532.0,185.0,-3.0
2021-05-03,1.0,182.0,182.0,182.0,5000.0,910000.0,182.0,0.0
2022-01-16,1.0,274.0,274.0,274.0,45130.0,12365620.0,274.0,0.0
2022-01-20,1.0,274.0,274.0,274.0,8600.0,2356400.0,274.0,0.0
2022-01-25,1.0,274.0,274.0,274.0,8592.0,2354208.0,274.0,0.0
