Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-11-28,1.0,427.0,427.0,427.0,340.0,145180.0,435.0,-8.0
2013-12-26,2.0,443.0,435.0,443.0,510.0,223890.0,427.0,16.0
2014-01-06,1.0,435.0,435.0,435.0,219.0,95265.0,443.0,-8.0
2020-12-03,1.0,295.0,295.0,295.0,10.0,2950.0,290.0,5.0
2020-12-06,29.0,300.0,300.0,300.0,8390.0,2517000.0,295.0,5.0
2020-12-07,5.0,330.0,306.0,330.0,50.0,15900.0,300.0,30.0
2020-12-08,8.0,363.0,336.0,363.0,160.0,57340.0,330.0,33.0
2020-12-09,6.0,399.0,370.0,399.0,60.0,23190.0,363.0,36.0
2020-12-10,9.0,438.0,400.0,438.0,250.0,101560.0,399.0,39.0
2020-12-13,58.0,481.0,446.0,481.0,5450.0,2604600.0,438.0,43.0
2020-12-14,13.0,529.0,490.0,529.0,670.0,353360.0,481.0,48.0
2020-12-15,27.0,581.0,539.0,581.0,3440.0,1997570.0,529.0,52.0
2020-12-16,56.0,639.0,592.0,639.0,7501.0,4774521.0,581.0,58.0
2020-12-17,84.0,686.0,580.0,591.0,4695.0,2893370.0,639.0,-48.0
2020-12-20,11.0,580.0,537.0,537.0,350.0,190810.0,591.0,-54.0
2020-12-21,19.0,527.0,484.0,484.0,5170.0,2504740.0,537.0,-53.0
2020-12-22,15.0,475.0,436.0,436.0,615.0,269960.0,484.0,-48.0
2020-12-23,40.0,428.0,393.0,393.0,3463.0,1404309.0,436.0,-43.0
2020-12-24,70.0,386.0,354.0,377.0,23660.0,8539100.0,393.0,-16.0
2020-12-27,7.0,414.0,384.0,414.0,310.0,125010.0,377.0,37.0
2020-12-28,27.0,455.0,422.0,455.0,1785.0,807660.0,414.0,41.0
2020-12-29,117.0,500.0,464.0,500.0,9638.0,4802135.0,455.0,45.0
2020-12-30,90.0,520.0,450.0,450.0,5984.0,2826403.0,500.0,-50.0
2020-12-31,28.0,450.0,433.0,433.0,1778.0,787035.0,450.0,-17.0
2021-01-03,123.0,450.0,390.0,441.0,20237.0,8063524.0,433.0,8.0
2021-01-04,50.0,485.0,435.0,476.0,2945.0,1404925.0,441.0,35.0
2021-01-05,20.0,523.0,485.0,523.0,6655.0,3479195.0,476.0,47.0
2021-01-06,10.0,575.0,533.0,575.0,265.0,151305.0,523.0,52.0
2021-01-07,166.0,632.0,603.0,632.0,26188.0,16549116.0,575.0,57.0
2021-01-10,179.0,695.0,644.0,695.0,15905.0,10957256.0,632.0,63.0
2021-01-11,161.0,764.0,708.0,764.0,10813.0,8227794.0,695.0,69.0
2021-01-12,459.0,840.0,720.0,829.0,28984.0,22794925.0,764.0,65.0
2021-01-13,9.0,511.0,474.0,511.0,481.0,237091.0,465.0,46.0
2021-01-17,41.0,562.0,521.0,562.0,7180.0,4031070.0,511.0,51.0
2021-01-18,43.0,618.0,573.0,618.0,5430.0,3342600.0,562.0,56.0
2021-01-19,238.0,679.0,630.0,679.0,29142.0,19517920.0,618.0,61.0
2021-01-20,116.0,746.0,692.0,746.0,10415.0,7677602.0,679.0,67.0
2021-01-21,197.0,783.0,672.0,696.0,11045.0,7958314.0,746.0,-50.0
2021-01-24,114.0,696.0,627.0,627.0,6893.0,4347771.0,696.0,-69.0
2021-01-25,201.0,689.0,565.0,660.0,12599.0,7619442.0,627.0,33.0
2021-01-26,70.0,687.0,637.0,648.0,4596.0,3023827.0,660.0,-12.0
2021-01-27,87.0,655.0,625.0,640.0,6994.0,4416749.0,648.0,-8.0
2021-01-28,52.0,675.0,640.0,640.0,2890.0,1870015.0,640.0,0.0
2021-01-31,170.0,704.0,640.0,677.0,13524.0,8969897.0,640.0,37.0
2021-02-01,52.0,690.0,663.0,677.0,3224.0,2183933.0,677.0,0.0
2021-02-02,33.0,690.0,657.0,661.0,1716.0,1144325.0,677.0,-16.0
2021-02-03,89.0,652.0,625.0,632.0,6577.0,4215445.0,661.0,-29.0
2021-02-04,49.0,663.0,625.0,645.0,2445.0,1567545.0,632.0,13.0
2021-02-07,61.0,645.0,625.0,627.0,4631.0,2908804.0,645.0,-18.0
2021-02-08,56.0,625.0,616.0,618.0,4392.0,2717813.0,627.0,-9.0
2021-02-09,60.0,618.0,605.0,610.0,4060.0,2470555.0,618.0,-8.0
2021-02-10,61.0,618.0,596.0,606.0,4718.0,2854542.0,610.0,-4.0
2021-02-11,39.0,605.0,593.0,599.0,3004.0,1798032.0,606.0,-7.0
2021-02-14,44.0,595.0,568.0,580.0,2775.0,1620025.0,599.0,-19.0
2021-02-15,70.0,637.0,568.0,611.0,5285.0,3159490.0,580.0,31.0
2021-02-16,27.0,615.0,599.0,603.0,1902.0,1157813.0,611.0,-8.0
2021-02-17,37.0,616.0,590.0,602.0,2175.0,1314210.0,603.0,-1.0
2021-02-18,34.0,622.0,590.0,593.0,1759.0,1062780.0,602.0,-9.0
2021-02-21,15.0,607.0,586.0,607.0,880.0,528970.0,593.0,14.0
2021-02-22,22.0,605.0,595.0,604.0,1719.0,1032125.0,607.0,-3.0
2021-02-23,31.0,600.0,580.0,585.0,1200.0,707105.0,604.0,-19.0
2021-02-24,16.0,610.0,592.0,599.0,1385.0,824705.0,585.0,14.0
2021-02-25,40.0,610.0,578.0,580.0,2166.0,1273420.0,599.0,-19.0
2021-02-28,14.0,591.0,571.0,578.0,751.0,433161.0,580.0,-2.0
2021-03-01,29.0,608.0,570.0,591.0,1190.0,688904.0,578.0,13.0
2021-03-02,25.0,583.0,562.0,575.0,1074.0,619358.0,591.0,-16.0
2021-03-03,36.0,580.0,545.0,550.0,2197.0,1207025.0,575.0,-25.0
2021-03-04,23.0,561.0,550.0,555.0,1625.0,903335.0,550.0,5.0
2021-03-07,20.0,566.0,544.0,549.0,776.0,426786.0,555.0,-6.0
2021-03-09,27.0,540.0,520.0,531.0,1235.0,656794.0,549.0,-18.0
2021-03-10,11.0,534.0,523.0,534.0,758.0,398677.0,531.0,3.0
2021-03-14,41.0,540.0,501.0,503.0,1946.0,996370.0,534.0,-31.0
2021-03-15,24.0,513.0,494.0,513.0,1277.0,649103.0,503.0,10.0
2021-03-16,21.0,532.0,522.0,528.0,1311.0,686442.0,513.0,15.0
2021-03-17,7.0,527.0,518.0,525.0,218.0,114059.0,528.0,-3.0
2021-03-18,26.0,560.0,525.0,559.0,955.0,516755.0,525.0,34.0
2021-03-21,23.0,569.0,538.0,558.0,1958.0,1080709.0,559.0,-1.0
2021-03-22,16.0,550.0,537.0,545.0,1402.0,755701.0,558.0,-13.0
2021-03-23,12.0,571.0,535.0,540.0,1135.0,630985.0,545.0,-5.0
2021-03-24,11.0,550.0,539.0,539.0,316.0,171189.0,540.0,-1.0
2021-03-25,17.0,549.0,529.0,538.0,913.0,487237.0,539.0,-1.0
2021-03-29,8.0,541.0,522.0,532.0,495.0,262685.0,538.0,-6.0
2021-03-30,21.0,555.0,535.0,550.0,1746.0,954940.0,532.0,18.0
2021-03-31,7.0,545.0,539.0,545.0,170.0,91930.0,550.0,-5.0
2021-04-01,26.0,555.0,537.0,550.0,2572.0,1402442.0,545.0,5.0
2021-04-04,7.0,540.0,535.0,536.0,213.0,114293.0,550.0,-14.0
2021-04-05,26.0,561.0,528.0,545.0,1780.0,982580.0,536.0,9.0
2021-04-06,31.0,571.0,550.0,565.0,2615.0,1469495.0,545.0,20.0
2021-04-07,42.0,586.0,558.0,586.0,3140.0,1800451.0,565.0,21.0
2021-04-08,41.0,611.0,575.0,595.0,2555.0,1527921.0,586.0,9.0
2021-04-12,27.0,615.0,580.0,585.0,2144.0,1266524.0,595.0,-10.0
2021-04-13,7.0,595.0,584.0,595.0,650.0,385050.0,585.0,10.0
2021-04-15,20.0,603.0,576.0,595.0,1330.0,781233.0,595.0,0.0
2021-04-18,9.0,592.0,576.0,577.0,408.0,235654.0,595.0,-18.0
2021-04-19,15.0,585.0,566.0,570.0,869.0,497714.0,577.0,-7.0
2021-04-20,20.0,592.0,563.0,592.0,1640.0,945630.0,570.0,22.0
2021-04-21,31.0,599.0,561.0,570.0,2030.0,1176988.0,592.0,-22.0
2021-04-22,27.0,592.0,560.0,574.0,1707.0,976642.0,570.0,4.0
2021-04-25,297.0,563.0,518.0,527.0,24805.0,13098680.0,574.0,-47.0
2021-04-26,161.0,518.0,490.0,500.0,17042.0,8544770.0,527.0,-27.0
2021-04-27,121.0,526.0,490.0,513.0,11513.0,5898416.0,500.0,13.0
2021-04-28,140.0,553.0,513.0,538.0,9228.0,4962979.0,513.0,25.0
2021-04-29,128.0,541.0,509.0,530.0,11449.0,6046328.0,538.0,-8.0
2021-05-02,88.0,525.0,510.0,524.0,7418.0,3841239.0,530.0,-6.0
2021-05-03,57.0,560.0,516.0,525.0,4351.0,2298639.0,524.0,1.0
2021-05-04,22.0,525.0,518.0,522.0,2480.0,1294025.0,525.0,-3.0
2021-05-05,29.0,523.0,516.0,519.0,2152.0,1118627.0,522.0,-3.0
2021-05-06,75.0,530.0,511.0,530.0,10904.0,5641245.0,519.0,11.0
2021-05-09,54.0,529.0,512.0,516.0,5562.0,2880472.0,530.0,-14.0
2021-05-10,42.0,530.0,514.0,524.0,7017.0,3658751.0,516.0,8.0
2021-05-11,245.0,570.0,519.0,570.0,24143.0,13275664.0,524.0,46.0
2021-05-12,414.0,627.0,569.0,627.0,37347.0,22979583.0,570.0,57.0
2021-05-13,257.0,689.0,610.0,649.0,20390.0,13196841.0,627.0,22.0
2021-05-16,244.0,657.0,610.0,624.0,27665.0,17169361.0,649.0,-25.0
2021-05-17,201.0,686.0,611.0,636.0,28291.0,18183755.0,624.0,12.0
2021-05-18,78.0,660.0,631.0,659.0,6108.0,3956486.0,636.0,23.0
2021-05-19,68.0,660.0,624.0,630.0,5285.0,3367129.0,659.0,-29.0
2021-05-20,65.0,637.0,616.0,630.0,7236.0,4514302.0,630.0,0.0
2021-05-23,330.0,693.0,621.0,685.0,42750.0,28585393.0,630.0,55.0
2021-05-24,168.0,702.0,673.0,681.0,30402.0,20746494.0,685.0,-4.0
2021-05-25,200.0,740.0,681.0,725.0,30589.0,21832196.0,681.0,44.0
2021-05-27,162.0,765.0,687.0,746.0,23630.0,17266704.0,725.0,21.0
2021-05-30,123.0,750.0,721.0,727.0,17160.0,12634675.0,746.0,-19.0
2021-05-31,385.0,799.0,740.0,781.0,59257.0,46377589.0,727.0,54.0
2021-06-01,204.0,830.0,781.0,811.0,32471.0,26178425.0,781.0,30.0
2021-06-02,148.0,851.0,781.0,805.0,12941.0,10194935.0,811.0,-6.0
2021-06-03,243.0,845.0,743.0,770.0,36472.0,27908584.0,805.0,-35.0
2021-06-06,447.0,831.0,724.0,724.0,51728.0,39920013.0,770.0,-46.0
2021-06-07,180.0,724.0,683.0,702.0,20332.0,14284568.0,724.0,-21.0
2021-06-08,120.0,737.0,690.0,695.0,13098.0,9135912.0,702.0,-7.0
2021-06-09,95.0,731.0,682.0,710.0,14764.0,10430930.0,695.0,15.0
2021-06-10,70.0,724.0,687.0,710.0,8497.0,5940016.0,710.0,0.0
2021-06-13,159.0,745.0,678.0,691.0,15779.0,10971369.0,710.0,-19.0
2021-06-14,127.0,732.0,678.0,690.0,11014.0,7597010.0,691.0,-1.0
2021-06-15,147.0,717.0,660.0,667.0,13057.0,8819670.0,690.0,-23.0
2021-06-16,124.0,660.0,629.0,635.0,9932.0,6323524.0,667.0,-32.0
2021-06-17,71.0,661.0,635.0,651.0,8962.0,5888931.0,635.0,16.0
