Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,32.0,1320.0,1210.0,1313.0,2718.0,3553566.0,1200.0,113.0
2012-06-04,23.0,1313.0,1265.0,1290.0,2280.0,2925158.0,1313.0,-23.0
2012-06-05,15.0,1265.0,1217.0,1242.0,1088.0,1344490.0,1290.0,-48.0
2012-06-06,37.0,1221.0,1190.0,1206.0,4535.0,5453690.0,1242.0,-36.0
2012-06-07,18.0,1258.0,1210.0,1225.0,1504.0,1842091.0,1206.0,19.0
2012-06-10,16.0,1210.0,1188.0,1205.0,1572.0,1885886.0,1225.0,-20.0
2012-06-11,12.0,1253.0,1200.0,1200.0,602.0,731386.0,1205.0,-5.0
2012-06-12,15.0,1210.0,1195.0,1210.0,1025.0,1231344.0,1200.0,10.0
2012-06-13,5.0,1220.0,1201.0,1220.0,197.0,237358.0,1210.0,10.0
2012-06-14,14.0,1215.0,1196.0,1212.0,903.0,1086881.0,1220.0,-8.0
2012-06-17,4.0,1205.0,1194.0,1205.0,306.0,366230.0,1212.0,-7.0
2012-06-18,7.0,1224.0,1200.0,1210.0,320.0,385750.0,1205.0,5.0
2012-06-19,8.0,1211.0,1186.0,1211.0,624.0,741650.0,1210.0,1.0
2012-06-20,6.0,1258.0,1195.0,1212.0,226.0,273250.0,1211.0,1.0
2012-06-21,12.0,1212.0,1200.0,1205.0,730.0,877100.0,1212.0,-7.0
2012-06-25,12.0,1264.0,1197.0,1264.0,721.0,890111.0,1205.0,59.0
2012-06-26,7.0,1239.0,1218.0,1226.0,358.0,438657.0,1264.0,-38.0
2012-06-27,13.0,1264.0,1240.0,1249.0,1302.0,1625366.0,1226.0,23.0
2012-06-28,13.0,1298.0,1250.0,1267.0,1238.0,1561068.0,1249.0,18.0
2012-07-01,10.0,1260.0,1250.0,1260.0,1135.0,1421841.0,1267.0,-7.0
2012-07-02,4.0,1250.0,1242.0,1245.0,790.0,983230.0,1260.0,-15.0
2012-07-03,13.0,1280.0,1250.0,1280.0,1302.0,1645671.0,1245.0,35.0
2012-07-04,14.0,1325.0,1281.0,1302.0,784.0,1014923.0,1280.0,22.0
2012-07-05,7.0,1293.0,1276.0,1293.0,789.0,1009916.0,1302.0,-9.0
2012-07-08,10.0,1281.0,1265.0,1281.0,1230.0,1559710.0,1293.0,-12.0
2012-07-09,9.0,1285.0,1260.0,1275.0,907.0,1156985.0,1281.0,-6.0
2012-07-10,10.0,1302.0,1288.0,1300.0,955.0,1237854.0,1275.0,25.0
2012-07-11,12.0,1316.0,1310.0,1310.0,1338.0,1758271.0,1300.0,10.0
2012-07-12,18.0,1319.0,1301.0,1319.0,1100.0,1437592.0,1310.0,9.0
2012-07-15,15.0,1365.0,1338.0,1355.0,1155.0,1560754.0,1319.0,36.0
2012-07-16,11.0,1353.0,1340.0,1350.0,904.0,1219646.0,1355.0,-5.0
2012-07-17,30.0,1371.0,1350.0,1371.0,2701.0,3660719.0,1350.0,21.0
2012-07-18,9.0,1395.0,1368.0,1382.0,2406.0,3300837.0,1371.0,11.0
2012-07-19,19.0,1443.0,1400.0,1430.0,1362.0,1925688.0,1382.0,48.0
2012-07-22,34.0,1478.0,1430.0,1475.0,4131.0,6062184.0,1430.0,45.0
2012-07-23,39.0,1502.0,1478.0,1483.0,3631.0,5405226.0,1475.0,8.0
2012-07-24,23.0,1486.0,1447.0,1474.0,3187.0,4648692.0,1483.0,-9.0
2012-07-25,25.0,1490.0,1462.0,1470.0,2707.0,3997149.0,1474.0,-4.0
2012-07-26,24.0,1465.0,1450.0,1450.0,1828.0,2657349.0,1470.0,-20.0
2012-07-29,10.0,1450.0,1431.0,1440.0,943.0,1355353.0,1450.0,-10.0
2012-07-30,20.0,1455.0,1420.0,1450.0,2028.0,2909372.0,1440.0,10.0
2012-07-31,9.0,1462.0,1441.0,1450.0,651.0,942590.0,1450.0,0.0
