Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-06-12,1.0,311.0,311.0,311.0,10.0,3110.0,0.0,311.0
2019-06-13,1.0,326.0,326.0,326.0,10.0,3260.0,311.0,15.0
2019-06-16,2.0,348.0,342.0,348.0,20.0,6900.0,326.0,22.0
2019-06-17,1.0,365.0,365.0,365.0,10.0,3650.0,348.0,17.0
2019-06-18,1.0,383.0,383.0,383.0,10.0,3830.0,365.0,18.0
2019-06-20,1.0,402.0,402.0,402.0,10.0,4020.0,383.0,19.0
2019-06-23,1.0,422.0,422.0,422.0,10.0,4220.0,402.0,20.0
2019-06-26,118.0,464.0,443.0,464.0,2339.0,1084916.0,422.0,42.0
2019-06-27,1008.0,509.0,445.0,501.0,12838.0,6168169.0,464.0,37.0
2019-06-30,299.0,501.0,476.0,480.0,4048.0,1967132.0,501.0,-21.0
2019-07-01,132.0,480.0,471.0,476.0,2380.0,1130490.0,480.0,-4.0
2019-07-02,135.0,494.0,472.0,486.0,1810.0,868000.0,476.0,10.0
2019-07-03,133.0,513.0,486.0,505.0,3120.0,1571070.0,486.0,19.0
2019-07-04,144.0,525.0,501.0,525.0,3390.0,1751620.0,505.0,20.0
2019-07-07,75.0,518.0,495.0,506.0,2740.0,1379650.0,525.0,-19.0
2019-07-08,52.0,500.0,482.0,491.0,1237.0,610475.0,506.0,-15.0
2019-07-09,35.0,499.0,487.0,495.0,350.0,172980.0,491.0,4.0
2019-07-10,22.0,506.0,486.0,493.0,500.0,248220.0,495.0,-2.0
2019-07-11,36.0,500.0,486.0,487.0,520.0,255370.0,493.0,-6.0
2019-07-14,35.0,494.0,478.0,494.0,1150.0,563180.0,487.0,7.0
2019-07-15,21.0,502.0,490.0,491.0,470.0,233830.0,494.0,-3.0
2019-07-16,13.0,491.0,484.0,486.0,130.0,63400.0,491.0,-5.0
2019-07-17,34.0,502.0,478.0,502.0,490.0,241650.0,486.0,16.0
2019-07-18,9.0,502.0,495.0,502.0,200.0,100220.0,502.0,0.0
2019-07-21,30.0,510.0,495.0,508.0,690.0,347360.0,502.0,6.0
2019-07-22,52.0,508.0,499.0,503.0,750.0,377910.0,508.0,-5.0
2019-07-23,43.0,513.0,500.0,511.0,760.0,387250.0,503.0,8.0
2019-07-24,63.0,540.0,511.0,540.0,2240.0,1177640.0,511.0,29.0
2019-07-25,40.0,535.0,521.0,535.0,1570.0,826880.0,540.0,-5.0
2019-07-28,70.0,550.0,526.0,540.0,2892.0,1542632.0,535.0,5.0
2019-07-29,104.0,594.0,550.0,594.0,4287.0,2501437.0,540.0,54.0
2019-07-30,101.0,653.0,605.0,653.0,6659.0,4208566.0,594.0,59.0
2019-07-31,186.0,718.0,655.0,718.0,6334.0,4490829.0,653.0,65.0
2019-08-01,80.0,789.0,732.0,789.0,1920.0,1509630.0,718.0,71.0
2019-08-04,73.0,867.0,828.0,867.0,3394.0,2929588.0,789.0,78.0
2019-08-05,258.0,953.0,821.0,860.0,8784.0,7817418.0,867.0,-7.0
2019-08-06,140.0,850.0,775.0,790.0,4422.0,3550465.0,860.0,-70.0
2019-08-07,118.0,869.0,746.0,869.0,3257.0,2726786.0,790.0,79.0
2019-08-08,57.0,869.0,830.0,860.0,1010.0,855130.0,869.0,-9.0
2019-08-11,75.0,892.0,828.0,859.0,2110.0,1777120.0,860.0,-1.0
2019-08-12,62.0,860.0,824.0,830.0,1485.0,1245535.0,859.0,-29.0
2019-08-13,42.0,869.0,830.0,865.0,805.0,684185.0,830.0,35.0
2019-08-14,27.0,882.0,817.0,842.0,410.0,340610.0,865.0,-23.0
2019-08-15,19.0,835.0,822.0,835.0,510.0,422040.0,842.0,-7.0
2019-08-18,94.0,835.0,780.0,810.0,1769.0,1422672.0,835.0,-25.0
2019-08-19,53.0,810.0,751.0,800.0,1780.0,1392720.0,810.0,-10.0
2019-08-20,25.0,800.0,784.0,790.0,400.0,316230.0,800.0,-10.0
2019-08-21,18.0,789.0,766.0,778.0,499.0,387473.0,790.0,-12.0
2019-08-22,15.0,783.0,768.0,783.0,590.0,461190.0,778.0,5.0
2019-08-25,19.0,783.0,759.0,783.0,360.0,275820.0,783.0,0.0
2019-08-26,10.0,780.0,766.0,779.0,120.0,92620.0,783.0,-4.0
2019-08-27,10.0,789.0,764.0,774.0,100.0,77290.0,779.0,-5.0
2019-08-28,12.0,775.0,763.0,775.0,217.0,166078.0,774.0,1.0
2019-08-29,8.0,770.0,760.0,770.0,80.0,61070.0,775.0,-5.0
2019-09-01,18.0,769.0,754.0,754.0,310.0,235070.0,770.0,-16.0
2019-09-02,36.0,760.0,727.0,760.0,820.0,602700.0,754.0,6.0
