Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,26.0,141.0,132.0,134.0,3995.0,548380.0,141.0,-7.0
2012-06-04,19.0,134.0,126.0,127.0,5305.0,683975.0,134.0,-7.0
2012-06-05,33.0,127.0,124.0,125.0,3340.0,419635.0,127.0,-2.0
2012-06-06,12.0,125.0,120.0,123.0,2810.0,342175.0,125.0,-2.0
2012-06-07,13.0,129.0,125.0,127.0,1828.0,231676.0,123.0,4.0
2012-06-10,10.0,127.0,120.0,120.0,3102.0,387599.0,127.0,-7.0
2012-06-12,14.0,127.0,121.0,121.0,4080.0,505160.0,120.0,1.0
2012-06-13,40.0,123.0,118.0,120.0,6810.0,816320.0,121.0,-1.0
2012-06-14,25.0,122.0,116.0,120.0,26075.0,3067935.0,120.0,0.0
2012-06-17,18.0,121.0,116.0,116.0,6845.0,804155.0,120.0,-4.0
2012-06-18,18.0,121.0,116.0,118.0,6400.0,750770.0,116.0,2.0
2012-06-19,15.0,121.0,118.0,119.0,9145.0,1091990.0,118.0,1.0
2012-06-20,20.0,127.0,120.0,121.0,4100.0,495070.0,119.0,2.0
2012-06-21,28.0,124.0,120.0,120.0,4675.0,566205.0,121.0,-1.0
2012-06-25,19.0,129.0,121.0,128.0,605.0,74895.0,120.0,8.0
2012-06-26,6.0,126.0,121.0,121.0,770.0,93470.0,128.0,-7.0
2012-06-27,18.0,125.0,118.0,122.0,4420.0,534470.0,121.0,1.0
2012-06-28,12.0,130.0,121.0,122.0,1775.0,221520.0,122.0,0.0
2012-07-01,6.0,123.0,122.0,123.0,970.0,119110.0,122.0,1.0
2012-07-02,15.0,123.0,120.0,123.0,1555.0,189070.0,123.0,0.0
2012-07-03,16.0,121.0,120.0,121.0,9615.0,1156915.0,123.0,-2.0
2012-07-04,44.0,126.0,119.0,124.0,47835.0,5758390.0,121.0,3.0
2012-07-05,12.0,126.0,124.0,125.0,1220.0,152060.0,124.0,1.0
2012-07-08,12.0,127.0,123.0,125.0,1925.0,239685.0,125.0,0.0
2012-07-09,16.0,127.0,123.0,125.0,4200.0,522475.0,125.0,0.0
2012-07-10,13.0,127.0,123.0,127.0,4065.0,504415.0,125.0,2.0
2012-07-11,6.0,125.0,125.0,125.0,365.0,45625.0,127.0,-2.0
2012-07-12,22.0,123.0,120.0,122.0,9776.0,1180911.0,125.0,-3.0
2012-07-15,7.0,123.0,120.0,121.0,4422.0,534331.0,122.0,-1.0
2012-07-16,39.0,128.0,120.0,126.0,15135.0,1865005.0,121.0,5.0
2012-07-17,8.0,126.0,124.0,124.0,2010.0,250310.0,126.0,-2.0
2012-07-18,16.0,130.0,125.0,128.0,5690.0,731330.0,124.0,4.0
2012-07-19,53.0,136.0,129.0,136.0,14905.0,1975700.0,128.0,8.0
2012-07-22,61.0,143.0,138.0,143.0,16655.0,2340040.0,136.0,7.0
2012-07-23,58.0,150.0,144.0,147.0,11225.0,1661940.0,143.0,4.0
2012-07-24,25.0,145.0,135.0,141.0,4291.0,601356.0,147.0,-6.0
2012-07-25,25.0,146.0,140.0,140.0,24791.0,3552162.0,141.0,-1.0
2012-07-26,9.0,140.0,139.0,139.0,1975.0,274905.0,140.0,-1.0
2012-07-29,8.0,140.0,133.0,133.0,2270.0,304935.0,139.0,-6.0
2012-07-30,60.0,146.0,135.0,146.0,23541.0,3425136.0,133.0,13.0
2012-07-31,82.0,155.0,143.0,145.0,16124.0,2385138.0,146.0,-1.0
2012-08-01,17.0,145.0,141.0,141.0,2755.0,395030.0,145.0,-4.0
2012-08-05,19.0,139.0,134.0,137.0,7020.0,956090.0,141.0,-4.0
2012-08-06,17.0,144.0,139.0,144.0,2300.0,323395.0,137.0,7.0
2012-08-07,11.0,142.0,137.0,139.0,2996.0,414233.0,144.0,-5.0
2012-08-08,10.0,141.0,135.0,137.0,2723.0,369505.0,139.0,-2.0
2012-08-12,18.0,139.0,133.0,134.0,3153.0,428702.0,137.0,-3.0
2012-08-13,19.0,133.0,128.0,132.0,6360.0,829990.0,134.0,-2.0
2012-08-14,14.0,130.0,124.0,127.0,3905.0,491735.0,132.0,-5.0
2012-08-15,8.0,127.0,123.0,127.0,2475.0,309825.0,127.0,0.0
2012-08-16,15.0,130.0,125.0,130.0,5520.0,698735.0,127.0,3.0
2012-08-19,6.0,142.0,132.0,142.0,135.0,18200.0,130.0,12.0
2012-08-21,19.0,140.0,132.0,134.0,4670.0,623780.0,142.0,-8.0
2012-08-22,12.0,137.0,135.0,135.0,3293.0,445255.0,134.0,1.0
2012-08-23,17.0,137.0,133.0,135.0,1985.0,266040.0,135.0,0.0
2012-08-26,43.0,133.0,122.0,125.0,11828.0,1464459.0,135.0,-10.0
2012-08-27,30.0,137.0,127.0,137.0,6523.0,889851.0,125.0,12.0
2012-08-28,49.0,143.0,132.0,132.0,8713.0,1190560.0,137.0,-5.0
2012-08-29,9.0,138.0,134.0,138.0,1755.0,238430.0,132.0,6.0
2012-08-30,23.0,147.0,136.0,147.0,7638.0,1051648.0,138.0,9.0
2012-09-02,17.0,145.0,135.0,138.0,1695.0,236060.0,147.0,-9.0
2012-09-03,33.0,136.0,131.0,133.0,12295.0,1641775.0,138.0,-5.0
2012-09-04,44.0,133.0,130.0,130.0,15850.0,2070460.0,133.0,-3.0
2012-09-05,44.0,132.0,130.0,130.0,15491.0,2015812.0,130.0,0.0
2012-09-06,44.0,135.0,128.0,131.0,56785.0,7408110.0,130.0,1.0
2012-09-09,23.0,142.0,132.0,134.0,4360.0,603350.0,131.0,3.0
2012-09-10,25.0,138.0,133.0,133.0,5368.0,722497.0,134.0,-1.0
2012-09-11,38.0,138.0,132.0,134.0,32825.0,4384725.0,133.0,1.0
2012-09-12,151.0,147.0,135.0,147.0,44676.0,6473463.0,134.0,13.0
2012-09-13,100.0,161.0,145.0,151.0,47011.0,7037879.0,147.0,4.0
2012-09-16,93.0,161.0,150.0,158.0,26770.0,4147950.0,151.0,7.0
2012-09-17,47.0,165.0,156.0,163.0,19725.0,3153975.0,158.0,5.0
2012-09-18,51.0,172.0,161.0,168.0,17988.0,2971463.0,163.0,5.0
2012-09-19,66.0,168.0,159.0,162.0,25128.0,4083433.0,168.0,-6.0
2012-09-20,62.0,172.0,159.0,162.0,20298.0,3290425.0,162.0,0.0
2012-09-23,49.0,160.0,153.0,153.0,15831.0,2479349.0,162.0,-9.0
2012-09-24,36.0,151.0,148.0,148.0,13000.0,1938900.0,153.0,-5.0
2012-09-25,13.0,152.0,148.0,148.0,5400.0,803640.0,148.0,0.0
2012-09-26,3.0,148.0,148.0,148.0,193.0,28564.0,148.0,0.0
2012-09-27,11.0,153.0,146.0,151.0,3033.0,448500.0,148.0,3.0
2012-09-30,38.0,158.0,145.0,158.0,11530.0,1741115.0,151.0,7.0
2012-10-01,61.0,166.0,156.0,159.0,24514.0,3933795.0,158.0,1.0
2012-10-02,17.0,158.0,152.0,155.0,8763.0,1356817.0,159.0,-4.0
2012-10-03,50.0,161.0,155.0,157.0,27290.0,4300085.0,155.0,2.0
2012-10-04,34.0,159.0,155.0,159.0,14650.0,2319255.0,157.0,2.0
2012-10-07,56.0,160.0,155.0,155.0,42368.0,6683916.0,159.0,-4.0
2012-10-08,24.0,162.0,158.0,162.0,18053.0,2886647.0,155.0,7.0
2012-10-09,16.0,162.0,158.0,158.0,14030.0,2220560.0,162.0,-4.0
2012-10-10,31.0,161.0,157.0,160.0,14935.0,2373325.0,158.0,2.0
2012-10-11,22.0,160.0,159.0,160.0,8378.0,1340120.0,160.0,0.0
2012-10-14,60.0,169.0,162.0,166.0,23193.0,3827248.0,160.0,6.0
