Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-02-09,1.0,10.0,10.0,10.0,500.0,5000.0,0.0,10.0
2020-02-11,1.0,9.89,9.89,9.89,100.0,989.0,10.0,-0.11
2020-02-16,8.0,9.7,9.23,9.23,4010.0,37428.3,9.89,-0.66
2020-02-17,41.0,9.41,8.92,9.29,35450.0,323547.5,9.23,0.06
2020-02-18,13.0,9.48,9.16,9.35,24500.0,231056.0,9.29,0.06
2020-02-19,16.0,9.48,9.22,9.48,6660.0,62138.2,9.35,0.13
2020-02-20,15.0,9.64,9.4,9.58,9100.0,86936.0,9.48,0.1
2020-02-23,1.0,9.39,9.39,9.39,100.0,939.0,9.58,-0.19
2020-02-24,13.0,9.6,9.25,9.43,8800.0,83067.0,9.39,0.04
2020-02-25,9.0,9.48,9.43,9.43,4350.0,41061.5,9.43,0.0
2020-02-26,5.0,9.69,9.41,9.69,26500.0,252435.0,9.43,0.26
2020-02-27,12.0,9.94,9.75,9.76,6250.0,61545.0,9.69,0.07
2020-03-01,12.0,9.8,9.48,9.48,4800.0,46229.0,9.76,-0.28
2020-03-02,14.0,9.69,9.4,9.4,15990.0,152375.0,9.48,-0.08
2020-03-03,16.0,9.3,9.12,9.23,13710.0,126677.0,9.4,-0.17
2020-03-04,12.0,9.2,8.98,8.98,28000.0,254090.0,9.23,-0.25
2020-03-05,5.0,8.86,8.81,8.86,11200.0,99201.0,8.98,-0.12
2020-03-11,4.0,8.69,8.69,8.69,3100.0,26939.0,8.86,-0.17
2020-03-12,9.0,8.86,8.63,8.86,8700.0,75893.0,8.69,0.17
2020-03-15,11.0,8.72,8.21,8.21,6600.0,56731.0,8.86,-0.65
2020-03-16,15.0,8.25,8.05,8.18,15000.0,122917.0,8.21,-0.03
2020-03-17,9.0,8.36,8.14,8.26,11800.0,97586.0,8.18,0.08
2020-03-18,4.0,8.27,8.2,8.2,8300.0,68620.0,8.26,-0.06
2020-03-19,3.0,8.21,8.05,8.21,1600.0,12965.0,8.2,0.01
2020-07-14,5.0,9.03,8.37,9.03,9100.0,77987.0,8.21,0.82
2020-07-15,38.0,9.93,9.21,9.9,47000.0,448682.0,9.03,0.87
2020-07-16,16.0,9.71,9.52,9.52,21600.0,206771.0,9.9,-0.38
2020-07-20,14.0,9.6,9.53,9.54,13700.0,130992.0,9.52,0.02
2020-07-21,18.0,9.62,9.56,9.6,17000.0,162684.0,9.54,0.06
2020-07-22,10.0,9.56,9.55,9.55,16150.0,154294.0,9.6,-0.05
2020-07-23,32.0,9.55,9.03,9.55,61100.0,575058.0,9.55,0.0
2020-07-26,26.0,9.7,9.5,9.5,21550.0,205124.0,9.55,-0.05
2020-07-27,28.0,9.5,9.38,9.49,133700.0,1263819.0,9.5,-0.01
2020-07-28,16.0,9.51,9.46,9.51,19500.0,184776.0,9.49,0.02
2020-07-29,15.0,9.48,9.4,9.42,5440.0,51374.0,9.51,-0.09
2020-07-30,9.0,9.5,9.31,9.5,4800.0,45105.0,9.42,0.08
2020-08-02,20.0,9.45,9.31,9.37,50010.0,468150.5,9.5,-0.13
2020-08-03,13.0,9.35,9.23,9.31,9300.0,86434.0,9.37,-0.06
2020-08-05,29.0,9.3,9.13,9.2,69100.0,637364.0,9.31,-0.11
2020-08-06,4.0,9.2,9.11,9.15,1400.0,12827.0,9.2,-0.05
2020-08-09,17.0,9.4,9.15,9.4,12970.0,120070.3,9.15,0.25
2020-08-10,15.0,9.58,9.23,9.35,25410.0,236490.5,9.4,-0.05
2020-08-11,12.0,9.53,9.35,9.4,21900.0,206466.0,9.35,0.05
2020-08-12,12.0,9.48,9.3,9.48,15900.0,150183.0,9.4,0.08
2020-08-13,15.0,9.45,9.39,9.41,26200.0,247238.0,9.48,-0.07
2020-08-16,11.0,9.41,9.36,9.39,12800.0,120350.0,9.41,-0.02
2020-08-17,9.0,9.5,9.33,9.5,43880.0,411811.0,9.39,0.11
2020-08-18,17.0,9.5,9.37,9.41,16620.0,156117.0,9.5,-0.09
2020-08-19,13.0,9.4,9.3,9.36,5500.0,51390.0,9.41,-0.05
2020-08-20,6.0,9.45,9.34,9.36,3100.0,29003.0,9.36,0.0
2020-08-23,18.0,9.53,9.34,9.5,7100.0,67031.0,9.36,0.14
2020-08-24,14.0,9.5,9.42,9.5,59250.0,560863.0,9.5,0.0
2020-08-25,9.0,9.5,9.46,9.48,23100.0,218660.0,9.5,-0.02
2020-08-26,29.0,9.55,9.44,9.47,88300.0,838099.0,9.48,-0.01
2020-08-27,67.0,9.99,9.47,9.89,157400.0,1558495.0,9.47,0.42
2020-08-30,5.0,9.9,9.89,9.9,10000.0,98925.0,9.89,0.01
2020-08-31,18.0,10.0,9.71,9.86,11000.0,108648.0,9.9,-0.04
2020-09-02,24.0,9.85,9.6,9.8,21650.0,211417.0,9.86,-0.06
2020-09-03,43.0,10.19,9.65,10.19,43850.0,441828.0,9.8,0.39
2020-09-06,41.0,10.39,10.02,10.17,32500.0,330832.0,10.19,-0.02
2020-09-07,28.0,10.27,10.2,10.25,47510.0,486911.2,10.17,0.08
2020-09-08,32.0,10.38,10.11,10.12,130800.0,1329872.0,10.25,-0.13
2020-09-09,36.0,10.35,9.62,10.25,72550.0,744034.0,10.12,0.13
2020-09-13,6.0,10.05,9.3,9.3,21300.0,205590.0,10.25,-0.95
2020-09-14,21.0,9.26,9.16,9.2,28800.0,266068.0,9.3,-0.1
2020-09-15,76.0,9.2,9.0,9.2,277810.0,2514563.5,9.2,0.0
2020-09-16,10.0,9.02,8.91,9.0,7800.0,70089.0,9.2,-0.2
2020-09-17,10.0,9.0,8.83,8.88,26000.0,229972.0,9.0,-0.12
2020-09-20,17.0,8.9,8.71,8.9,11800.0,103794.0,8.88,0.02
2020-09-21,51.0,9.0,8.76,8.85,160960.0,1428183.0,8.9,-0.05
2020-09-22,17.0,8.9,8.7,8.81,14000.0,123759.0,8.85,-0.04
2020-09-23,51.0,8.97,8.68,8.85,99820.0,882088.0,8.81,0.04
2020-09-24,56.0,9.02,8.62,8.7,129550.0,1133893.0,8.85,-0.15
2020-09-27,17.0,8.84,8.59,8.84,161290.0,1409384.6,8.7,0.14
2020-09-28,15.0,9.0,8.67,8.85,4800.0,42051.0,8.84,0.01
2020-09-29,9.0,9.01,8.85,9.0,9700.0,87284.0,8.85,0.15
2020-09-30,8.0,9.05,8.85,8.9,6800.0,60620.0,9.0,-0.1
2020-10-01,40.0,8.97,8.77,8.97,40950.0,361031.0,8.9,0.07
2020-10-04,37.0,9.0,8.66,8.91,53100.0,468664.5,8.97,-0.06
2020-10-05,17.0,9.08,8.77,8.9,61000.0,540010.0,8.91,-0.01
2020-10-06,13.0,9.14,8.89,9.14,6900.0,62299.0,8.9,0.24
2020-10-07,15.0,9.2,8.85,9.18,93400.0,839566.0,9.14,0.04
2020-10-08,16.0,9.24,9.06,9.15,27200.0,248536.0,9.18,-0.03
2020-10-11,15.0,9.06,8.89,9.01,13200.0,118838.0,9.15,-0.14
2020-10-12,11.0,9.06,8.9,9.0,6000.0,53858.0,9.01,-0.01
2020-10-13,24.0,9.0,8.83,8.89,33650.0,300356.0,9.0,-0.11
2020-10-14,16.0,9.05,8.76,9.0,19900.0,176696.0,8.89,0.11
2020-10-15,19.0,9.15,8.89,9.0,54850.0,493533.0,9.0,0.0
2020-10-18,12.0,9.1,8.85,8.95,9200.0,82930.5,9.0,-0.05
2020-10-19,8.0,9.0,8.95,9.0,14700.0,131850.0,8.95,0.05
2020-10-20,16.0,9.15,9.01,9.06,40900.0,373049.0,9.0,0.06
2020-10-21,5.0,9.09,9.01,9.05,2500.0,22665.0,9.06,-0.01
2020-10-22,11.0,9.18,8.87,9.18,10810.0,98136.5,9.05,0.13
2020-10-28,23.0,9.36,8.8,9.35,54200.0,500201.5,9.18,0.17
2020-10-29,31.0,9.45,9.17,9.34,59210.0,552743.7,9.35,-0.01
2020-11-01,23.0,9.3,9.2,9.23,10400.0,96108.0,9.34,-0.11
2020-11-02,21.0,9.25,9.2,9.25,11200.0,103234.0,9.23,0.02
2020-11-03,38.0,9.55,9.1,9.54,53770.0,510732.0,9.25,0.29
2020-11-04,15.0,9.45,9.08,9.45,6300.0,58955.0,9.54,-0.09
2020-11-05,28.0,9.6,9.45,9.6,31700.0,303500.0,9.45,0.15
2020-11-08,35.0,9.69,9.46,9.46,130550.0,1243867.5,9.6,-0.14
2020-11-09,22.0,9.6,9.41,9.56,169660.0,1627795.5,9.46,0.1
2020-11-10,24.0,9.5,9.4,9.45,62940.0,597695.0,9.56,-0.11
2020-11-11,45.0,10.1,9.28,10.0,264770.0,2603878.4,9.45,0.55
2020-11-12,37.0,10.0,9.91,10.0,156260.0,1551802.0,10.0,0.0
2020-11-18,27.0,10.0,9.9,9.96,71250.0,710421.0,10.0,-0.04
2020-11-19,30.0,10.1,9.96,9.99,30960.0,310283.1,9.96,0.03
2020-11-22,60.0,10.1,10.0,10.02,112050.0,1122051.0,9.99,0.03
2020-11-23,43.0,10.1,9.78,9.78,81900.0,819174.0,10.02,-0.24
2020-11-24,24.0,9.97,9.67,9.85,56450.0,554073.0,9.78,0.07
2020-11-25,48.0,10.14,9.86,10.02,169000.0,1698585.0,9.85,0.17
2020-11-26,59.0,10.13,10.02,10.03,142900.0,1442228.0,10.02,0.01
2020-11-29,87.0,10.25,10.0,10.21,653050.0,6585770.5,10.03,0.18
2020-11-30,59.0,10.39,10.05,10.2,202100.0,2079829.0,10.21,-0.01
2020-12-01,15.0,10.0,9.81,9.86,17400.0,172282.5,10.2,-0.34
2020-12-02,30.0,10.09,9.7,10.05,49550.0,496524.0,9.86,0.19
2020-12-03,38.0,10.01,9.86,10.0,117030.0,1168695.32,10.05,-0.05
2020-12-06,19.0,9.81,9.63,9.68,16500.0,159558.0,10.0,-0.32
2020-12-07,29.0,9.94,9.68,9.85,15990.0,156472.2,9.68,0.17
2020-12-08,19.0,9.92,9.67,9.9,20500.0,199846.0,9.85,0.05
2020-12-09,17.0,9.71,9.65,9.68,10710.0,103642.6,9.9,-0.22
2020-12-10,18.0,9.84,9.59,9.67,13200.0,127707.0,9.68,-0.01
2020-12-13,22.0,9.75,9.5,9.61,22200.0,213687.0,9.67,-0.06
2020-12-14,31.0,9.99,9.61,9.77,47760.0,467247.8,9.61,0.16
2020-12-15,26.0,10.12,9.7,9.74,18150.0,179471.0,9.77,-0.03
2020-12-16,28.0,9.83,9.6,9.83,62100.0,608332.0,9.74,0.09
2020-12-17,20.0,9.91,9.64,9.72,40700.0,398812.0,9.83,-0.11
2020-12-20,25.0,9.7,9.55,9.6,42100.0,404630.0,9.72,-0.12
2020-12-21,18.0,9.6,9.43,9.45,15950.0,152258.0,9.6,-0.15
2020-12-22,21.0,9.79,9.37,9.7,18400.0,176230.0,9.45,0.25
2020-12-23,32.0,9.7,9.52,9.7,14470.0,139025.7,9.7,0.0
2020-12-24,44.0,9.74,9.52,9.6,125170.0,1200453.4,9.7,-0.1
2020-12-27,41.0,9.7,9.36,9.7,38400.0,366693.0,9.6,0.1
2020-12-28,19.0,9.7,9.47,9.56,60450.0,573150.5,9.7,-0.14
2020-12-29,36.0,9.75,9.4,9.4,86520.0,824300.79,9.56,-0.16
2020-12-30,48.0,10.04,9.4,10.04,106570.0,1057397.6,9.4,0.64
2020-12-31,37.0,10.0,9.74,9.75,54700.0,538152.0,10.04,-0.29
2021-01-03,31.0,9.9,9.65,9.76,41000.0,402212.5,9.75,0.01
2021-01-04,18.0,9.82,9.7,9.82,11150.0,108869.5,9.76,0.06
2021-01-05,36.0,9.89,9.65,9.81,63600.0,619650.0,9.82,-0.01
2021-01-06,43.0,9.89,9.71,9.89,79760.0,782061.0,9.81,0.08
2021-01-07,23.0,9.94,9.75,9.83,22950.0,226154.0,9.89,-0.06
2021-01-10,40.0,9.97,9.72,9.97,192080.0,1903752.4,9.83,0.14
2021-01-11,48.0,10.05,9.81,9.9,85520.0,849461.0,9.97,-0.07
2021-01-12,38.0,10.15,9.78,10.15,70840.0,708768.5,9.9,0.25
2021-01-13,56.0,10.25,10.01,10.14,156800.0,1588640.5,10.15,-0.01
2021-01-17,54.0,10.25,9.94,10.09,111820.0,1139092.9,10.14,-0.05
2021-01-18,68.0,10.45,10.2,10.27,244700.0,2527115.0,10.09,0.18
2021-01-19,97.0,10.4,10.16,10.34,489850.0,5047287.5,10.27,0.07
2021-01-20,58.0,10.4,10.15,10.35,236800.0,2449262.0,10.34,0.01
2021-01-21,90.0,10.5,10.31,10.4,395460.0,4115521.5,10.35,0.05
2021-01-24,78.0,10.4,10.2,10.3,383490.0,3950648.3,10.4,-0.1
2021-01-25,69.0,10.4,10.26,10.35,434070.0,4483448.8,10.3,0.05
2021-01-26,69.0,10.5,10.3,10.4,336900.0,3512061.0,10.35,0.05
2021-01-27,74.0,10.46,10.21,10.4,411500.0,4281327.0,10.4,0.0
2021-01-28,54.0,10.49,10.25,10.49,139950.0,1454236.0,10.4,0.09
2021-01-31,45.0,10.34,10.14,10.31,140850.0,1453954.0,10.49,-0.18
2021-02-01,27.0,10.4,10.12,10.4,48500.0,497713.0,10.31,0.09
2021-02-02,40.0,10.5,10.3,10.5,30850.0,320869.5,10.4,0.1
2021-02-03,91.0,10.6,10.33,10.62,244680.0,2560640.3,10.5,0.12
2021-02-04,43.0,10.49,10.31,10.35,365710.0,3782857.5,10.62,-0.27
2021-02-07,41.0,10.4,10.2,10.35,80500.0,830080.0,10.35,0.0
2021-02-08,82.0,10.51,10.26,10.51,321500.0,3329752.0,10.35,0.16
2021-02-09,36.0,10.45,10.4,10.33,178570.0,1859050.4,10.51,-0.18
2021-02-10,33.0,10.44,10.3,10.44,151370.0,1571729.0,10.33,0.11
2021-02-11,36.0,10.5,10.34,10.5,89550.0,931798.4,10.44,0.06
2021-02-14,59.0,11.02,10.3,10.55,584950.0,6065824.02,10.5,0.05
2021-02-15,57.0,10.58,10.4,10.58,1410090.0,14851963.5,10.55,0.03
2021-02-16,78.0,10.7,10.46,10.7,203830.0,2145584.6,10.58,0.12
2021-02-17,70.0,10.72,10.47,10.6,212950.0,2252426.8,10.7,-0.1
2021-02-18,118.0,10.9,10.63,10.9,640900.0,6883687.0,10.6,0.3
2021-02-21,161.0,11.54,10.4,11.4,658300.0,7408445.0,10.9,0.5
2021-02-22,124.0,11.8,11.37,11.8,540520.0,6211385.0,11.4,0.4
2021-02-23,68.0,11.8,11.35,11.55,204191.0,2346524.14,11.8,-0.25
2021-02-24,41.0,11.8,11.32,11.56,1122100.0,12821791.0,11.55,0.01
2021-02-25,99.0,11.78,11.35,11.7,456700.0,5335396.0,11.56,0.14
2021-02-28,50.0,11.63,11.25,11.3,281125.0,3221099.0,11.7,-0.4
2021-03-01,46.0,11.51,10.9,11.47,100200.0,1141422.5,11.3,0.17
2021-03-02,57.0,11.69,11.1,11.12,131000.0,1468622.5,11.47,-0.35
2021-03-03,37.0,11.25,11.0,11.25,90970.0,1005811.5,11.12,0.13
2021-03-04,41.0,11.3,11.03,11.3,106850.0,1185096.0,11.25,0.05
2021-03-07,30.0,11.3,11.08,11.18,113440.0,1265653.3,11.3,-0.12
2021-03-09,36.0,11.23,10.97,11.23,37620.0,416544.2,11.18,0.05
2021-03-10,22.0,11.23,11.1,11.21,36300.0,406061.0,11.23,-0.02
2021-03-14,34.0,11.2,10.91,11.2,37350.0,410412.5,11.21,-0.01
2021-03-15,22.0,11.41,10.77,10.98,43010.0,479042.6,11.2,-0.22
2021-03-16,29.0,10.98,10.77,10.85,88020.0,953976.7,10.98,-0.13
2021-03-17,35.0,11.1,10.85,11.1,87800.0,965291.0,10.85,0.25
2021-03-18,40.0,11.3,10.96,10.99,281100.0,3106047.0,11.1,-0.11
2021-03-21,45.0,11.37,10.9,11.37,36850.0,408714.0,10.99,0.38
2021-03-22,42.0,11.69,11.02,11.08,204190.0,2280271.6,11.37,-0.29
2021-03-23,37.0,11.22,10.9,11.22,72650.0,798823.0,11.08,0.14
2021-03-24,29.0,11.25,11.0,11.22,122754.0,1374081.2,11.22,0.0
2021-03-25,29.0,11.15,11.01,11.14,31900.0,354094.5,11.22,-0.08
2021-03-29,34.0,11.19,11.0,11.19,37670.0,419597.2,11.14,0.05
2021-03-30,49.0,11.28,11.06,11.28,49500.0,554800.0,11.19,0.09
