Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-12-17,3.0,395.0,380.0,395.0,30.0,11620.0,0.0,395.0
2012-12-18,1.0,414.0,414.0,414.0,10.0,4140.0,395.0,19.0
2012-12-19,4.0,450.0,434.0,450.0,40.0,17600.0,414.0,36.0
2012-12-20,3.0,490.0,472.0,490.0,31.0,14911.0,450.0,40.0
2012-12-23,3.0,534.0,514.0,534.0,40.0,20960.0,490.0,44.0
2012-12-24,7.0,609.0,544.0,609.0,1292.0,771064.0,534.0,75.0
2012-12-26,6.0,645.0,598.0,645.0,91.0,57505.0,609.0,36.0
2012-12-27,4.0,709.0,677.0,709.0,1260.0,869590.0,645.0,64.0
2012-12-31,14.0,779.0,744.0,779.0,6361.0,4806717.0,709.0,70.0
2013-01-01,4.0,856.0,817.0,856.0,40.0,33550.0,779.0,77.0
2013-01-02,11.0,941.0,260.0,941.0,26591.0,12660384.0,856.0,85.0
2013-01-03,15.0,1035.0,959.0,1035.0,1573.0,1598092.0,941.0,94.0
2013-01-07,98.0,1251.0,1194.0,1251.0,11538.0,14413998.0,1138.0,113.0
2013-01-08,104.0,1321.0,1251.0,1295.0,8462.0,10966741.0,1251.0,44.0
2013-01-09,95.0,1270.0,1166.0,1166.0,5575.0,6740564.0,1295.0,-129.0
2013-01-10,49.0,1143.0,1050.0,1050.0,2609.0,2742956.0,1166.0,-116.0
2013-01-13,52.0,1029.0,990.0,1000.0,8816.0,8818154.0,1050.0,-50.0
2013-01-15,65.0,999.0,948.0,950.0,4209.0,4021313.0,1000.0,-50.0
2013-01-16,27.0,940.0,919.0,931.0,1956.0,1816815.0,950.0,-19.0
2013-01-17,38.0,932.0,915.0,926.0,3713.0,3421899.0,931.0,-5.0
2013-01-20,21.0,935.0,884.0,903.0,1931.0,1750567.0,926.0,-23.0
2013-01-21,14.0,935.0,895.0,917.0,1308.0,1185236.0,903.0,14.0
2013-01-22,14.0,969.0,904.0,950.0,607.0,562899.0,917.0,33.0
2013-01-23,24.0,975.0,935.0,970.0,1882.0,1803209.0,950.0,20.0
2013-01-24,27.0,989.0,925.0,950.0,1717.0,1617282.0,970.0,-20.0
2013-01-27,21.0,965.0,920.0,930.0,1613.0,1506340.0,950.0,-20.0
2013-01-28,19.0,932.0,915.0,924.0,2067.0,1902573.0,930.0,-6.0
2013-01-30,13.0,936.0,921.0,930.0,855.0,791581.0,924.0,6.0
2013-01-31,14.0,940.0,925.0,930.0,1442.0,1337814.0,930.0,0.0
2013-02-03,30.0,940.0,919.0,919.0,2609.0,2425144.0,930.0,-11.0
2013-02-04,13.0,930.0,902.0,920.0,1557.0,1424722.0,919.0,1.0
2013-02-05,20.0,930.0,910.0,921.0,1868.0,1712030.0,920.0,1.0
2013-02-06,14.0,917.0,905.0,907.0,1037.0,945712.0,921.0,-14.0
2013-02-07,10.0,920.0,892.0,920.0,1392.0,1245854.0,907.0,13.0
2013-02-10,11.0,905.0,900.0,900.0,618.0,557517.0,920.0,-20.0
2013-02-12,39.0,912.0,880.0,880.0,4393.0,3917397.0,900.0,-20.0
2013-02-13,26.0,905.0,840.0,897.0,21258.0,17900617.0,880.0,17.0
2013-02-14,64.0,880.0,808.0,808.0,13260.0,10933606.0,897.0,-89.0
2013-02-19,30.0,825.0,797.0,800.0,3313.0,2661936.0,808.0,-8.0
2013-02-20,25.0,816.0,784.0,791.0,3091.0,2467603.0,800.0,-9.0
2013-02-21,30.0,805.0,780.0,780.0,2252.0,1773607.0,791.0,-11.0
2013-02-24,38.0,779.0,736.0,762.0,3195.0,2405082.0,780.0,-18.0
2013-02-25,19.0,770.0,717.0,725.0,2420.0,1772580.0,762.0,-37.0
2013-02-26,23.0,714.0,695.0,700.0,1765.0,1241681.0,725.0,-25.0
2013-02-27,20.0,700.0,685.0,687.0,1607.0,1107145.0,700.0,-13.0
2013-02-28,11.0,702.0,685.0,686.0,1121.0,771191.0,687.0,-1.0
2013-03-03,13.0,714.0,680.0,680.0,1388.0,958194.0,686.0,-6.0
2013-03-04,12.0,683.0,667.0,683.0,1069.0,725390.0,680.0,3.0
2013-03-05,23.0,696.0,670.0,670.0,1618.0,1102216.0,683.0,-13.0
2013-03-07,26.0,673.0,632.0,632.0,4218.0,2718300.0,660.0,-28.0
2013-03-11,22.0,652.0,630.0,645.0,3483.0,2221335.0,632.0,13.0
2013-03-13,5.0,660.0,650.0,660.0,523.0,342680.0,645.0,15.0
