Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-12-14,1.0,1000.0,1000.0,1000.0,25.0,25000.0,0.0,0.0
2021-12-21,2.0,980.0,980.0,980.0,55.0,53900.0,1000.0,-20.0
2021-12-22,7.0,961.0,917.0,935.0,105.0,99005.0,980.0,-45.0
2021-12-23,8.0,925.0,920.1,920.4,190.0,175033.5,935.0,-14.6
2021-12-26,6.0,920.3,917.1,920.3,145.0,133216.5,920.4,-0.1
2021-12-27,3.0,920.3,915.0,915.0,75.0,68762.5,920.3,-5.3
2021-12-28,3.0,915.0,914.1,914.1,75.0,68580.0,915.0,-0.9
2021-12-29,1.0,920.0,920.0,920.0,25.0,23000.0,914.1,5.9
2022-01-02,5.0,911.4,893.2,893.2,125.0,113226.0,920.0,-26.8
2022-01-03,4.0,911.0,900.0,900.0,105.0,95106.5,893.2,6.8
2022-01-09,1.0,918.0,918.0,918.0,300.0,275400.0,900.0,18.0
2022-01-10,2.0,902.1,902.0,902.0,50.0,45102.5,918.0,-16.0
2022-01-11,3.0,920.0,905.0,920.0,175.0,158760.0,902.0,18.0
2022-01-13,9.0,912.1,901.3,901.3,400.0,361809.0,920.0,-18.7
2022-01-16,2.0,900.0,900.0,900.0,55.0,49500.0,901.3,-1.3
2022-01-18,6.0,900.0,882.1,899.7,125.0,112038.5,900.0,-0.3
2022-01-19,3.0,899.4,881.8,899.4,50.0,44562.0,899.7,-0.3
2022-01-20,4.0,913.0,905.0,913.0,270.0,245495.5,899.4,13.6
2022-01-23,2.0,900.0,896.0,896.0,75.0,67400.0,913.0,-17.0
2022-01-24,1.0,880.1,880.1,880.1,25.0,22002.5,896.0,-15.9
2022-01-25,4.0,870.0,865.0,870.0,125.0,108272.5,880.1,-10.1
2022-01-27,1.0,856.2,856.2,856.2,25.0,21405.0,870.0,-13.8
2022-02-06,2.0,873.0,862.0,862.0,60.0,52270.0,856.2,5.8
2022-02-08,1.0,866.0,866.0,866.0,25.0,21650.0,862.0,4.0
2022-02-09,1.0,880.0,880.0,880.0,10.0,8800.0,866.0,14.0
2022-02-10,1.0,880.0,880.0,880.0,40.0,35200.0,880.0,0.0
2022-02-13,6.0,870.0,865.1,865.1,150.0,130377.5,880.0,-14.9
2022-02-14,3.0,875.0,874.9,875.0,50.0,43746.0,865.1,9.9
2022-02-15,1.0,875.0,875.0,875.0,50.0,43750.0,875.0,0.0
2022-02-16,2.0,870.0,857.5,870.0,50.0,43187.5,875.0,-5.0
2022-02-17,1.0,874.0,874.0,874.0,100.0,87400.0,870.0,4.0
2022-02-20,1.0,874.0,874.0,874.0,25.0,21850.0,874.0,0.0
2022-02-21,1.0,857.0,857.0,857.0,25.0,21425.0,874.0,-17.0
2022-02-22,1.0,842.6,842.6,842.6,25.0,21065.0,857.0,-14.4
2022-02-23,1.0,850.0,850.0,850.0,25.0,21250.0,842.6,7.4
2022-02-24,1.0,845.3,845.3,845.3,25.0,21132.5,850.0,-4.7
2022-02-28,1.0,848.0,848.0,848.0,25.0,21200.0,845.3,2.7
2022-03-02,1.0,848.0,848.0,848.0,25.0,21200.0,848.0,0.0
2022-03-06,1.0,840.5,840.5,840.5,25.0,21012.5,848.0,-7.5
2022-03-09,5.0,836.2,836.0,836.0,95.0,79432.0,840.5,-4.5
2022-03-10,1.0,852.7,852.7,852.7,10.0,8527.0,836.0,16.7
2022-03-13,5.0,852.0,826.1,840.0,135.0,113130.0,852.7,-12.7
2022-03-15,2.0,824.1,824.0,824.0,25.0,20601.5,840.0,-16.0
2022-03-16,12.0,841.3,820.0,841.1,405.0,334747.5,824.0,17.1
2022-03-21,1.0,824.3,824.3,824.3,25.0,20607.5,841.1,-16.8
2022-03-22,5.0,825.1,821.0,821.0,215.0,176793.0,824.3,-3.3
2022-03-23,4.0,854.0,837.0,845.0,110.0,92364.0,821.0,24.0
2022-03-27,4.0,832.0,830.0,830.0,200.0,166025.0,845.0,-15.0
2022-03-30,1.0,846.6,846.6,846.6,75.0,63495.0,830.0,16.6
2022-03-31,1.0,849.7,849.7,849.7,25.0,21242.5,846.6,3.1
2022-04-03,1.0,832.8,832.8,832.8,25.0,20820.0,849.7,-16.9
2022-04-04,1.0,819.0,819.0,819.0,25.0,20475.0,832.8,-13.8
2022-04-12,1.0,819.0,819.0,819.0,25.0,20475.0,819.0,0.0
2022-04-13,1.0,835.3,835.3,835.3,10.0,8353.0,819.0,16.3
2022-04-17,1.0,835.3,835.3,835.3,25.0,20882.5,835.3,0.0
2022-04-21,1.0,819.4,819.4,819.4,25.0,20485.0,835.3,-15.9
