Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,1.0,115.0,115.0,115.0,100.0,11500.0,115.0,0.0
2012-06-06,1.0,117.0,117.0,117.0,10.0,1170.0,115.0,2.0
2012-06-07,1.0,119.0,119.0,119.0,10.0,1190.0,117.0,2.0
2012-06-10,2.0,119.0,117.0,119.0,30.0,3530.0,119.0,0.0
2012-07-01,1.0,117.0,117.0,117.0,50.0,5850.0,119.0,-2.0
2012-07-12,1.0,115.0,115.0,115.0,593.0,68195.0,117.0,-2.0
2012-07-26,1.0,113.0,113.0,113.0,123.0,13899.0,115.0,-2.0
2012-07-30,4.0,111.0,107.0,107.0,148.0,16008.0,113.0,-6.0
2012-08-01,2.0,105.0,103.0,103.0,70.0,7250.0,107.0,-4.0
2012-08-06,3.0,101.0,100.0,100.0,400.0,40100.0,103.0,-3.0
2012-08-12,3.0,98.0,98.0,98.0,230.0,22540.0,100.0,-2.0
2012-08-13,3.0,97.0,96.0,96.0,500.0,48200.0,98.0,-2.0
2012-08-14,4.0,97.0,96.0,97.0,358.0,34516.0,96.0,1.0
2012-08-22,3.0,96.0,95.0,95.0,937.0,89507.0,97.0,-2.0
2012-08-29,1.0,94.0,94.0,94.0,50.0,4700.0,95.0,-1.0
2012-08-30,6.0,93.0,89.0,89.0,1179.0,106321.0,94.0,-5.0
2012-09-05,1.0,88.0,88.0,88.0,58.0,5104.0,89.0,-1.0
2012-09-06,1.0,89.0,89.0,89.0,100.0,8900.0,88.0,1.0
2012-09-17,1.0,88.0,88.0,88.0,100.0,8800.0,89.0,-1.0
2012-09-18,3.0,90.0,89.0,90.0,357.0,31873.0,88.0,2.0
2012-09-19,1.0,91.0,91.0,91.0,12.0,1092.0,90.0,1.0
2012-09-20,2.0,92.0,91.0,92.0,40.0,3660.0,91.0,1.0
2012-09-30,1.0,92.0,92.0,92.0,200.0,18400.0,92.0,0.0
2012-10-01,1.0,91.0,91.0,91.0,68.0,6188.0,92.0,-1.0
2012-10-02,1.0,90.0,90.0,90.0,111.0,9990.0,91.0,-1.0
2012-10-03,1.0,89.0,89.0,89.0,171.0,15219.0,90.0,-1.0
2012-10-07,1.0,90.0,90.0,90.0,200.0,18000.0,89.0,1.0
2012-12-09,2.0,89.0,88.0,88.0,260.0,23010.0,90.0,-2.0
2013-06-30,1.0,90.0,90.0,90.0,111.0,9990.0,90.0,0.0
2013-12-31,2.0,91.0,91.0,91.0,1114.0,101374.0,90.0,1.0
2014-01-01,1.0,90.0,90.0,90.0,148.0,13320.0,91.0,-1.0
