Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-11-24,1.0,1000.0,1000.0,1000.0,25.0,25000.0,0.0,0.0
2021-11-28,1.0,980.0,980.0,980.0,300.0,294000.0,1000.0,-20.0
2021-11-29,19.0,960.4,940.3,950.0,1200.0,1142019.5,980.0,-30.0
2021-11-30,11.0,950.0,945.1,946.0,475.0,450027.5,950.0,-4.0
2021-12-01,9.0,950.0,943.7,950.0,405.0,383936.5,946.0,4.0
2021-12-05,6.0,944.1,940.0,940.0,150.0,141260.0,950.0,-10.0
2021-12-06,2.0,942.0,940.3,940.3,50.0,47057.5,940.0,0.3
2021-12-07,6.0,945.1,941.3,945.1,215.0,203101.5,940.3,4.8
2021-12-08,5.0,945.0,942.5,943.5,275.0,259587.5,945.1,-1.6
2021-12-09,6.0,945.0,943.0,943.0,185.0,174775.0,943.5,-0.5
2021-12-12,4.0,942.1,942.0,942.0,100.0,94205.0,943.0,-1.0
2021-12-13,7.0,950.0,941.0,941.4,230.0,216857.5,942.0,-0.6
2021-12-15,2.0,945.0,940.3,945.0,825.0,779507.5,941.4,3.6
2021-12-22,2.0,943.1,942.6,943.1,50.0,47142.5,945.0,-1.9
2021-12-23,6.0,942.4,941.6,942.4,175.0,164875.0,943.1,-0.7
2021-12-26,4.0,941.7,941.5,941.5,100.0,94160.0,942.4,-0.9
2021-12-27,3.0,938.1,937.0,938.1,75.0,70305.0,941.5,-3.4
2021-12-28,9.0,936.2,933.0,933.0,210.0,196412.5,938.1,-5.1
2021-12-29,1.0,930.0,930.0,930.0,30.0,27900.0,933.0,-3.0
2022-01-02,6.0,933.2,931.2,931.2,125.0,116567.5,930.0,1.2
2022-01-03,11.0,940.0,932.3,932.5,180.0,168464.0,931.2,1.3
2022-01-05,2.0,931.0,930.9,930.9,40.0,37237.5,932.5,-1.6
2022-01-06,4.0,931.0,930.2,930.6,105.0,97711.0,930.9,-0.3
2022-01-09,9.0,943.5,925.0,943.5,190.0,176748.0,930.6,12.9
2022-01-10,5.0,949.1,930.1,949.1,90.0,84660.5,943.5,5.6
2022-01-11,3.0,985.0,968.0,985.0,100.0,97650.0,949.1,35.9
2022-01-23,1.0,965.3,965.3,965.3,10.0,9653.0,985.0,-19.7
2022-02-23,1.0,946.0,946.0,946.0,25.0,23650.0,965.3,-19.3
2022-04-24,13.0,927.1,852.4,852.4,170.0,148439.0,946.0,-93.6
2022-04-25,6.0,852.4,849.2,850.0,130.0,110540.5,852.4,-2.4
2022-04-26,7.0,849.2,848.5,848.8,100.0,84882.0,850.0,-1.2
2022-04-27,5.0,848.3,848.2,848.2,75.0,63620.0,848.8,-0.6
2022-04-28,4.0,850.1,850.0,850.0,75.0,63751.5,848.2,1.8
2022-05-02,3.0,850.2,850.0,850.2,125.0,106255.0,850.0,0.2
2022-05-04,2.0,848.7,848.6,848.6,25.0,21216.5,850.2,-1.6
2022-05-05,2.0,848.4,848.3,848.3,25.0,21209.0,848.6,-0.3
2022-05-08,1.0,850.0,850.0,850.0,50.0,42500.0,848.3,1.7
2022-05-09,1.0,848.5,848.5,848.5,15.0,12727.5,850.0,-1.5
2022-05-10,3.0,850.0,848.2,848.2,50.0,42456.5,848.5,-0.3
2022-05-11,7.0,850.0,847.2,848.0,195.0,165468.0,848.2,-0.2
2022-05-12,2.0,848.2,847.9,847.9,25.0,21202.0,848.0,-0.1
2022-05-17,3.0,850.0,848.0,850.0,75.0,63700.0,847.9,2.1
2022-05-18,3.0,849.0,848.0,849.0,65.0,55147.5,850.0,-1.0
2022-05-20,2.0,848.0,847.7,847.7,25.0,21197.0,849.0,-1.3
2022-05-23,2.0,850.0,850.0,850.0,50.0,42500.0,847.7,2.3
2022-05-24,1.0,867.0,867.0,867.0,50.0,43350.0,850.0,17.0
2022-05-25,1.0,850.0,850.0,850.0,25.0,21250.0,867.0,-17.0
2022-05-27,1.0,850.0,850.0,850.0,35.0,29750.0,850.0,0.0
2022-06-02,2.0,848.1,848.0,848.0,25.0,21201.5,850.0,-2.0
2022-06-06,6.0,848.1,846.0,846.0,100.0,84732.5,848.0,-2.0
2022-06-07,2.0,847.6,847.5,847.5,30.0,25426.5,846.0,1.5
2022-06-08,2.0,847.2,847.1,847.1,25.0,21179.0,847.5,-0.4
2022-06-09,1.0,850.0,850.0,850.0,25.0,21250.0,847.1,2.9
2022-06-15,1.0,847.0,847.0,847.0,10.0,8470.0,850.0,-3.0
2022-06-17,1.0,860.0,860.0,860.0,25.0,21500.0,847.0,13.0
2022-06-20,2.0,847.1,846.9,846.9,25.0,21175.5,860.0,-13.1
2022-06-23,3.0,846.9,846.3,846.3,45.0,38094.0,846.9,-0.6
2022-06-26,4.0,836.3,828.0,828.0,70.0,58279.5,846.3,-18.3
2022-06-27,4.0,826.7,815.0,815.0,200.0,164928.0,828.0,-13.0
2022-06-28,1.0,830.0,830.0,830.0,30.0,24900.0,815.0,15.0
2022-07-01,1.0,831.4,831.4,831.4,25.0,20785.0,815.1,16.3
2022-07-03,7.0,833.0,828.6,828.6,140.0,116223.0,831.4,-2.8
2022-07-05,1.0,812.4,812.4,812.4,25.0,20310.0,828.6,-16.2
