Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-02-18,15.0,11.0,10.2,10.66,62325.0,668442.7,10.0,0.66
2015-02-22,8.0,10.55,10.45,10.55,34127.0,359018.25,10.66,-0.11
2015-02-23,7.0,10.7,10.45,10.7,26500.0,281125.0,10.55,0.15
2015-02-24,4.0,10.86,10.65,10.86,15173.0,164198.78,10.7,0.16
2015-02-25,7.0,10.9,10.7,10.75,27956.0,303070.4,10.86,-0.11
2015-02-26,8.0,10.8,10.7,10.8,23300.0,251165.0,10.75,0.05
2015-03-01,5.0,10.9,10.7,10.7,9000.0,96500.0,10.8,-0.1
2015-03-02,9.0,10.7,10.5,10.7,45267.0,481263.55,10.7,0.0
2015-03-03,2.0,10.6,10.5,10.6,19889.0,209084.5,10.7,-0.1
2015-03-04,1.0,10.4,10.4,10.4,1000.0,10400.0,10.6,-0.2
2015-03-09,6.0,10.7,10.6,10.7,12000.0,127580.0,10.4,0.3
2015-03-10,1.0,10.5,10.5,10.5,1913.0,20086.5,10.7,-0.2
2015-03-11,1.0,10.6,10.6,10.6,500.0,5300.0,10.5,0.1
2015-03-12,2.0,10.4,10.4,10.4,2450.0,25480.0,10.6,-0.2
2015-03-15,2.0,10.21,10.21,10.21,10000.0,102100.0,10.4,-0.19
2015-03-16,7.0,10.2,10.0,10.0,27956.0,280510.0,10.21,-0.21
2015-03-18,11.0,10.17,10.0,10.17,47100.0,477165.0,10.0,0.17
2015-03-19,18.0,10.37,10.05,10.21,65600.0,665226.0,10.17,0.04
2015-03-22,8.0,10.2,10.11,10.15,40000.0,405150.0,10.21,-0.06
2015-03-23,4.0,10.25,10.1,10.1,12256.0,123830.6,10.15,-0.05
2015-03-24,3.0,10.1,10.1,10.1,12651.0,127775.1,10.1,0.0
2015-03-25,6.0,10.1,10.1,10.1,4000.0,40400.0,10.1,0.0
2015-03-26,5.0,10.1,10.1,10.1,18500.0,186850.0,10.1,0.0
2015-03-29,3.0,10.1,10.1,10.1,15000.0,151500.0,10.1,0.0
2015-03-30,1.0,10.2,10.2,10.2,5000.0,51000.0,10.1,0.1
2015-03-31,5.0,10.3,10.1,10.1,23456.0,239877.24,10.2,-0.1
2015-04-01,1.0,10.0,10.0,10.0,8695.0,86950.0,10.1,-0.1
2015-04-05,4.0,10.05,9.9,9.9,20000.0,200000.0,10.0,-0.1
2015-04-06,3.0,10.04,9.66,9.66,350982.0,3391162.12,9.9,-0.24
2015-04-07,4.0,9.85,9.85,9.85,400.0,3940.0,9.66,0.19
2015-04-08,1.0,9.75,9.75,9.75,17389.0,169542.75,9.85,-0.1
2015-04-09,11.0,9.9,9.89,9.9,29478.0,291822.2,9.75,0.15
2015-04-12,6.0,9.96,9.8,9.8,17000.0,167686.0,9.9,-0.1
2015-04-13,7.0,9.9,9.9,9.9,15474.0,153192.6,9.8,0.1
2015-04-15,3.0,10.0,9.75,10.0,8650.0,85587.5,9.9,0.1
2015-04-16,2.0,9.8,9.8,9.8,8478.0,83084.4,10.0,-0.2
2015-04-19,2.0,10.0,9.99,10.0,6000.0,59990.0,9.8,0.2
2015-04-20,20.0,10.04,10.01,10.04,100000.0,1003400.0,10.0,0.04
2015-04-21,1.0,9.9,9.9,9.9,1000.0,9900.0,10.04,-0.14
2015-04-22,5.0,10.0,10.0,10.0,49378.0,493780.0,9.9,0.1
2015-04-23,6.0,10.04,9.9,9.9,186290.0,1869155.6,10.0,-0.1
2015-05-24,22.0,9.71,8.91,8.91,76411.0,690241.01,9.9,-0.99
2015-05-25,1.0,8.9,8.9,8.9,10433.0,92853.7,8.91,-0.01
2015-05-26,1.0,9.08,9.08,9.08,5000.0,45400.0,8.9,0.18
2015-05-28,4.0,9.26,9.2,9.2,8000.0,74000.0,9.08,0.12
2015-06-01,1.0,9.11,9.11,9.11,8695.0,79211.45,9.2,-0.09
2015-06-02,2.0,9.1,9.1,9.1,6478.0,58949.8,9.11,-0.01
2015-06-03,1.0,9.28,9.28,9.28,5000.0,46400.0,9.1,0.18
2015-06-04,2.0,9.66,9.47,9.66,10000.0,95650.0,9.28,0.38
2015-06-09,1.0,9.85,9.85,9.85,3478.0,34258.3,9.66,0.19
2015-06-10,2.0,10.0,9.99,10.0,7304.0,73001.74,9.85,0.15
2015-06-14,1.0,9.9,9.9,9.9,2261.0,22383.9,10.0,-0.1
2015-06-15,2.0,9.9,9.9,9.9,6956.0,68864.4,9.9,0.0
2015-06-17,5.0,9.89,9.7,9.89,8000.0,78550.0,9.9,-0.01
2015-06-22,1.0,9.8,9.8,9.8,5000.0,49000.0,9.89,-0.09
2015-06-23,1.0,9.8,9.8,9.8,500.0,4900.0,9.8,0.0
2015-06-24,11.0,9.76,9.61,9.76,53478.0,519973.58,9.8,-0.04
2015-06-25,4.0,9.8,9.75,9.8,16050.0,156790.0,9.76,0.04
2015-06-28,2.0,10.1,10.0,10.1,3978.0,39830.0,9.8,0.3
2015-06-29,1.0,9.91,9.91,9.91,4900.0,48559.0,10.1,-0.19
2015-07-05,4.0,9.9,9.75,9.75,12000.0,117750.0,9.91,-0.16
2015-07-06,3.0,9.8,9.75,9.75,8800.0,85890.0,9.75,0.0
